oar_term,n_phrase_match,matched_phrases
unclear_color_value_meaning,55,axis meaning | black color | black-to-white/color gradient | blue color | clear color uses
many_words_selected,21,amount of / too many colors | amount of words/context/numbers | highlighted words | intense/too many colors | many legend categories
data_points_closely_spaced,21,clustered data/info | data intersection | data trend | dense points/lines/shapes/elements | dense/cluttered data/info
many_different_species,21,amount of / too many colors | different clarity | different font/word sizes/structure | different labels | different movement
few_lines_present,21,bars as individual lines | curved lines | dense points/lines/shapes/elements | few lines | few points/lines/shapes/elements
many_small_details,21,amount of / too many colors | color details | fine/layered details | intense/too many colors | many legend categories
varied_shape_marks,21,colored shape | dense/cluttered shape | hard to read shape | overall shape | shape
data_easier_to_see,21,clustered data/info | data intersection | data trend | dense/cluttered data/info | design-data relationship
words_easier_to_understand,21,amount of words/context/numbers | attention/squinting to understand | easier to compare/discern/distinguish | easier to interpret/read/understand | easier to process/visualize
lines_crossing_each_other,21,bars as individual lines | curved lines | dense points/lines/shapes/elements | few lines | few points/lines/shapes/elements
various_data_points,21,clustered data/info | data intersection | data trend | dense points/lines/shapes/elements | dense/cluttered data/info
more_data_points,21,clustered data/info | data intersection | data trend | dense points/lines/shapes/elements | dense/cluttered data/info
fairly_easy_to_read,21,description easy to read | easier to interpret/read/understand | easier to read | easy to derive meaning | easy to focus/follow
many_more_words,21,amount of / too many colors | amount of words/context/numbers | highlighted words | intense/too many colors | many legend categories
easy_information_intake,20,clear text/scale/information | description easy to read | diverse information | easy to derive meaning | easy to focus/follow
unclear_focal_point,20,distracting/confusing/unclear | harder to view data point | shape increase/decrease point | shape point of interest | unclear color meaning
numerous_lines_present,20,bars as individual lines | curved lines | dense points/lines/shapes/elements | few lines | few points/lines/shapes/elements
round_shape,20,colored shape | dense/cluttered shape | hard to read shape | overall shape | shape
data_in_different_format,20,clustered data/info | data intersection | data trend | dense/cluttered data/info | design-data relationship
text_word_present,20,clear text arrangement/density | clear text/scale/information | code/text | context/text/description | different font/word sizes/structure
word_elements_present,20,dense points/lines/shapes/elements | different font/word sizes/structure | different word meaning | few points/lines/shapes/elements | less organized elements
too_dense_to_read,20,dense points/lines/shapes/elements | dense/cluttered data/info | dense/cluttered layout | dense/cluttered shape | description easy to read
visually_unclear_encoding,20,distracting/confusing/unclear | technical encoding | unclear color meaning | unclear coloring | unclear colormaps
hard_to_extract_info,20,clustered data/info | dense/cluttered data/info | easy to identify/extract/find features | hard to compare/discern/distinguish | hard to describe
multiple_data_series,20,clustered data/info | data intersection | data trend | dense/cluttered data/info | design-data relationship
branching_nested_lines,20,bars as individual lines | curved lines | dense points/lines/shapes/elements | few lines | few points/lines/shapes/elements
difficult_data_interpretation,20,clustered data/info | data intersection | data trend | dense/cluttered data/info | design-data relationship
mixed_text_sizes,20,clear text arrangement/density | clear text/scale/information | code/text | context/text/description | different font/word sizes/structure
undefined_shape,20,colored shape | dense/cluttered shape | hard to read shape | overall shape | shape
multiple_interacting_data_bits,20,clustered data/info | data intersection | data trend | dense/cluttered data/info | design-data relationship
unclear_visual_content,20,distracting/confusing/unclear | simple visual elements | unclear color meaning | unclear coloring | unclear colormaps
lines_not_straightforward,20,bars as individual lines | curved lines | dense points/lines/shapes/elements | few lines | few points/lines/shapes/elements
harder_to_interpret_axis,20,axis meaning | axis numbers | axis scales | clear title/axis/label | easier to interpret/read/understand
rendered_as_individual_lines,20,bars as individual lines | curved lines | dense points/lines/shapes/elements | few lines | few points/lines/shapes/elements
straightforward_shape,20,colored shape | dense/cluttered shape | hard to read shape | overall shape | shape
not_simple_data,20,clustered data/info | data intersection | data trend | dense/cluttered data/info | design-data relationship
clean_lines,20,bars as individual lines | curved lines | dense points/lines/shapes/elements | few lines | few points/lines/shapes/elements
reading_data_more_difficult,20,clustered data/info | data intersection | data trend | dense/cluttered data/info | design-data relationship
numerous_vertical_lines,20,bars as individual lines | curved lines | dense points/lines/shapes/elements | few lines | few points/lines/shapes/elements
harder_to_read_discern,20,description easy to read | easier to compare/discern/distinguish | easier to interpret/read/understand | easier to read | easy to interpret/read/understand
various_shape_types,20,colored shape | dense/cluttered shape | hard to read shape | overall shape | shape
numerous_connecting_lines,20,bars as individual lines | curved lines | dense points/lines/shapes/elements | few lines | few points/lines/shapes/elements
intersecting_lines_present,20,bars as individual lines | curved lines | dense points/lines/shapes/elements | few lines | few points/lines/shapes/elements
distinct_defined_shape,20,colored shape | dense/cluttered shape | hard to read shape | overall shape | shape
visual_image_elements_present,19,dense points/lines/shapes/elements | few points/lines/shapes/elements | image layout | image location | image portrayal
unclear_visual_presentation,19,distracting/confusing/unclear | simple visual elements | unclear color meaning | unclear coloring | unclear colormaps
many_numeric_labels,19,amount of / too many colors | cluttered labels/annotations | different labels | intense/too many colors | lack of/not enough axis labels/legend/annotations/context
high_data_variation,19,clustered data/info | data intersection | data trend | dense/cluttered data/info | design-data relationship
few_data_items,19,clustered data/info | data intersection | data trend | dense/cluttered data/info | design-data relationship
unclear_design_purpose,19,complex design | design-data relationship | distracting/confusing/unclear | more uniform design | unclear color meaning
unclear_overall_interpretation,19,distracting/confusing/unclear | more reading/interpretation/understanding | multiple interpretation | overall shape | unclear color meaning
unclear_visual_purpose,19,distracting/confusing/unclear | simple visual elements | unclear color meaning | unclear coloring | unclear colormaps
boundaries_visually_unclear,19,distracting/confusing/unclear | unclear color meaning | unclear coloring | unclear colormaps | unclear colors/contrast
unclear_defining_values,19,distracting/confusing/unclear | frame with values | separate values by color to show differences | unclear color meaning | unclear coloring
names_too_small_to_read,19,description easy to read | easier to interpret/read/understand | easier to read | easy to interpret/read/understand | easy to read
difficult_to_read,19,description easy to read | easier to interpret/read/understand | easier to read | easy to interpret/read/understand | easy to read
confusing_data_encoding,19,ambiguous/confusing colors | clustered data/info | confusing connection | data intersection | data trend
easier_to_read,19,description easy to read | easier to compare/discern/distinguish | easier to interpret/read/understand | easier to process/visualize | easier to read
variable_hard_to_interpret,19,easier to interpret/read/understand | easy to interpret/read/understand | hard to compare/discern/distinguish | hard to describe | hard to distinguish colors
visually_clear_layout,19,clear and concise | clear color uses | clear colored bars/charts | clear colors/shapes | clear connection
easier_to_read_than_chart,19,description easy to read | easier to compare/discern/distinguish | easier to interpret/read/understand | easier to process/visualize | easier to read
simple_information,18,clear text/scale/information | diverse information | factual information | field information | graphical information
many_visual_components,18,amount of / too many colors | intense/too many colors | many legend categories | many measurements | many numbers
hard_to_interpret,18,easier to interpret/read/understand | easy to interpret/read/understand | hard to compare/discern/distinguish | hard to describe | hard to distinguish colors
dense_bottom_text,18,clear text arrangement/density | clear text/scale/information | code/text | context/text/description | dense points/lines/shapes/elements
different_axis_types,18,axis meaning | axis numbers | axis scales | clear title/axis/label | different clarity
absent_text_labels,18,clear text arrangement/density | clear text/scale/information | cluttered labels/annotations | code/text | context/text/description
multiple_information_types,18,clear text/scale/information | diverse information | factual information | field information | graphical information
dense_data_encoding,18,clustered data/info | data intersection | data trend | dense points/lines/shapes/elements | dense/cluttered data/info
text_arrangement_complex,18,clear text arrangement/density | clear text/scale/information | code/text | color variety/arrangement/distribution | complex design
inconsistent_text_arrangement,18,clear text arrangement/density | clear text/scale/information | code/text | color variety/arrangement/distribution | context/text/description
high_number_of_elements,18,dense points/lines/shapes/elements | few points/lines/shapes/elements | less organized elements | many points/lines/shapes/elements | messy/mixed up/noisy/intermingled elements
many_similar_instances,18,amount of / too many colors | intense/too many colors | many legend categories | many measurements | many numbers
no_text_labels,18,clear text arrangement/density | clear text/scale/information | cluttered labels/annotations | code/text | context/text/description
many_parameters_on_axes,18,amount of / too many colors | fewer axes | intense/too many colors | many legend categories | many measurements
many_small_writings,18,amount of / too many colors | intense/too many colors | many legend categories | many measurements | many numbers
subject_domain_unclear,18,"a specific domain | distracting/confusing/unclear | domain-specific concepts (e.g., chemical, biology, map) | unclear color meaning | unclear coloring"
multiple_different_bars,18,bars as individual lines | clear colored bars/charts | colored bars/charts | different clarity | different font/word sizes/structure
multiple_visual_elements,18,dense points/lines/shapes/elements | few points/lines/shapes/elements | less organized elements | many points/lines/shapes/elements | messy/mixed up/noisy/intermingled elements
labels_are_clear,17,clear and concise | clear color uses | clear colored bars/charts | clear colors/shapes | clear connection
differences_unclear,17,distracting/confusing/unclear | separate values by color to show differences | unclear color meaning | unclear coloring | unclear colormaps
information_spread_across_image,17,clear text/scale/information | diverse information | factual information | field information | graphical information
variety_of_data_within,17,clustered data/info | color variety/arrangement/distribution | data intersection | data trend | dense/cluttered data/info
dense_data_set,17,clustered data/info | data intersection | data trend | dense points/lines/shapes/elements | dense/cluttered data/info
many_individual_dots,17,amount of / too many colors | bars as individual lines | intense/too many colors | many legend categories | many measurements
simple_to_understand,17,attention/squinting to understand | easier to interpret/read/understand | easy to interpret/read/understand | easy to understand | hard to interpret/read/understand
text_is_too_small,17,clear text arrangement/density | clear text/scale/information | code/text | context/text/description | explanation text
unclear_visualization_purpose,17,distracting/confusing/unclear | unclear color meaning | unclear coloring | unclear colormaps | unclear colors/contrast
harder_to_read,17,description easy to read | easier to interpret/read/understand | easier to read | easy to interpret/read/understand | easy to read
unknown_how_to_read,17,description easy to read | easier to interpret/read/understand | easier to read | easy to interpret/read/understand | easy to read
unique_data_point_present,17,clustered data/info | data intersection | data trend | dense/cluttered data/info | design-data relationship
few_or_no_data,17,clustered data/info | data intersection | data trend | dense/cluttered data/info | design-data relationship
mixed_text_and_imagery,17,clear text arrangement/density | clear text/scale/information | code/text | context/text/description | explanation text
unclear_encoding,17,distracting/confusing/unclear | technical encoding | unclear color meaning | unclear coloring | unclear colormaps
multiple_graphic_elements,17,dense points/lines/shapes/elements | few points/lines/shapes/elements | less organized elements | many points/lines/shapes/elements | messy/mixed up/noisy/intermingled elements
categorized_in_unclear_way,17,categorized shapes | distracting/confusing/unclear | unclear color meaning | unclear coloring | unclear colormaps
small_detail_elements,17,dense points/lines/shapes/elements | few points/lines/shapes/elements | less organized elements | many points/lines/shapes/elements | messy/mixed up/noisy/intermingled elements
provides_clear_labels,17,clear and concise | clear color uses | clear colored bars/charts | clear colors/shapes | clear connection
large_amount_of_text,17,amount of / too many colors | amount of words/context/numbers | clear text arrangement/density | clear text/scale/information | code/text
multiple_box_elements,17,dense points/lines/shapes/elements | few points/lines/shapes/elements | less organized elements | many points/lines/shapes/elements | messy/mixed up/noisy/intermingled elements
dense_information_content,17,clear text/scale/information | dense points/lines/shapes/elements | dense/cluttered data/info | dense/cluttered layout | dense/cluttered shape
mixed_text_orientations,17,clear text arrangement/density | clear text/scale/information | code/text | context/text/description | explanation text
readable_text,17,clear text arrangement/density | clear text/scale/information | code/text | context/text/description | explanation text
no_data_explanation,16,almost no explanation | clustered data/info | data intersection | data trend | dense/cluttered data/info
geometry_set_unclear,16,distracting/confusing/unclear | unclear color meaning | unclear coloring | unclear colormaps | unclear colors/contrast
unclear_subject_matter,16,distracting/confusing/unclear | unclear color meaning | unclear coloring | unclear colormaps | unclear colors/contrast
easily_understandable_information,16,clear text/scale/information | diverse information | factual information | field information | graphical information
easy_to_understand,16,attention/squinting to understand | description easy to read | easier to interpret/read/understand | easy to derive meaning | easy to focus/follow
written_information_dense,16,clear text/scale/information | dense points/lines/shapes/elements | dense/cluttered data/info | dense/cluttered layout | dense/cluttered shape
unclear_what_displayed,16,distracting/confusing/unclear | unclear color meaning | unclear coloring | unclear colormaps | unclear colors/contrast
relatively_clear_layout,16,clear and concise | clear color uses | clear colored bars/charts | clear colors/shapes | clear connection
vague_and_unclear,16,distracting/confusing/unclear | unclear color meaning | unclear coloring | unclear colormaps | unclear colors/contrast
lacks_clear_form_structure,16,clear and concise | clear color uses | clear colored bars/charts | clear colors/shapes | clear connection
clear_and_concise_layout,16,clear and concise | clear color uses | clear colored bars/charts | clear colors/shapes | clear connection
aids_data_interpretation,16,clustered data/info | data intersection | data trend | dense/cluttered data/info | design-data relationship
dense_field_information,16,clear text/scale/information | dense points/lines/shapes/elements | dense/cluttered data/info | dense/cluttered layout | dense/cluttered shape
content_hard_to_see,16,easier to see/tell/visualize | hard to compare/discern/distinguish | hard to describe | hard to distinguish colors | hard to focus/follow
clear_path_to_follow,16,clear and concise | clear color uses | clear colored bars/charts | clear colors/shapes | clear connection
clear_and_clean_layout,16,clear and concise | clear color uses | clear colored bars/charts | clear colors/shapes | clear connection
unclear_resemblance,16,distracting/confusing/unclear | unclear color meaning | unclear coloring | unclear colormaps | unclear colors/contrast
ambiguous_label_meaning,16,ambiguous numbers | ambiguous/confusing colors | axis meaning | clear title/axis/label | different word meaning
dense_cluster_of_elements,16,dense points/lines/shapes/elements | dense/cluttered data/info | dense/cluttered layout | dense/cluttered shape | few points/lines/shapes/elements
purpose_unclear,16,distracting/confusing/unclear | unclear color meaning | unclear coloring | unclear colormaps | unclear colors/contrast
too_many_variables,16,amount of / too many colors | intense/too many colors | many legend categories | many measurements | many numbers
data_clearly_visible,16,clustered data/info | data intersection | data trend | dense/cluttered data/info | design-data relationship
unclear_portrayed_subject,16,distracting/confusing/unclear | unclear color meaning | unclear coloring | unclear colormaps | unclear colors/contrast
multiple_stick_elements,16,dense points/lines/shapes/elements | few points/lines/shapes/elements | less organized elements | many points/lines/shapes/elements | messy/mixed up/noisy/intermingled elements
unclear_purpose,16,distracting/confusing/unclear | unclear color meaning | unclear coloring | unclear colormaps | unclear colors/contrast
many_nodes_present,16,amount of / too many colors | intense/too many colors | many legend categories | many measurements | many numbers
amount_of_descriptive_text,16,amount of / too many colors | amount of words/context/numbers | clear text arrangement/density | clear text/scale/information | code/text
unclear_message,16,distracting/confusing/unclear | unclear color meaning | unclear coloring | unclear colormaps | unclear colors/contrast
overlapping_text,16,clear text arrangement/density | clear text/scale/information | code/text | context/text/description | explanation text
overall_easier_to_understand,16,attention/squinting to understand | easier to compare/discern/distinguish | easier to interpret/read/understand | easier to process/visualize | easier to read
extra_challenge_to_read,16,description easy to read | easier to interpret/read/understand | easier to read | easy to interpret/read/understand | easy to read
ambiguous_data_intersection,16,ambiguous numbers | ambiguous/confusing colors | clustered data/info | data intersection | data trend
few_square_elements,16,dense points/lines/shapes/elements | few lines | few points/lines/shapes/elements | inadequate/few coloring | less organized elements
high_data_point_count,16,clustered data/info | data intersection | data trend | dense/cluttered data/info | design-data relationship
clear_layout,16,clear and concise | clear color uses | clear colored bars/charts | clear colors/shapes | clear connection
too_tiny_to_read,16,description easy to read | easier to interpret/read/understand | easier to read | easy to interpret/read/understand | easy to read
unclear_purpose_or_use,16,distracting/confusing/unclear | unclear color meaning | unclear coloring | unclear colormaps | unclear colors/contrast
unclear_conveyed_message,16,distracting/confusing/unclear | unclear color meaning | unclear coloring | unclear colormaps | unclear colors/contrast
logical_to_read,16,description easy to read | easier to interpret/read/understand | easier to read | easy to interpret/read/understand | easy to read
text_aids_interpretation,16,clear text arrangement/density | clear text/scale/information | code/text | context/text/description | explanation text
unclear_semantic_purpose,16,distracting/confusing/unclear | unclear color meaning | unclear coloring | unclear colormaps | unclear colors/contrast
many_graphs_present,16,amount of / too many colors | intense/too many colors | many legend categories | many measurements | many numbers
large_word_size,15,different font/word sizes/structure | different word meaning | image size | large dataset | mixed size
clear_informative_title,15,clear and concise | clear color uses | clear colored bars/charts | clear colors/shapes | clear connection
too_many_spirals,15,amount of / too many colors | intense/too many colors | many legend categories | many measurements | many numbers
several_visual_elements,15,dense points/lines/shapes/elements | few points/lines/shapes/elements | less organized elements | many points/lines/shapes/elements | messy/mixed up/noisy/intermingled elements
much_more_data,15,clustered data/info | data intersection | data trend | dense/cluttered data/info | design-data relationship
unreadable_text,15,clear text arrangement/density | clear text/scale/information | code/text | context/text/description | explanation text
signal_noise_separation_hard,15,good color contrast/separation/segmentation | hard to compare/discern/distinguish | hard to describe | hard to distinguish colors | hard to focus/follow
easier_to_understand,15,attention/squinting to understand | easier to compare/discern/distinguish | easier to interpret/read/understand | easier to process/visualize | easier to read
no_information_about_squares,15,clear text/scale/information | diverse information | factual information | field information | graphical information
supports_data_analysis,15,clustered data/info | data intersection | data trend | dense/cluttered data/info | design-data relationship
unable_to_sort_elements,15,dense points/lines/shapes/elements | few points/lines/shapes/elements | less organized elements | many points/lines/shapes/elements | messy/mixed up/noisy/intermingled elements
too_many_sections,15,amount of / too many colors | intense/too many colors | many legend categories | many measurements | many numbers
illegible_unreadable_text,15,clear text arrangement/density | clear text/scale/information | code/text | context/text/description | explanation text
no_axis_labels,15,axis meaning | axis numbers | axis scales | clear title/axis/label | cluttered labels/annotations
too_many_moving_parts,15,amount of / too many colors | intense/too many colors | many legend categories | many measurements | many numbers
high_text_quantity,15,clear text arrangement/density | clear text/scale/information | code/text | context/text/description | explanation text
too_many_divisions,15,amount of / too many colors | intense/too many colors | many legend categories | many measurements | many numbers
hard_to_discern_individually,15,easier to compare/discern/distinguish | hard to compare/discern/distinguish | hard to describe | hard to distinguish colors | hard to focus/follow
too_many_letters,15,amount of / too many colors | intense/too many colors | many legend categories | many measurements | many numbers
hard_to_distinguish,15,easier to compare/discern/distinguish | hard to compare/discern/distinguish | hard to describe | hard to distinguish colors | hard to focus/follow
crowded_overlapping_elements,15,dense points/lines/shapes/elements | few points/lines/shapes/elements | less organized elements | many points/lines/shapes/elements | messy/mixed up/noisy/intermingled elements
no_clear_indication_of_content,15,clear and concise | clear color uses | clear colored bars/charts | clear colors/shapes | clear connection
many_results_displayed,15,amount of / too many colors | intense/too many colors | many legend categories | many measurements | many numbers
too_much_data,15,clustered data/info | data intersection | data trend | dense/cluttered data/info | design-data relationship
more_visual_elements,15,dense points/lines/shapes/elements | few points/lines/shapes/elements | less organized elements | many points/lines/shapes/elements | messy/mixed up/noisy/intermingled elements
large_data_volume,15,clustered data/info | data intersection | data trend | dense/cluttered data/info | design-data relationship
low_information_density,15,clear text arrangement/density | clear text/scale/information | diverse information | factual information | field information
hard_to_see_story,15,easier to see/tell/visualize | hard to compare/discern/distinguish | hard to describe | hard to distinguish colors | hard to focus/follow
too_many_circles,15,amount of / too many colors | intense/too many colors | many legend categories | many measurements | many numbers
hard_to_discern,15,easier to compare/discern/distinguish | hard to compare/discern/distinguish | hard to describe | hard to distinguish colors | hard to focus/follow
hierarchical_text_organization,15,clear text arrangement/density | clear text/scale/information | code/text | context/text/description | explanation text
too_much_information,15,clear text/scale/information | diverse information | factual information | field information | graphical information
hard_to_focus_eyes,15,easy to focus/follow | hard to compare/discern/distinguish | hard to describe | hard to distinguish colors | hard to focus/follow
hard_to_find_features,15,easy to identify/extract/find features | hard to compare/discern/distinguish | hard to describe | hard to distinguish colors | hard to focus/follow
nuanced_data_content,15,clustered data/info | data intersection | data trend | dense/cluttered data/info | design-data relationship
high_volume_of_text,14,clear text arrangement/density | clear text/scale/information | code/text | context/text/description | explanation text
no_descriptive_text,14,clear text arrangement/density | clear text/scale/information | code/text | context/text/description | explanation text
moderate_text_density,14,clear text arrangement/density | clear text/scale/information | code/text | context/text/description | explanation text
high_depth_of_data,14,clustered data/info | data intersection | data trend | dense/cluttered data/info | design-data relationship
multiple_different_axes,14,different clarity | different font/word sizes/structure | different labels | different movement | different word meaning
hard_to_differentiate,14,hard to compare/discern/distinguish | hard to describe | hard to distinguish colors | hard to focus/follow | hard to identify/extract/find features
low_number_of_points,14,dense points/lines/shapes/elements | few points/lines/shapes/elements | low color contrast/separation/segmentation | low readability | many points/lines/shapes/elements
multiple_different_sizes,14,different clarity | different font/word sizes/structure | different labels | different movement | different word meaning
clear_organization,14,clear and concise | clear color uses | clear colored bars/charts | clear colors/shapes | clear connection
text_overlaid_on_geography,14,clear text arrangement/density | clear text/scale/information | code/text | context/text/description | explanation text
lacks_clear_organization,14,clear and concise | clear color uses | clear colored bars/charts | clear colors/shapes | clear connection
no_data_present,14,clustered data/info | data intersection | data trend | dense/cluttered data/info | design-data relationship
measure_not_clear,14,clear and concise | clear color uses | clear colored bars/charts | clear colors/shapes | clear connection
only_two_elements,14,dense points/lines/shapes/elements | few points/lines/shapes/elements | less organized elements | many points/lines/shapes/elements | messy/mixed up/noisy/intermingled elements
more_difficult_to_understand,14,attention/squinting to understand | easier to interpret/read/understand | easy to interpret/read/understand | easy to understand | hard to interpret/read/understand
understand_easily_what_about,14,attention/squinting to understand | easier to interpret/read/understand | easy to interpret/read/understand | easy to understand | hard to interpret/read/understand
high_text_volume,14,clear text arrangement/density | clear text/scale/information | code/text | context/text/description | explanation text
explanatory_and_clear,14,clear and concise | clear color uses | clear colored bars/charts | clear colors/shapes | clear connection
obscured_underlying_data,14,clustered data/info | data intersection | data trend | dense/cluttered data/info | design-data relationship
conveys_more_data,14,clustered data/info | data intersection | data trend | dense/cluttered data/info | design-data relationship
abundant_text_present,14,clear text arrangement/density | clear text/scale/information | code/text | context/text/description | explanation text
less_elements_overall,14,dense points/lines/shapes/elements | few points/lines/shapes/elements | less organized elements | many points/lines/shapes/elements | messy/mixed up/noisy/intermingled elements
clearly_links_to_data,14,clustered data/info | data intersection | data trend | dense/cluttered data/info | design-data relationship
some_text_present,14,clear text arrangement/density | clear text/scale/information | code/text | context/text/description | explanation text
clear_and_legible,14,clear and concise | clear color uses | clear colored bars/charts | clear colors/shapes | clear connection
limited_data_volume,14,clustered data/info | data intersection | data trend | dense/cluttered data/info | design-data relationship
excessive_data_volume,14,clustered data/info | data intersection | data trend | dense/cluttered data/info | design-data relationship
high_text_density,14,clear text arrangement/density | clear text/scale/information | code/text | context/text/description | explanation text
positioned_close_to_data,14,clustered data/info | data intersection | data trend | dense/cluttered data/info | design-data relationship
just_text_present,14,clear text arrangement/density | clear text/scale/information | code/text | context/text/description | explanation text
primarily_text_based,14,clear text arrangement/density | clear text/scale/information | code/text | context/text/description | explanation text
more_text_present,14,clear text arrangement/density | clear text/scale/information | code/text | context/text/description | explanation text
text_present,14,clear text arrangement/density | clear text/scale/information | code/text | context/text/description | explanation text
sparse_text_present,14,clear text arrangement/density | clear text/scale/information | code/text | context/text/description | explanation text
text_requires_processing,14,clear text arrangement/density | clear text/scale/information | code/text | context/text/description | explanation text
easy_to_interpret,14,description easy to read | easier to interpret/read/understand | easy to derive meaning | easy to focus/follow | easy to identify/extract/find features
high_data_volume,14,clustered data/info | data intersection | data trend | dense/cluttered data/info | design-data relationship
insufficient_text_present,14,clear text arrangement/density | clear text/scale/information | code/text | context/text/description | explanation text
encodes_data_collection,14,clustered data/info | data intersection | data trend | dense/cluttered data/info | design-data relationship
different_size_circles,14,different clarity | different font/word sizes/structure | different labels | different movement | different word meaning
difficult_to_understand,14,attention/squinting to understand | easier to interpret/read/understand | easy to interpret/read/understand | easy to understand | hard to interpret/read/understand
no_complex_elements,14,complex design | dense points/lines/shapes/elements | few points/lines/shapes/elements | less organized elements | many points/lines/shapes/elements
missing_data_key,14,clustered data/info | data intersection | data trend | dense/cluttered data/info | design-data relationship
small_font_size,13,different font/word sizes/structure | font | image size | mixed size | shape size
complex_axis_labeling,13,axis meaning | axis numbers | axis scales | clear title/axis/label | complex design
spread_of_information,13,clear text/scale/information | diverse information | factual information | field information | graphical information
clear_indications_present,13,clear and concise | clear color uses | clear colored bars/charts | clear colors/shapes | clear connection
clear_at_a_glance,13,clear and concise | clear color uses | clear colored bars/charts | clear colors/shapes | clear connection
meaning_not_interpretable,13,axis meaning | different word meaning | easy to derive meaning | label meaning | lack of meaning
hard_to_visualise,13,hard to compare/discern/distinguish | hard to describe | hard to distinguish colors | hard to focus/follow | hard to identify/extract/find features
small_numbers_present,13,ambiguous numbers | amount of words/context/numbers | axis numbers | involves numbers | little/less text/numbers/context
few_legend_items,13,explanatory legend | few lines | few points/lines/shapes/elements | inadequate/few coloring | lack of legend
high_information_processing_effort,13,clear text/scale/information | diverse information | factual information | field information | graphical information
words_difficult_to_see,13,amount of words/context/numbers | easier to see/tell/visualize | hard to see/tell/visualize | highlighted words | more difficult
ratio_information_present,13,clear text/scale/information | diverse information | factual information | field information | graphical information
well_spread_information,13,clear text/scale/information | diverse information | factual information | field information | graphical information
more_information_labeled,13,clear text/scale/information | diverse information | factual information | field information | graphical information
high_information_density,13,clear text arrangement/density | clear text/scale/information | diverse information | factual information | field information
missing_axis_label,13,axis meaning | axis numbers | axis scales | clear title/axis/label | label meaning
more_elements_present,13,dense points/lines/shapes/elements | few points/lines/shapes/elements | less organized elements | many points/lines/shapes/elements | messy/mixed up/noisy/intermingled elements
less_clear_writing,13,clear and concise | clear color uses | clear colored bars/charts | clear colors/shapes | clear connection
hierarchy_hard_to_parse,13,hard to compare/discern/distinguish | hard to describe | hard to distinguish colors | hard to focus/follow | hard to identify/extract/find features
overall_more_complex_to_understand,13,attention/squinting to understand | complex design | easier to interpret/read/understand | easy to interpret/read/understand | easy to understand
clear_labeling,13,clear and concise | clear color uses | clear colored bars/charts | clear colors/shapes | clear connection
clear_interpretive_message,13,clear and concise | clear color uses | clear colored bars/charts | clear colors/shapes | clear connection
hard_to_intuitively_ascertain,13,hard to compare/discern/distinguish | hard to describe | hard to distinguish colors | hard to focus/follow | hard to identify/extract/find features
large_information_volume,13,clear text/scale/information | diverse information | factual information | field information | graphical information
unidentifiable_elements,13,dense points/lines/shapes/elements | few points/lines/shapes/elements | less organized elements | many points/lines/shapes/elements | messy/mixed up/noisy/intermingled elements
multiple_points_of_interest,13,dense points/lines/shapes/elements | few points/lines/shapes/elements | many points/lines/shapes/elements | more charts/points/lines/shapes/elements | multiple aspects
less_clear_at_glance,13,clear and concise | clear color uses | clear colored bars/charts | clear colors/shapes | clear connection
hard_to_make_sense,13,hard to compare/discern/distinguish | hard to describe | hard to distinguish colors | hard to focus/follow | hard to identify/extract/find features
small_visual_size,13,image size | mixed size | shape size | shape size variation | simple visual elements
no_clear_pattern,13,clear and concise | clear color uses | clear colored bars/charts | clear colors/shapes | clear connection
elements_do_not_make_sense,13,dense points/lines/shapes/elements | few points/lines/shapes/elements | less organized elements | many points/lines/shapes/elements | messy/mixed up/noisy/intermingled elements
clear_and_concise_key,13,clear and concise | clear color uses | clear colored bars/charts | clear colors/shapes | clear connection
randomly_placed_elements,13,dense points/lines/shapes/elements | few points/lines/shapes/elements | less organized elements | many points/lines/shapes/elements | messy/mixed up/noisy/intermingled elements
less_information_present,12,clear text/scale/information | diverse information | factual information | field information | graphical information
harder_to_understand,12,attention/squinting to understand | easier to interpret/read/understand | easy to interpret/read/understand | easy to understand | hard to interpret/read/understand
granular_information_depth,12,clear text/scale/information | diverse information | factual information | field information | graphical information
contains_more_information,12,clear text/scale/information | diverse information | factual information | field information | graphical information
requires_time_to_understand,12,attention/squinting to understand | change over time | easier to interpret/read/understand | easy to interpret/read/understand | easy to understand
x_and_y_axis_present,12,axis meaning | axis numbers | axis scales | clear title/axis/label | labeled axis
dense_word_content,12,dense points/lines/shapes/elements | dense/cluttered data/info | dense/cluttered layout | dense/cluttered shape | different font/word sizes/structure
cannot_understand_encoding,12,attention/squinting to understand | easier to interpret/read/understand | easy to interpret/read/understand | easy to understand | hard to interpret/read/understand
excessive_information_volume,12,clear text/scale/information | diverse information | factual information | field information | graphical information
high_volume_of_information,12,clear text/scale/information | diverse information | factual information | field information | graphical information
axis_present,12,axis meaning | axis numbers | axis scales | clear title/axis/label | labeled axis
contains_factual_information,12,clear text/scale/information | diverse information | factual information | field information | graphical information
lacks_contextual_information,12,clear text/scale/information | diverse information | factual information | field information | graphical information
gives_no_further_information,12,clear text/scale/information | diverse information | factual information | field information | graphical information
axis_absent,12,axis meaning | axis numbers | axis scales | clear title/axis/label | labeled axis
lots_of_information,12,clear text/scale/information | diverse information | factual information | field information | graphical information
more_information_present,12,clear text/scale/information | diverse information | factual information | field information | graphical information
multiple_words_present,12,amount of words/context/numbers | highlighted words | more texts/words | multiple aspects | multiple features/elements/graphs
dual_axis_present,12,axis meaning | axis numbers | axis scales | clear title/axis/label | labeled axis
