original,OriginalSign,OriginalPhraseImageCount,AIcurated,AIcuratedSign,AIcuratedPhraseImageCount,HumanCurated,HumanCuratedSign,HumanCuratedPhraseImageCount
Wavelet Coefficients,(+),1,kid drawing,(+),1.0,text ratio,(+),1.0
Way more information,(+),1,label meaning,(+) (-),2.0,texture details,(+),3.0
What the colors represent,(+),1,labeled axis,(+),1.0,title/axis/label/descriptions,(+) (-),46.0
Why is it moving like that.,(+),1,labels,(+) (-),8.0,too many colors,(+),5.0
Word amount,(+),1,lack of color diversity,(+),1.0,too many details/divisions,(+),5.0
Word meaning difference,(+),1,lack of legends,(+),1.0,too many numbers,(+),1.0
Words,(+),2,lack of text,(+),2.0,too many points/lines/shapes/elements,(+),3.0
Words are easier to understand,(-),1,lacks blue contrast,(+),1.0,too many sections,(+),1.0
Words are not oriented the same,(+),1,lacks clarity,(+),1.0,too many subjects,(+),1.0
World maps are well known for everybody,(-),1,lacks context,(+),1.0,too many subplots,(+),1.0
X and Y axis,(-),1,large key,(+),1.0,too more points/lines/shapes/elements,(+),1.0
a bit harder to understand,(+),1,large numbers,(+),2.0,too much data/info,(+),7.0
a bit more complicated,(+),1,larger dataset,(+),2.0,too much legend,(+) (-),15.0
a cluster of information,(+),1,layered color,(+),1.0,two colors,(+) (-),4.0
a continent with countries,(-),1,layers of details,(+),1.0,unable to remember,(+),1.0
a different color would make the image less complex,(+),1,legend,(+) (-),10.0,unable to sort,(+),1.0
a few lines,(-),1,legend adds complexity,(+) (-),3.0,unclear color meaning,(+) (-),11.0
a few lines joined,(-),1,length,(+),1.0,unclear coloring,(+) (-),10.0
a few of the words,(-),1,length variation,(+),1.0,unclear colormaps,(+) (-),38.0
a gradient,(+),1,less attractive,(+),1.0,unclear colors/contrast,(+),8.0
a key,(-),1,less clear,(+),2.0,unclear filled bars,(+),1.0
a key with color coding,(+),1,less color,(+),2.0,unclear meaning,(+) (-),10.0
a large number of variables (countries),(+),2,less complex,(-),2.0,unclear meaning/confusing,(+) (-),34.0
a legend,(+),1,less details,(-),1.0,unclear movement,(+),2.0
a limited color range,(-),1,less information,(-),2.0,unclear relation between words,(+),6.0
a line of points,(-),1,less intuitive,(+),1.0,unclear shape,(+),1.0
a little bit busier,(+),1,less organic shapes,(+),1.0,unclear shape meaning,(+),4.0
a little confusing,(+),1,less organization,(+),3.0,unclear structure,(+),3.0
a lot going on,(+),3,less simple,(+),1.0,unclear what data conveys,(+) (-),9.0
a lot more aspects,(+),1,less straightforward,(+),2.0,unclear where to look/what to see,(+),1.0
a lot more images to look at,(+),1,less structured,(+),3.0,understand/read shapes,(+),5.0
a lot more involved,(+),1,less text,(+) (-),3.0,uneven shape,(+),1.0
a lot more to understand,(+),1,less understandable,(+),1.0,unfamiliar concepts/patterns,(+),38.0
a lot of charts,(+),1,less uniform shapes,(+),1.0,uninterpretable ranking,(+),1.0
a lot of color and text,(+),1,less visually appealing,(+),1.0,unique,(+),1.0
a lot of colors,(+),3,less white,(+),1.0,unique data point,(+),1.0
a lot of data points,(+),2,letter size variation,(+),1.0,unknown hidden content,(+),1.0
a lot of details,(+),1,letter structure,(+),1.0,unreadable,(+),2.0
a lot of details and figures,(+),1,limited color range,(-),2.0,value and graphic alignment,(+) (-),2.0
a lot of different bits of data interacting,(+),1,line intersections,(+),3.0,value representation,(+),1.0
a lot of different colors,(+),1,lineages,(+),1.0,values in the middle,(+),1.0
a lot of different species,(+),1,lines,(+),17.0,very different colors,(+),1.0
a lot of fine detail,(+),1,lines and scales,(+),1.0,visual clarity/appealing,(+) (-),6.0
a lot of info,(+),1,lines and shapes,(+),1.0,visual cues,(+),1.0
a lot of information,(+),3,lines of text,(-),1.0,visualization meaning,(+),1.0
a lot of information to take in,(+),2,lines represent different quantities,(+),1.0,visually overwhelming,(+),1.0
a lot of lines,(+),2,link,(-),1.0,visually stimulating  texture/colors,(+),2.0
a lot of little boxes,(+),1,little information,(+) (-),3.0,visually striking,(+),1.0
a lot of numbers,(+),1,little to no numbers,(+),1.0,waterfall-like,(+),1.0
a lot of pictures and words,(+),1,looking for pattern,(+),1.0,white color on black background,(+),1.0
a lot of shapes,(+),2,looks like waterfall,(+),1.0,white/black background / other background,(+),4.0
a lot of similar instances,(-),1,lot of words,(+),2.0,with legend,(+),1.0
a lot of stuff writting,(+),1,lots of colors,(+),6.0,word frequency,(-),2.0
a lot of terms,(+),1,lots of numbers,(+),2.0,word misoriented,(+),1.0
a lot of text,(+),1,lots of text,(+),1.0,word rotation/small font size,(+) (-),22.0
a lot of useful information,(+),1,lots of words,(+),1.0,word source,(-),1.0
a lot of word,(+),1,lots of writing,(+),1.0,word/text/sentence,(+) (-),21.0
a lot of words,(+),1,low contrast,(+),1.0,words and numbers,(-),1.0
a lot of writing,(+),1,low readability,(+),1.0,x-axis unlabeled,(+),1.0
a map,(-),1,many circles,(+),1.0,y-axis meaning unclear,(+),1.0
a mess,(+),1,many colors,(+),1.0,,,
a multitude of observations,(+),1,many cubes,(+),1.0,,,
a process,(+),1,many data points,(+),2.0,,,
about earthquake,(-),1,many different colors,(+),1.0,,,
abstract,(+),1,many dots,(+),2.0,,,
abstract painting,(+),2,many elements,(+),9.0,,,
abstract shapes,(+),1,many intersections,(+),2.0,,,
abstraction,(+),1,many legend categories,(+),1.0,,,
adds extra challenge to read it,(+),1,many lines,(+),2.0,,,
alignment,,1,many numbers,(+),4.0,,,
all dots were related,(+),1,many points,(+),1.0,,,
all it's detail,(-),1,many shapes,(+),5.0,,,
all new to me,(+),1,many small details,(+),1.0,,,
all the text,(+),1,many small writings,(+),1.0,,,
all very different,(+),1,many text boxes,(+),1.0,,,
allow to analyze the data,(-),1,many things in one area,(+),1.0,,,
alphabetical ordered,(-),1,many writings,(+),1.0,,,
ambiguous colors,(+),1,many/more colors,(+),24.0,,,
ambiguous numbers,(+),1,map,(+) (-),25.0,,,
amount of colors,(+),2,map colors,(-),1.0,,,
amount of colour used,(+),1,matrix pattern,(-),1.0,,,
amount of elements higher,(+),1,messy,(+),7.0,,,
amount of information,(+),1,messy graph,(+),1.0,,,
amount of informations,(+),1,metric representation,(+),1.0,,,
amount of items,(+),1,misaligned,(+),1.0,,,
amount of shapes,(+),1,mismatched number-circle proportions,(+),1.0,,,
amount of text,(+) (-),2,mixed colors,(+),4.0,,,
amount of words describing data,(+),1,mixed text sizes,(+),1.0,,,
amount of words in columns,(+),1,mixed up,(+),1.0,,,
an additional key,(+),1,mixed with timeline,(+),1.0,,,
and layering of the colors,(+),1,mixed words,(+),1.0,,,
animal shapes,(+),1,monochrome,(+) (-),3.0,,,
apparent flow,(-),1,more areas,(+),1.0,,,
arrangement of colors,(+),1,more axes,(+),1.0,,,
arrangement of shapes,(+),1,more boxes,(+),2.0,,,
arrows pointing in different directions,(+),1,more charts,(+),3.0,,,
assortment of bigger red boxes,(+),1,more cluttered,(+),1.0,,,
at a glance,(-),1,more color,(+),4.0,,,
at first glance the dots were hard to visualise,(+),1,more colors,(+),11.0,,,
axes,(+),1,more complicated,(+),8.0,,,
axis,(-),3,more confusing,(+),1.0,,,
axis data,(+),1,more content,(+),2.0,,,
axis labeling,(+),1,more context,(-),1.0,,,
axis of parameters,(+),1,more contrast,(+),3.0,,,
background white,(+),1,more data,(+),13.0,,,
bad choice of colors,(+),1,more data lines,(+),1.0,,,
bad design of the graph,(+),1,more data points,(+),7.0,,,
bar chart,(+),1,more data to comprehend,(+),7.0,,,
bar graph,(-),1,more detail,(+),4.0,,,
bar graphs,(+),1,more detailed,(+),2.0,,,
bars being individual lines.,(+),1,more details,(+) (-),23.0,,,
bars extending horizontally,(+),1,more different labels,(+),1.0,,,
basic graph,(-),1,more difficult,(+) (-),3.0,,,
big text and smaller text,(+),1,more difficult to compare,(+),1.0,,,
bit easier to understand,(-),1,more difficult to decipher,(+),1.0,,,
black,(+),1,more difficult to discern,(+),2.0,,,
black and white,(-),3,more difficult to distinguish,(+),1.0,,,
black background,(+),1,more difficult to focus,(+),1.0,,,
black changes into white,(+),1,more difficult to follow,(+),2.0,,,
black color grabbed attention,(+),1,more difficult to interpret,(+),3.0,,,
blue box,(-),1,more difficult to read,(+),8.0,,,
blue colored,(-),1,more difficult to read and differentiate,(+),1.0,,,
blue squares,(+),1,more difficult to read and discern,(+),1.0,,,
blurred purple and green boxes,(+),1,more difficult to see,(+),1.0,,,
blurring and color overlay,(+),1,more difficult to understand,(+) (-),16.0,,,
boxes,(+),2,more dots,(+),3.0,,,
brands don't recognize,(+),1,more elements,(+) (-),17.0,,,
break down what it means,(-),1,more everything,(+),1.0,,,
brighter,(-),1,more factors to consider,(+),6.0,,,
bunch of words mixed,(+),1,more forms,(+) (-),3.0,,,
can be confusing,(+),1,more going on,(+),7.0,,,
can clearly see the data,(-),1,more graphic elements,(+),1.0,,,
can easily be read,(-),1,more groups,(+),1.0,,,
can easily be remembered,(-),1,more images,(+),2.0,,,
can easily deduce,(-),1,more information,(+) (-),46.0,,,
can not read them,(+),1,more information spread,(+) (-),3.0,,,
can see at a glance,(-),1,more information to process,(+),2.0,,,
can see words,(-),2,more information to think about,(+),1.0,,,
can understand more quickly,(-),1,more information types,(+),2.0,,,
can't identify,(+),1,more intricate,(+),5.0,,,
can't tell what the image is about,(+),1,more involved,(+),1.0,,,
can't understand them,(+),1,more items,(+),6.0,,,
cannot make sense of it,(+),1,more labeled information,(+),1.0,,,
cannot understand,(+),1,more labels,(-),1.0,,,
cannot understand the pattern,(+),1,more legible,(+),1.0,,,
captions,(-),1,more letters,(+),1.0,,,
challenging to distinguish,(+),1,more lines,(+),6.0,,,
challenging to identify,(+),1,more nuance information,(+),2.0,,,
changing fonts,(-),1,more numbers,(+),2.0,,,
chaotic,(+),1,more objects,(+) (-),4.0,,,
chart,(-),1,more parameters,(+),1.0,,,
chart showing frequency of words,(-),1,more pixels,(+),1.0,,,
chart with labels,(-),1,more points,(+),3.0,,,
charted map,(+),1,more points/shapes,(+),1.0,,,
chemical compounds,(-),1,more regions,(+),1.0,,,
chemicals,(+),1,more shape variation,(+),4.0,,,
choice of colors,(+),1,more shapes,(+) (-),8.0,,,
circle,(+),1,more shapes of different sizes,(+),1.0,,,
circle graphs,(-),2,more shapes/details,(+),1.0,,,
circles,(+),4,more space taken,(+),3.0,,,
circles and colors mixed together,(+),1,more squares,(+),1.0,,,
circles and lines,(+),1,more squares than dots,(+),1.0,,,
circles of various sizes,(+),1,more text,(+),6.0,,,
circles of varying size,(+),1,more things,(+),1.0,,,
clarity,(-),1,more to analyze,(+),1.0,,,
clean lines,(-),1,more to understand,(+),5.0,,,
cleaner,(-),1,more understandable,(-),2.0,,,
clear,(-),2,more uniform design,(-),2.0,,,
clear and clean,(-),1,more variables,(+),7.0,,,
clear and concise,(-),1,more words,(+),10.0,,,
clear and concise key,(-),1,more words in columns,(+),1.0,,,
clear color difference,(-),1,more writing,(+),4.0,,,
clear connection,(-),1,much easier,(-),1.0,,,
clear image,(-),1,multi-year information,(+),1.0,,,
clear path to follow,(-),1,multiple areas,(+),1.0,,,
clear shape,(-),1,multiple aspects,(+),2.0,,,
clear text,(-),2,multiple axes,(+) (-),6.0,,,
clearer,(-),4,multiple colors,(+),4.0,,,
clearer colors,(-),1,multiple components,(+),3.0,,,
clearer what I can learn,(-),1,multiple copies,(-),1.0,,,
clearly delineated,(-),1,multiple elements,(+),1.0,,,
clearly link to legend,(-),1,multiple features,(+),4.0,,,
clearly see,(-),1,multiple graphic elements,(+),1.0,,,
clearly visible at a glance,(-),1,multiple graphics,(+),4.0,,,
clueless,(+),1,multiple graphs,(+),1.0,,,
clustering of circles,(+),1,multiple interacting elements,(+),2.0,,,
clustering of the circles,(+),1,multiple interpretations,(+),1.0,,,
cluter on screen,(+),1,multiple shapes,(+),2.0,,,
cluttered,(+),1,multivariate,(+),1.0,,,
code/text,(-),1,muted colors,(+),1.0,,,
codes,(+),1,names,(+),1.0,,,
cohesive whole,(-),1,nasa graph,(+),1.0,,,
collection of 3 dots,(-),1,need detailed analysis,(+),3.0,,,
color,(+),3,need focus,(+),1.0,,,
color bar,(+),1,need to read many figures,(+),1.0,,,
color code,(+),1,needs a lot of reading,(+),3.0,,,
color coding,(+),1,needs more effort,(+),1.0,,,
color contrast,(-),2,needs more study,(+),1.0,,,
color contrast really weird,(+),1,needs understanding,(+) (-),2.0,,,
color differences,(+),2,negative space illusion,(+),1.0,,,
color dimension (one versus two),(+),1,network,(+),2.0,,,
color distribution,(+),1,network representation,(+),1.0,,,
color formats,(+),1,never seen,(+),1.0,,,
color gradient,(+),1,no axis,(+),2.0,,,
color hard to identify,(+),1,no axis labels,(+),1.0,,,
color hues,(-),1,no clear indication,(+),5.0,,,
color intensity.,(+),1,no clue,(+),2.0,,,
color keys,(+),1,no color difference,(+) (-),2.0,,,
color more layered,(+),1,no colors,(+),1.0,,,
color of dots,(+),1,no context,(+) (-),5.0,,,
color of the images,(+),1,no data,(+),1.0,,,
color scale,(+),2,no description,(+),1.0,,,
color scheme,(-),1,no detail,(+),2.0,,,
color scheme hard on eyes,(+),1,no explanation of data,(+),2.0,,,
color scheme of wording,(+),1,no font,(+),1.0,,,
color separation,(-),1,no graphic legend,(+),1.0,,,
color superposition,(+),1,no grid,(+),1.0,,,
color variation,(+),2,no idea,(+) (-),5.0,,,
color variety,(+),1,no idea what image is,(+),1.0,,,
colored dots,(+),1,no idea what it represents,(+) (-),3.0,,,
colored graphic chart,(+),1,no interaction,(-),1.0,,,
colored in a certain shape,(+),1,no key for data,(+),1.0,,,
colored segments,(-),1,no legend,(+),4.0,,,
colored surface,(+),1,no legends,(+),3.0,,,
colorful,(-),1,no measurements,(+),2.0,,,
colors,(+),14,no metrics,(+) (-),3.0,,,
colors are bold,(+),1,no more information,(+),1.0,,,
colors are difficult to tell apart,(+),1,no numbers,(+),2.0,,,
colors are easy on the eyes,,1,no pattern,(+),4.0,,,
colors are similar,(+),1,no regularity,(+),1.0,,,
colors are too similar,(+),1,no square information,(+),1.0,,,
colors distribution,(+),2,no text,(+),2.0,,,
colors dont carry any meaning,(+),1,no titles,(+),2.0,,,
colors drew me in,(+),1,no written information,(+),1.0,,,
colors dull and blended,(+),1,nodes,(-),1.0,,,
colors have no meaning,(+),1,noisy,(+),2.0,,,
colors in the map,(-),1,non-familiar layout,(+),1.0,,,
colors in the same area,(+),1,nonlinear y-axis,(+),1.0,,,
colors on both side left are identical,(+),1,nonlinearity,(+),2.0,,,
colors representing groups,(-),1,not clear,(+),3.0,,,
colors strongly contrasting,(+),1,not easily decipherable,(+),3.0,,,
colors to represent sounds,(+),1,not easily understood,(+),1.0,,,
colors used,(-),1,not intuitive,(+) (-),5.0,,,
columns and rows,(-),1,not much color,(+),1.0,,,
comfortable for the eyes,(-),1,not simple color-wise,(+),2.0,,,
common knowledge,(-),1,not simple data,(+),1.0,,,
compare images and determine which one is the closest representation of the concept they are trying to convey.,(+),1,not sure,(+),4.0,,,
completely in color (no white),(+),1,not to the point,(+) (-),2.0,,,
complex graph design,(+),1,not understandable,(+),1.0,,,
complex shapes,(+),1,nothing clear,(+),2.0,,,
complexity in shapes,(+),2,nothing understood,(+),1.0,,,
complicated at first glance,(+),1,nothing visible,(+),1.0,,,
complicated formulas and symbols,(+),1,novel pattern,(+),1.0,,,
complicated to look at,(+),1,number distribution,(+),1.0,,,
composition is more convoluted,(+),1,number of colors,(+) (-),7.0,,,
comprehend the context and process the provided information.,(+),1,number of legend items,(-),2.0,,,
computer screen,(-),1,number of levels,(+) (-),3.0,,,
condensate,(+),1,number of vertical lines,(+),1.0,,,
confusing,(+),2,numbers,(+) (-),5.0,,,
confusing and complex to understand,(+),1,numbers and annoations,(+),2.0,,,
"confusing numbers, letters",(+),1,numbers and legend,(+),1.0,,,
confusing overall understandability,(+),1,numbers and shapes,(+),1.0,,,
confusing to read,(+),2,numbers lack meaning,(+),4.0,,,
confusion,(+),2,numerical details,(-),1.0,,,
connection to surroundingsfeels confusing,(+),1,numerical values,(+),3.0,,,
"connections feel arbitrary, irregular",(+),1,one font,(-),1.0,,,
contains more information,(+),1,one variable,(-),1.0,,,
context,(-),1,only for trained eyes,(+),1.0,,,
contrast,(-),1,orange shades,(+),1.0,,,
contrast of colors,(+),1,order of words,(+),1.0,,,
contrast of the colors,(+),1,ordered,(-),3.0,,,
contrasting colors,(-),1,organized,(+) (-),7.0,,,
conveying more data,(+),1,overall shape,(+),1.0,,,
could be difficult,(+),1,overlapping,(+),5.0,,,
could gather what it meant,(-),1,overlapping circle areas,(+),1.0,,,
couldnt`see the content,(+),1,overlapping circles,(+),1.0,,,
countries,(+),3,overlapping colors,(+),3.0,,,
country,(-),2,overlapping data points,(+),1.0,,,
country related,(-),1,overlapping features,(+),1.0,,,
country shapes,(-),2,overlapping lines,(+),7.0,,,
cross at the bottom,(+),1,overly colorful,(+),2.0,,,
crossing and overlapping of the lines,(+),1,packed with information,(+),2.0,,,
crossing each other,(+),1,pattern,(+) (-),8.0,,,
curve seems complex,(+),1,pellet looking things,(+),1.0,,,
curved lines,(+),1,phylogenetic tree,(+),2.0,,,
curves and different points,(-),1,physical dimension,(+),1.0,,,
dark and black,(+),1,picture,(+),1.0,,,
dark green,(-),2,pie chart,(+) (-),2.0,,,
darker,(+),2,pixeled picture,(+),1.0,,,
darker/denser area,(+),1,plots,(+),1.0,,,
dashed box,(+),1,point position,(+) (-),3.0,,,
dashed line,(+),1,points of increase/decrease,(+) (-),3.0,,,
data are easier to see,(-),1,points of interest,(+),3.0,,,
data in  different format,(+),1,poor color choice,(+),3.0,,,
data points are closer,(+),1,precise naming,(-),1.0,,,
data visualizations,(-),1,precision of aspects,(+),1.0,,,
dates,(+),1,precision of lines,(+),1.0,,,
decipher while reading,(+),1,process,(+),2.0,,,
deductions can be taken,(-),1,programming,(+),1.0,,,
dense clutter of elements,(+),1,prominent colors,(+),1.0,,,
dense data set,(+),1,provokes thought,(+) (-),3.0,,,
densely packed shapes,(+),1,random meaningless names,(+),3.0,,,
density of information,(-),2,random-like data movement,(+),1.0,,,
density of text,(+),1,random-like movement,(-),1.0,,,
depth,(+),1,random-like shapes,(+) (-),3.0,,,
description,(-),1,range of colors,(+),1.0,,,
descriptions are eye catching,(+),1,ranking,(-),1.0,,,
"design, data and concept",(+),1,readability,(+),6.0,,,
details,(+),3,readable text,(-),1.0,,,
details are finer and more intricate,(+),1,recognizable objects/map,(-),1.0,,,
did not know the countries highlighted,(+),1,recognizable words,(-),1.0,,,
did not know what data to convey,(+),1,red colors,(+),1.0,,,
didn't think it imply anything too complicated,(-),1,reduces the effort to comprehend,(-),5.0,,,
didn't understand,(+),2,regions,(+),1.0,,,
didn't understand what the colors represent,(+),1,repeated text,(+),1.0,,,
didn't understand what was going on,(+),1,representation,(+),2.0,,,
different axes,(+),1,require careful examination,(+),1.0,,,
different axis,(+),1,require hard thinking,(+),2.0,,,
different bars,(+),1,require reading each item,(+),1.0,,,
different color,(+),1,require specialized knowledge,(+),2.0,,,
different color codes,(+),1,require squinting to understand,(+),1.0,,,
different colors,(-),12,requires concentration,(+),2.0,,,
different colors are confusing,(+),1,requires more interpretation,(+),3.0,,,
different fonts,(+),1,requires more understanding,(+),1.0,,,
different labels,(+),1,requires reading,(+),1.0,,,
different shades,(-),1,same color,(+),1.0,,,
different shades of orange,(+),1,scale,(-),1.0,,,
different shapes,(+),1,scale difference,(+) (-),4.0,,,
different shapes and sizes,(+),1,scatter plot,(+),1.0,,,
different shapes of data points,(+),1,scattered,(+),2.0,,,
different sizes,(+),1,scientific method,(+),2.0,,,
different sizes of font,(+),1,see line movement,(+),1.0,,,
different visual elements,(-),1,seismic graph,(-),2.0,,,
different volume,(+),1,selected words,(+),1.0,,,
different word sizes,(+),1,self explanatory,(-),2.0,,,
differnent sizes/figures,(+),1,separate color scale,(+),1.0,,,
difficult for me to describe,(+),1,several elements,(+) (-),5.0,,,
difficult to analyze,(+),1,several measurements,(+),1.0,,,
difficult to ascertain,(+),1,several more colors,(+),1.0,,,
difficult to comprehend,(+),2,shape,(+) (-),3.0,,,
difficult to comprehend at first glance,(+),1,shape arrangement,(+),1.0,,,
difficult to discern,(+),2,shape hard to read,(+),2.0,,,
difficult to focus on,(+),1,shape indicators,(+),1.0,,,
difficult to focus on the image for long,(+),1,shape misunderstanding,(+),2.0,,,
difficult to follow,(+),2,shape size,(+),1.0,,,
difficult to identify differences in information,(+),1,shape varation,(+),1.0,,,
difficult to keep my eyes on,(+),1,shape-related,(+),1.0,,,
difficult to model,(+),1,shapes,(+) (-),15.0,,,
difficult to parse,(+),1,shapes and contrasts,(+),3.0,,,
difficult to read,(+),4,shapes and lines,(+),1.0,,,
difficult to see,(+),1,shapes represent subsets,(+),1.0,,,
difficult to understand,(+),7,shapes varied,(+),1.0,,,
difficult to understand diagram,(+),1,similar box sizes,(+),1.0,,,
difficult to visualize,(+),1,similar colors,(+),5.0,,,
dificult to see whats about,(+),1,similar shapes,(+),1.0,,,
disposition,(+),1,simple coloring,(-),1.0,,,
distinct colors,(+),2,simple information,(-),2.0,,,
distinct shapes,(-),1,simple structure,(-),1.0,,,
distinguished/distinctive colors,(-),1,simple symbol,(-),1.0,,,
distract me from the information conveyed,(+),1,simple to digest,(+) (-),4.0,,,
do not know the context,(+),1,simple to understand,(-),6.0,,,
do not know the point,(+),1,simple visual elements,(+) (-),6.0,,,
do not know what,(+),1,size,(+),1.0,,,
do not make sense,(+),1,size decreasing,(-),2.0,,,
does not sound familiar,(+),1,size variations,(+) (-),2.0,,,
doesn't need to do as much visually,(-),1,small font,(+),5.0,,,
don't know how to interpretate,(+),1,small numbers,(-),1.0,,,
don't know how to read this,(+),1,small table,(+),1.0,,,
don't know what it presents.,(+),1,small text,(+),10.0,,,
don't know what looking at,(+),1,small writing,(+),2.0,,,
don't know what they mean,(+),1,smaller,(+),1.0,,,
don't know what to say,(+),1,smaller icons,(+),1.0,,,
don't need much attention to recognize it,(-),1,smooth lines,(-),1.0,,,
don't understand,(+),6,soft colors,(+) (-),2.0,,,
don't understand the design or interest,(+),1,some text,(+) (-),2.0,,,
don't understand well,(+),1,spatial organization,(+) (-),3.0,,,
don't understand what its talking about in 5 sec,(+),1,sports-related,(-),2.0,,,
don't understand where to look.,(+),1,spread around,(+) (-),4.0,,,
dont understand,(+),1,squares,(+),1.0,,,
dont understand at all,(+),1,squares scattered,(+),3.0,,,
dont understand what the shapes represent.,(+),1,stacked lines,(+),1.0,,,
dots,(-),7,stimulating colors,(+),1.0,,,
dots and lines on a grid,(-),1,stimulating texture,(+),1.0,,,
dots are everywhere,(+),1,stimulus less visible,(+),1.0,,,
dots are scattered,(+),1,straight line,(-),1.0,,,
dotted lines,(+),1,straight lines,(-),3.0,,,
draw style,(+),2,straight to the point,(-),1.0,,,
each box is significantly different,(+),1,straightforward,(-),4.0,,,
earth,(-),1,strange,(+),1.0,,,
ease of reading,(-),1,striped texture,(-),1.0,,,
easier to compare,(-),1,strong color contrast,(+),1.0,,,
easier to decipher,(-),1,structured,(+),1.0,,,
easier to figure out,(-),1,structured and labeled,(-),1.0,,,
easier to follow,(-),1,struggled to read,(+),1.0,,,
easier to interpret,(-),1,stuff everywhere,(+),1.0,,,
easier to process,(-),2,symbols,(+) (-),2.0,,,
easier to process/compare/interpret,(-),1,symbols and shading,(+),1.0,,,
easier to read,(-),3,table,(-),3.0,,,
easier to read and comprehend,(-),1,take longer to decode,(+),1.0,,,
easier to read and discern,(-),1,take longer to interpret,(+),2.0,,,
easier to read and understand,(-),1,take longer to process,(+),8.0,,,
easier to see,(-),1,take longer to understand,(+),21.0,,,
easier to see the differences,(-),1,technical information encoding,(+),2.0,,,
easier to take in information,(-),1,text,(+) (-),12.0,,,
easier to understand,(-),5,text and imagery,(+),2.0,,,
easier to visualize,(-),2,text and information,(+) (-),3.0,,,
easily interpretable,(-),1,text arrangement,(+),1.0,,,
easily recognizable,(-),3,text at bottom,(+),1.0,,,
easily understandable,(-),1,text density,(+),1.0,,,
easy lines to follow,(-),1,text hard to read,(+),1.0,,,
easy to decipher,(-),1,text labels,(+),1.0,,,
easy to evaluate,(-),1,text on pictures,(+),1.0,,,
easy to follow,(-),1,text ratio,(+),1.0,,,
easy to identificate,(-),1,text to read,(+),1.0,,,
easy to read,(-),1,texture details,(+),2.0,,,
easy to read and decipher.,(-),1,the colors,(+),1.0,,,
easy to read at a glance,(-),1,the shading,(+),2.0,,,
easy to read map,(-),1,thick and thin differences,(+),1.0,,,
easy to understand,(-),8,title,(-),5.0,,,
element size,(-),2,titles,(+),1.0,,,
elements less ordered,(+),1,titles and descriptions,(+),1.0,,,
equally difficult,(-),1,too cramped,(+),3.0,,,
every pixel and color represents a collection of data,(+),1,too dark,(+),2.0,,,
"everyone line is ""stacked"" on another",(+),1,too many circles,(+),1.0,,,
everything is quite diffuse,(+),1,too many colors,(+),6.0,,,
evne though didn't understand the purpose,(-),1,too many data points,(+),2.0,,,
evolutionary tree,(+),1,too many details,(+),3.0,,,
exact feature,(+),1,too many divisions,(+),1.0,,,
exact value,(+),1,too many dots,(+),1.0,,,
excessively crowded or overlapping,(+),1,too many elements,(+),2.0,,,
explanation text,(+),1,too many letters,(+),1.0,,,
explanations,(-),1,too many lines,(+),3.0,,,
explanatory legend,(-),1,too many points,(+),1.0,,,
extension and randomness,(+),1,too many sections,(+),1.0,,,
extra arrows and information,(+),1,too many shapes,(+),2.0,,,
eyes felt blurry,(+),1,too many similar colors,(+),1.0,,,
factual information,(+),1,too many spirals,(+),1.0,,,
fairly easy to read,(-),1,too many subplots,(+),1.0,,,
familiar geographic shape,(-),1,too many things,(+),1.0,,,
familiar representation,(-),1,too many variables,(+),1.0,,,
familiar to me,(-),1,too much color,(+),1.0,,,
familiar with,(-),4,too much data,(+),3.0,,,
familiarity,(-),1,too much information,(+),4.0,,,
familiarized with this type of charts,(-),1,too much to remember,(+),1.0,,,
far more noise,(+),1,too much variables,(+),1.0,,,
fast readability,(-),2,too similar colors,(+),1.0,,,
feels confusing,(+),1,two axes,(+) (-),3.0,,,
few data,(-),1,two colors,(+) (-),4.0,,,
few items,(-),1,two datasets,(-),1.0,,,
few more moments to process,(+),1,two elements,(-),1.0,,,
fewer axes,(-),1,two graphs,(+),1.0,,,
fewer data points,(-),1,two lines,(-),1.0,,,
field information,(+),1,ugly calligraphy,(+),1.0,,,
fine detail,(+),1,unable to sort,(+),1.0,,,
follows a discernible pattern,(-),1,uncertain,(+),4.0,,,
"font sizes, italicization, bold",(+),1,unclear,(+),3.0,,,
four axes,(+),1,unclear circle meaning,(+),1.0,,,
four highlighted words,(-),1,unclear color meaning,(+) (-),9.0,,,
four labeled axes,(+),1,unclear color values,(+),1.0,,,
four separate visual items,(+),1,unclear coloring,(+),2.0,,,
frame with values,(-),1,unclear differences,(+),3.0,,,
frequency each word is used,(-),1,unclear filled bars,(+),1.0,,,
frequency of words,(-),1,unclear meaning,(+) (-),8.0,,,
frightening at first glance,(+),1,unclear movement,(+),2.0,,,
from circular to rectangular,(+),1,unclear pattern,(+),1.0,,,
full map,(+),1,unclear relations between words,(+),1.0,,,
gauge some info graphically,(+),1,unclear shape meaning,(+),4.0,,,
gave no further information,(+),1,unclear structure,(+),3.0,,,
generated in a 3D program by mistake,(+),1,unclear what data conveys,(+) (-),9.0,,,
geo-map,(+),1,unclear what is happening,(+),1.0,,,
geography,(-),1,unclear writing,(+),2.0,,,
get the message of the visualization in 1-2 seconds,(-),1,undefined color,(+),1.0,,,
glean information instantly,(+),1,undefined shape,(+),1.0,,,
good color choices,(-),1,understand at a glance,(+) (-),10.0,,,
graph,(+),1,uneven shape,(+),1.0,,,
graphs,(+),1,unfamiliar design/domain uses,(+) (-),23.0,,,
