imageName,VisType,Topics,humanCuratedPhrases,finalPhrases
economist_daily_chart_124.png,Area,"Data Density / Image Clutter; Visual Encoding Clarity; Semantics / Text Legibility; Schema; Color, Symbol, and Texture Details; Immediacy / Cognitive Load","dense/cluttered layout; little data/info; more regions/space; more forms; nonlinearity; shapes; spatial organization; amount of words/context/numbers; many legend categories; more texts/words; too much legend; word/text/sentence; domain-specific concepts (e.g., chemical, biology, map); familiar representation; unfamiliar concepts/patterns; color keys; color variety/arrangement/distribution; good color contrast/separation/segmentation; soft/layered/overlapping colors; unclear color meaning; easier to interpret/read/understand; easy to interpret/read/understand; easy to understand; less clear; more to read/analyze/understand; unclear meaning/confusing","2D/3D; amount of words/context/numbers; color contrast/clarity; color variety/shading; domain-specific concepts (e.g., chemical, biology, map); easy/hard to interpret; labels/axes/legends; more charts/points/lines/shapes/elements; more regions/space; much/little data/info; overlapping shapes/colors/lines; shapes and lines; soft/layered/overlapping colors; take longer to interpret; unclear meaning/confusing"
visMost83.png,Grid,"Data Density / Image Clutter; Color, Symbol, and Texture Details",much/more data/info/info spread; more contrast,color contrast/clarity; much/little data/info
vis639.png,Point,"Color, Symbol, and Texture Details; Aesthetics Uncertainty; Immediacy / Cognitive Load",unclear shape meaning; color variety/arrangement/distribution; looks random/messy/lack structure,color variety/shading; distracting/confusing/unclear; unclear meaning/confusing
VASTJ.200.8.png,Node-link,"Visual Encoding Clarity; Semantics / Text Legibility; Color, Symbol, and Texture Details; Immediacy / Cognitive Load",less organized elements; lines; word rotation/small font size; unclear color meaning; more difficult to focus/follow,color contrast/clarity; less organized elements; more difficult to focus/follow; shapes and lines; word rotation/small font size
InfoVisJ.2082.3.png,Grid,"Data Density / Image Clutter; Semantics / Text Legibility; Schema; Color, Symbol, and Texture Details; Immediacy / Cognitive Load",fine/layered details; more charts/points/lines/shapes/elements; more parameters/variables; much/more data/info/info spread; organized/structured; more texts/words; title/axis/label/descriptions; a specific technique; inadequate/few coloring; no color; easy to interpret/read/understand; read/analyze many figures/items,"2D/3D; amount of words/context/numbers; color variety/shading; domain-specific concepts (e.g., chemical, biology, map); easy/hard to interpret; inadequate/few coloring; labels/axes/legends; more charts/points/lines/shapes/elements; more parameters/variables; much/little data/info; read/analyze many figures/items"
VisC.73.8.png,Glyph,Immediacy / Cognitive Load,hard to compare/discern/distinguish,easy/hard to interpret
VisC.233.1.png,Cont.-ColorPatn,Data Density / Image Clutter; Visual Encoding Clarity; Immediacy / Cognitive Load,fine/layered details; more charts/points/lines/shapes/elements; image size; hard to distinguish colors; hard to identify/extract/find features,easy/hard to interpret; more charts/points/lines/shapes/elements; much/little data/info; shapes and lines
SciVisJ.1025.11.png,Point,"Data Density / Image Clutter; Semantics / Text Legibility; Schema; Color, Symbol, and Texture Details",many measurements; more detailed/things; much/more data/info/info spread; information nuance expressed; amount of words/context/numbers; detailed inscription; little/less text/numbers/context; color variety/arrangement/distribution; low color contrast/separation/segmentation,"amount of words/context/numbers; color contrast/clarity; color variety/shading; domain-specific concepts (e.g., chemical, biology, map); little/less text/numbers/context; much/little data/info; word rotation/small font size"
InfoVisJ.459.15.png,Point,"Color, Symbol, and Texture Details; Immediacy / Cognitive Load",inadequate/few coloring; not interpretable/readable/understandable,easy/hard to interpret; inadequate/few coloring
VisJ.1329.1.png,Glyph,"Color, Symbol, and Texture Details; Aesthetics Uncertainty",inadequate/few coloring; distracting/confusing/unclear,distracting/confusing/unclear; inadequate/few coloring
InfoVisJ.1149.17.png,Text,Data Density / Image Clutter,much/more data/info/info spread,much/little data/info
VisC.263.7.png,Line,Aesthetics Uncertainty; Immediacy / Cognitive Load,pixeled picture; unclear colors/contrast; hard to interpret/read/understand,distracting/confusing/unclear; easy/hard to interpret; unclear colors/contrast
InfoVisC.211.8.png,Area,"Semantics / Text Legibility; Schema; Color, Symbol, and Texture Details","clear text arrangement/density; explanatory legend; domain-specific concepts (e.g., chemical, biology, map); bright colors; color variety/arrangement/distribution","bright colors; clear text arrangement/density; color variety/shading; domain-specific concepts (e.g., chemical, biology, map); labels/axes/legends"
VisC.495.10(1).png,Cont.-ColorPatn,"Color, Symbol, and Texture Details",separate values by color to show differences,color contrast/clarity
InfoVisJ.957.25.png,Node-link,Immediacy / Cognitive Load,easier to see/tell/visualize,easy/hard to interpret
VASTJ.2908.2.png,Grid,"Schema; Color, Symbol, and Texture Details; Immediacy / Cognitive Load",no context or reference; lack of color contrast / hard to distinguish colors; harder to view data point,"color contrast/clarity; domain-specific concepts (e.g., chemical, biology, map); easy/hard to interpret"
InfoVisC.211.18.png,Bar,Schema; Immediacy / Cognitive Load,"a specific technique, e.g., bar, pie, circle; simple to interpret/read/understand","domain-specific concepts (e.g., chemical, biology, map); easy/hard to interpret"
VisC.147.8(2).png,Grid,"Color, Symbol, and Texture Details",symbols and shading,symbols
SciVisJ.896.3.png,Node-link,"Color, Symbol, and Texture Details; Immediacy / Cognitive Load",unclear meaning; too many colors,color variety/shading; unclear meaning/confusing
VASTC.13.9.png,Text,"Data Density / Image Clutter; Semantics / Text Legibility; Schema; Color, Symbol, and Texture Details",more detailed/things; label meaning; a specific technique; color variety/arrangement/distribution,"color variety/shading; domain-specific concepts (e.g., chemical, biology, map); labels/axes/legends; much/little data/info"
InfoVisC.173.9.png,Grid,"Data Density / Image Clutter; Schema; Color, Symbol, and Texture Details","little data/info; domain-specific concepts (e.g., chemical, biology, map); color variety/arrangement/distribution","color variety/shading; domain-specific concepts (e.g., chemical, biology, map); much/little data/info"
vis278.png,Area,Visual Encoding Clarity,shapes and lines,shapes and lines
VisJ.1413.7.png,Cont.-ColorPatn,"Color, Symbol, and Texture Details; Immediacy / Cognitive Load",no clear indication; color variety/arrangement/distribution,color variety/shading; unclear meaning/confusing
InfoVisJ.1161.5.png,Point,"Color, Symbol, and Texture Details",unclear colormaps,color contrast/clarity
InfoVisJ.339.10.png,Node-link,"Data Density / Image Clutter; Semantics / Text Legibility; Schema; Color, Symbol, and Texture Details; Immediacy / Cognitive Load",much/more data/info/info spread; numbers and shapes; number distribution; text ratio; texture details; take longer to interpret,2D/3D; amount of words/context/numbers; much/little data/info; symbols; take longer to interpret
VisC.27.5.png,Glyph,Data Density / Image Clutter; Semantics / Text Legibility; Immediacy / Cognitive Load,more detailed/things; lack of/not enough axis labels/legend/annotations/context; unclear meaning/confusing,labels/axes/legends; much/little data/info; unclear meaning/confusing
visMost460.png,Point,Data Density / Image Clutter,more charts/points/lines/shapes/elements,more charts/points/lines/shapes/elements
VASTC.123.3.png,Grid,"Data Density / Image Clutter; Schema; Color, Symbol, and Texture Details",more detailed/things; unfamiliar concepts/patterns; inadequate/few coloring; information overload,"domain-specific concepts (e.g., chemical, biology, map); inadequate/few coloring; much/little data/info; overlapping shapes/colors/lines"
vis393.png,Grid,Data Density / Image Clutter; Immediacy / Cognitive Load,more to read/analyze/understand; multiple features/elements/graphs,more charts/points/lines/shapes/elements; take longer to interpret
VisC.73.8(2).png,Glyph,"Data Density / Image Clutter; Color, Symbol, and Texture Details; Aesthetics Uncertainty",more charts/points/lines/shapes/elements; black-to-white/color gradient; inadequate/few coloring; unclear color meaning; unclear coloring; looks random/messy/lack structure,color contrast/clarity; color variety/shading; distracting/confusing/unclear; inadequate/few coloring; more charts/points/lines/shapes/elements
InfoVisJ.522.15.png,Grid,Data Density / Image Clutter; Immediacy / Cognitive Load,more charts/points/lines/shapes/elements; hard to interpret/read/understand,easy/hard to interpret; more charts/points/lines/shapes/elements
whoK23_2.png,Bar,Data Density / Image Clutter; Semantics / Text Legibility; Immediacy / Cognitive Load,much/more data/info/info spread; amount of words/context/numbers; hard to interpret/read/understand,amount of words/context/numbers; easy/hard to interpret; much/little data/info
wsj99.png,Area,Data Density / Image Clutter; Immediacy / Cognitive Load,more detailed/things; more difficult to interpret/read/understand/differentiate,easy/hard to interpret; much/little data/info
economist_daily_chart_165.png,Bar,"Data Density / Image Clutter; Semantics / Text Legibility; Schema; Color, Symbol, and Texture Details; Immediacy / Cognitive Load",more detailed/things; much/more data/info/info spread; 2D/3D; clear title/axis/label; color variety/arrangement/distribution; attention/squinting to understand; easier to see/tell/visualize; easy to interpret/read/understand; more reading/interpretation/understanding; not interpretable/readable/understandable,2D/3D; color variety/shading; easy/hard to interpret; labels/axes/legends; much/little data/info; take longer to interpret
InfoVisJ.2412.7(2).png,Schematic,Visual Encoding Clarity; Semantics / Text Legibility; Immediacy / Cognitive Load,shapes and lines; word source; easier to interpret/read/understand; easier to see/tell/visualize,amount of words/context/numbers; easy/hard to interpret; shapes and lines
InfoVisC.65.6(2).png,Node-link,Data Density / Image Clutter; Immediacy / Cognitive Load,multiple interacting elements; more difficult to interpret/read/understand/differentiate,easy/hard to interpret; more charts/points/lines/shapes/elements
VASTJ.1407.9.png,Node-link,"Data Density / Image Clutter; Visual Encoding Clarity; Semantics / Text Legibility; Color, Symbol, and Texture Details",more charts/points/lines/shapes/elements; overlapping shapes/colors/lines; too many sections; lines and scales; small and simple; text; color shading,amount of words/context/numbers; color variety/shading; more charts/points/lines/shapes/elements; overlapping shapes/colors/lines; shapes and lines; word rotation/small font size
v483_n7390_14_f3.png,Node-link,Data Density / Image Clutter; Schema,"more charts/points/lines/shapes/elements; domain-specific concepts (e.g., chemical, biology, map)","domain-specific concepts (e.g., chemical, biology, map); more charts/points/lines/shapes/elements"
SciVisJ.1580.11(2).png,Point,Visual Encoding Clarity; Schema; Immediacy / Cognitive Load,organized/structured; bars as individual lines; easy to interpret/read/understand,2D/3D; easy/hard to interpret; shapes and lines
SciVisJ.1005.1.png,Grid,"Data Density / Image Clutter; Color, Symbol, and Texture Details; Aesthetics Uncertainty",no data; nothing visible; unclear coloring,color contrast/clarity; distracting/confusing/unclear; much/little data/info
VASTC.1.8.png,Grid,"Data Density / Image Clutter; Visual Encoding Clarity; Semantics / Text Legibility; Color, Symbol, and Texture Details",much/more data/info/info spread; shapes; word/text/sentence; unclear colormaps,amount of words/context/numbers; color contrast/clarity; much/little data/info; shapes and lines
VASTC.51.10.png,Text,Data Density / Image Clutter; Visual Encoding Clarity,much/more data/info/info spread; element sizes,much/little data/info; shapes and lines
InfoVisC.65.5(2).png,Node-link,"Data Density / Image Clutter; Visual Encoding Clarity; Schema; Color, Symbol, and Texture Details; Immediacy / Cognitive Load",more charts/points/lines/shapes/elements; overlapping shapes/colors/lines; lines; nothing clear; a specific domain; monochrome; complicated to process; hard to compare/discern/distinguish; hard to interpret/read/understand,"domain-specific concepts (e.g., chemical, biology, map); easy/hard to interpret; monochrome; more charts/points/lines/shapes/elements; overlapping shapes/colors/lines; shapes and lines"
visMost97.png,Area,"Data Density / Image Clutter; Schema; Color, Symbol, and Texture Details; Immediacy / Cognitive Load",simple information; familiar representation; color variety/arrangement/distribution; easy to interpret/read/understand,"color variety/shading; domain-specific concepts (e.g., chemical, biology, map); easy/hard to interpret; much/little data/info"
VASTJ.160.2.png,Node-link,"Data Density / Image Clutter; Semantics / Text Legibility; Color, Symbol, and Texture Details; Immediacy / Cognitive Load",messy/mixed up/noisy/intermingled elements; more charts/points/lines/shapes/elements; unclear meaning; amount of words/context/numbers; no measurement/metric/axis; color variety/arrangement/distribution; hard to interpret/read/understand,amount of words/context/numbers; color variety/shading; easy/hard to interpret; labels/axes/legends; more charts/points/lines/shapes/elements; overlapping shapes/colors/lines; unclear meaning/confusing
SciVisJ.807.5(2).png,Grid,"Visual Encoding Clarity; Semantics / Text Legibility; Color, Symbol, and Texture Details; Immediacy / Cognitive Load",several elements; title/axis/label/descriptions; inadequate/few coloring; easier to interpret/read/understand,easy/hard to interpret; inadequate/few coloring; labels/axes/legends; several elements
visMost54.png,Bar,Data Density / Image Clutter; Semantics / Text Legibility,more charts/points/lines/shapes/elements; amount of words/context/numbers,amount of words/context/numbers; more charts/points/lines/shapes/elements
np_21.png,Point,Data Density / Image Clutter; Visual Encoding Clarity; Semantics / Text Legibility; Schema; Immediacy / Cognitive Load,"more charts/points/lines/shapes/elements; shape variation; clear text/scale/information; more labels/context; more texts/words; word rotation/small font size; word/text/sentence; a specific domain; domain-specific concepts (e.g., chemical, biology, map); more difficult to interpret/read/understand/differentiate","amount of words/context/numbers; clear text/scale/information; domain-specific concepts (e.g., chemical, biology, map); easy/hard to interpret; more charts/points/lines/shapes/elements; more labels/context; shape variation; word rotation/small font size"
v490_n7418_1_f2.png,Bar,"Data Density / Image Clutter; Visual Encoding Clarity; Color, Symbol, and Texture Details",more charts/points/lines/shapes/elements; shapes; straight lines; ambiguous/confusing colors; unclear colormaps,color contrast/clarity; more charts/points/lines/shapes/elements; shapes and lines
InfoVisJ.339.3.png,Node-link,"Data Density / Image Clutter; Visual Encoding Clarity; Semantics / Text Legibility; Schema; Color, Symbol, and Texture Details; Immediacy / Cognitive Load",much/more data/info/info spread; clear indication; context/text/description; mixed size; more texts/words; title/axis/label/descriptions; a specific technique; distinguishable/full/highly contrast color uses; easy to interpret/read/understand; take longer to interpret,"amount of words/context/numbers; distinguishable/full/highly contrast color uses; domain-specific concepts (e.g., chemical, biology, map); easy/hard to interpret; labels/axes/legends; much/little data/info; shapes and lines; take longer to interpret; unclear meaning/confusing"
VASTC.41.5.png,Grid,"Data Density / Image Clutter; Color, Symbol, and Texture Details; Immediacy / Cognitive Load",more charts/points/lines/shapes/elements; color variety/arrangement/distribution; take longer to interpret,color variety/shading; more charts/points/lines/shapes/elements; take longer to interpret
InfoVisJ.349.1(2).png,Node-link,"Color, Symbol, and Texture Details; Immediacy / Cognitive Load",black-to-white/color gradient; intuitive,color variety/shading; easy/hard to interpret
SciVisJ.1246.8.png,Cont.-ColorPatn,"Data Density / Image Clutter; Visual Encoding Clarity; Color, Symbol, and Texture Details; Immediacy / Cognitive Load",more charts/points/lines/shapes/elements; shapes and lines; color variety/arrangement/distribution; unclear meaning/confusing,color variety/shading; more charts/points/lines/shapes/elements; shapes and lines; unclear meaning/confusing
InfoVisJ.967.6.png,Grid,Data Density / Image Clutter,no detail,much/little data/info
InfoVisJ.2709.1.png,Node-link,Data Density / Image Clutter; Semantics / Text Legibility; Aesthetics Uncertainty,messy/mixed up/noisy/intermingled elements; much/more data/info/info spread; word/text/sentence; looks random/messy/lack structure,amount of words/context/numbers; distracting/confusing/unclear; much/little data/info; overlapping shapes/colors/lines
InfoVisJ.2402.12(1).png,Area,"Data Density / Image Clutter; Visual Encoding Clarity; Schema; Color, Symbol, and Texture Details",more charts/points/lines/shapes/elements; shape size variation; size decreasing; unfamiliar concepts/patterns; color variety/arrangement/distribution,"color variety/shading; domain-specific concepts (e.g., chemical, biology, map); more charts/points/lines/shapes/elements; shapes and lines"
whoO06_2.png,Bar,Semantics / Text Legibility,title/axis/label/descriptions; too much legend,labels/axes/legends
v483_n7387_5_f1.png,Line,"Data Density / Image Clutter; Color, Symbol, and Texture Details; Immediacy / Cognitive Load",more charts/points/lines/shapes/elements; much/more data/info/info spread; color variety/arrangement/distribution; take longer to interpret,color variety/shading; more charts/points/lines/shapes/elements; much/little data/info; take longer to interpret
InfoVisC.73.6.png,Text,"Data Density / Image Clutter; Visual Encoding Clarity; Semantics / Text Legibility; Color, Symbol, and Texture Details; Immediacy / Cognitive Load",dense/cluttered data/info; many/more data/info; much/more data/info/info spread; lines; different font/word sizes/structure; title/axis/label/descriptions; word/text/sentence; unclear coloring; more difficult to interpret/read/understand/differentiate; unclear meaning/confusing,amount of words/context/numbers; color contrast/clarity; easy/hard to interpret; labels/axes/legends; more charts/points/lines/shapes/elements; much/little data/info; overlapping shapes/colors/lines; shapes and lines; unclear meaning/confusing; word rotation/small font size
SciVisJ.821.16.png,Glyph,"Color, Symbol, and Texture Details",unclear colormaps,color contrast/clarity
economist_daily_chart_493.png,Area,"Data Density / Image Clutter; Schema; Color, Symbol, and Texture Details",more detailed/things; drawing style; unclear colormaps,"color contrast/clarity; domain-specific concepts (e.g., chemical, biology, map); much/little data/info"
VASTC.107.10.png,Area,"Data Density / Image Clutter; Schema; Color, Symbol, and Texture Details",more detailed/things; drawing style; unclear colormaps,"color contrast/clarity; domain-specific concepts (e.g., chemical, biology, map); much/little data/info"
whoQ32_2.png,Point,Data Density / Image Clutter; Schema; Immediacy / Cognitive Load,more charts/points/lines/shapes/elements; overlapping shapes/colors/lines; unique data point; hard to interpret/read/understand/differentiate,"domain-specific concepts (e.g., chemical, biology, map); easy/hard to interpret; more charts/points/lines/shapes/elements; overlapping shapes/colors/lines"
InfoVisJ.599.4.png,Area,Schema; Immediacy / Cognitive Load,"domain-specific concepts (e.g., chemical, biology, map); easy to derive meaning","domain-specific concepts (e.g., chemical, biology, map); easy/hard to interpret"
InfoVisC.211.3(2).png,Schematic,Immediacy / Cognitive Load,simple to interpret/read/understand,easy/hard to interpret
InfoVisJ.541.22.png,Schematic,Visual Encoding Clarity,simple visual elements,simple visual elements
v484_n7395_11_f2.png,Area,"Data Density / Image Clutter; Color, Symbol, and Texture Details; Immediacy / Cognitive Load",diverse information; color keys; hard to compare/discern/distinguish,color variety/shading; easy/hard to interpret; much/little data/info
InfoVisJ.1169.1.png,Text,Data Density / Image Clutter; Visual Encoding Clarity,much/more data/info/info spread; element sizes,much/little data/info; shapes and lines
VASTJ.2012.9(2).png,Text,"Data Density / Image Clutter; Visual Encoding Clarity; Color, Symbol, and Texture Details; Immediacy / Cognitive Load",dense/cluttered layout; more charts/points/lines/shapes/elements; much/more data/info/info spread; less organized elements; color variety/arrangement/distribution; more difficult to interpret/read/understand/differentiate,color variety/shading; easy/hard to interpret; less organized elements; more charts/points/lines/shapes/elements; much/little data/info; overlapping shapes/colors/lines
VisJ.1949.16(2).png,Glyph,"Data Density / Image Clutter; Visual Encoding Clarity; Color, Symbol, and Texture Details; Immediacy / Cognitive Load",more charts/points/lines/shapes/elements; no square information; shape size; same colors,color variety/shading; more charts/points/lines/shapes/elements; shape size; unclear meaning/confusing
v487_n7407_14_f4.png,Point,"Visual Encoding Clarity; Semantics / Text Legibility; Color, Symbol, and Texture Details",shapes; axis meaning; unclear colormaps,color contrast/clarity; labels/axes/legends; shapes and lines
vis666.png,Node-link,"Data Density / Image Clutter; Visual Encoding Clarity; Semantics / Text Legibility; Color, Symbol, and Texture Details",more charts/points/lines/shapes/elements; intersecting lines; more text boxes; color variety/arrangement/distribution,amount of words/context/numbers; color variety/shading; more charts/points/lines/shapes/elements; shapes and lines
InfoVisC.65.3(2).png,Node-link,Semantics / Text Legibility,amount of words/context/numbers,amount of words/context/numbers
InfoVisJ.1569.6.png,Point,Immediacy / Cognitive Load,fast readability; easier to process/visualize,easy/hard to interpret
wsj294.png,Point,"Data Density / Image Clutter; Semantics / Text Legibility; Color, Symbol, and Texture Details; Aesthetics Uncertainty; Immediacy / Cognitive Load",dense points/lines/shapes/elements; dense/cluttered data/info; more detailed/things; too many points/lines/shapes/elements; too much data/info; cluttered labels/annotations; title/axis/label/descriptions; color variety/arrangement/distribution; too many colors; less attractive; more difficult to compare/discern/distinguish,color variety/shading; distracting/confusing/unclear; easy/hard to interpret; labels/axes/legends; more charts/points/lines/shapes/elements; much/little data/info; overlapping shapes/colors/lines
v490_n7419_13_f3.png,Point,Schema; Immediacy / Cognitive Load,organized/structured; easier to process/visualize,2D/3D; easy/hard to interpret
SciVisJ.561.7.png,Point,Data Density / Image Clutter; Schema,dense/cluttered data/info; unfamiliar concepts/patterns,"domain-specific concepts (e.g., chemical, biology, map); overlapping shapes/colors/lines"
wsj292.png,Bar,Immediacy / Cognitive Load,hard to interpret/read/understand,easy/hard to interpret
VisC.11.12(2).png,Node-link,Data Density / Image Clutter; Semantics / Text Legibility; Schema; Immediacy / Cognitive Load,overlapping shapes/colors/lines; network representation; little/less text/numbers/context; hard to compare/discern/distinguish; hard to focus/follow; more reading/interpretation/understanding; multiple interpretation,"domain-specific concepts (e.g., chemical, biology, map); easy/hard to interpret; little/less text/numbers/context; overlapping shapes/colors/lines; take longer to interpret"
InfoVisJ.1247.10.png,Line,"Data Density / Image Clutter; Semantics / Text Legibility; Color, Symbol, and Texture Details; Immediacy / Cognitive Load",more charts/points/lines/shapes/elements; overlapping shapes/colors/lines; lack of/not enough axis labels/legend/annotations/context; clear colored bars/charts; hard to interpret/read/understand,color variety/shading; easy/hard to interpret; labels/axes/legends; more charts/points/lines/shapes/elements; overlapping shapes/colors/lines
InfoVisJ.1558.11(6).png,Glyph,Visual Encoding Clarity; Semantics / Text Legibility; Schema,more uniform design; no interaction; shapes and lines,2D/3D; labels/axes/legends; shapes and lines
SciVisJ.867.6.png,Line,Data Density / Image Clutter; Visual Encoding Clarity; Schema; Immediacy / Cognitive Load,dense points/lines/shapes/elements; more charts/points/lines/shapes/elements; shapes and lines; unfamiliar concepts/patterns; more difficult to interpret/read/understand/differentiate,"domain-specific concepts (e.g., chemical, biology, map); easy/hard to interpret; more charts/points/lines/shapes/elements; shapes and lines"
treasuryG07_2.png,Line,Visual Encoding Clarity; Semantics / Text Legibility; Schema; Immediacy / Cognitive Load,lines; straight lines; easier to read; a specific technique; easier to interpret/read/understand,"domain-specific concepts (e.g., chemical, biology, map); easy/hard to interpret; shapes and lines; word rotation/small font size"
economist_daily_chart_520.png,Bar,Data Density / Image Clutter,more charts/points/lines/shapes/elements,more charts/points/lines/shapes/elements
wsj536.png,Bar,"Data Density / Image Clutter; Color, Symbol, and Texture Details",more charts/points/lines/shapes/elements; color shading; soft/layered/overlapping colors,color variety/shading; more charts/points/lines/shapes/elements; soft/layered/overlapping colors
VisC.375.2.png,Point,"Data Density / Image Clutter; Visual Encoding Clarity; Semantics / Text Legibility; Schema; Color, Symbol, and Texture Details; Immediacy / Cognitive Load",dense/cluttered data/info; more charts/points/lines/shapes/elements; shape subset representation; nonlinear measurement/metric/axis; too much legend; color variety/arrangement/distribution; more difficult to interpret/read/understand/differentiate,"color variety/shading; domain-specific concepts (e.g., chemical, biology, map); easy/hard to interpret; labels/axes/legends; more charts/points/lines/shapes/elements; overlapping shapes/colors/lines; shapes and lines"
InfoVisJ.631.1(2).png,Bar,Data Density / Image Clutter; Semantics / Text Legibility; Aesthetics Uncertainty; Immediacy / Cognitive Load,dense points/lines/shapes/elements; unclear relation between words; word misoriented; unclear colors/contrast,more charts/points/lines/shapes/elements; unclear colors/contrast; unclear meaning/confusing; word rotation/small font size
VASTJ.1160.6.png,Grid,"Data Density / Image Clutter; Semantics / Text Legibility; Color, Symbol, and Texture Details",dense points/lines/shapes/elements; amount of words/context/numbers; low color contrast/separation/segmentation,amount of words/context/numbers; color contrast/clarity; more charts/points/lines/shapes/elements
InfoVisJ.369.3.png,Grid,"Data Density / Image Clutter; Semantics / Text Legibility; Color, Symbol, and Texture Details",dense/cluttered data/info; number of legend items; distinguishable color variety/arrangement/distribution,distinguishable color variety/arrangement/distribution; labels/axes/legends; overlapping shapes/colors/lines
InfoVisJ.349.1(3).png,Node-link,Schema,familiar representation,"domain-specific concepts (e.g., chemical, biology, map)"
InfoVisJ.619.17.png,Point,Data Density / Image Clutter; Immediacy / Cognitive Load,dense/cluttered data/info; more charts/points/lines/shapes/elements; much/more data/info/info spread; easier to interpret/read/understand,easy/hard to interpret; more charts/points/lines/shapes/elements; much/little data/info; overlapping shapes/colors/lines
wsj135.png,Bar,"Data Density / Image Clutter; Visual Encoding Clarity; Color, Symbol, and Texture Details; Immediacy / Cognitive Load",much/more data/info/info spread; scale difference; shape arrangement; color variety/arrangement/distribution; easier to interpret/read/understand; easy to interpret/read/understand,color variety/shading; easy/hard to interpret; much/little data/info; scale difference; shapes and lines
InfoVisJ.2181.9.png,Cont.-ColorPatn,Data Density / Image Clutter; Immediacy / Cognitive Load,dense points/lines/shapes/elements; multiple features/elements/graphs; not easily understood,easy/hard to interpret; more charts/points/lines/shapes/elements
InfoVisJ.678.17.png,Area,Schema; Immediacy / Cognitive Load,spatial organization; easy to interpret/read/understand,2D/3D; easy/hard to interpret
VisJ.1541.1(2).png,Cont.-ColorPatn,"Data Density / Image Clutter; Schema; Color, Symbol, and Texture Details; Immediacy / Cognitive Load",messy/mixed up/noisy/intermingled elements; image portrayal; context; color hues; take longer to interpret,"2D/3D; color variety/shading; domain-specific concepts (e.g., chemical, biology, map); overlapping shapes/colors/lines; take longer to interpret"
v485_n7396_14_f4.png,Point,Data Density / Image Clutter; Visual Encoding Clarity; Immediacy / Cognitive Load,fine/layered details; precision of aspect; more intricate; more to read/analyze/understand,easy/hard to interpret; much/little data/info; shape point of interest; take longer to interpret
VisJ.1595.6(2).png,Glyph,"Data Density / Image Clutter; Visual Encoding Clarity; Semantics / Text Legibility; Schema; Color, Symbol, and Texture Details; Aesthetics Uncertainty; Immediacy / Cognitive Load",more charts/points/lines/shapes/elements; much/more data/info/info spread; shapes; shapes and lines; code/text; lack of meaning; more texts/words; readability; unfamiliar concepts/patterns; color variety/arrangement/distribution; distracting/confusing/unclear; hard to see/tell/visualize; require specialized knowledge,"amount of words/context/numbers; color variety/shading; distracting/confusing/unclear; domain-specific concepts (e.g., chemical, biology, map); easy/hard to interpret; more charts/points/lines/shapes/elements; much/little data/info; shapes and lines; take longer to interpret; unclear meaning/confusing; word rotation/small font size"
InfoVisJ.1073.1.png,Grid,Data Density / Image Clutter,messy/mixed up/noisy/intermingled elements; too many details/divisions,more charts/points/lines/shapes/elements; overlapping shapes/colors/lines
SciVisJ.1043.12(4).png,Cont.-ColorPatn,"Data Density / Image Clutter; Color, Symbol, and Texture Details",more charts/points/lines/shapes/elements; overlapping shapes/colors/lines; color scale/scheme,color variety/shading; more charts/points/lines/shapes/elements; overlapping shapes/colors/lines
SciVisJ.700.5.png,Area,Data Density / Image Clutter,much/more data/info/info spread,much/little data/info
InfoVisC.8.7.png,Line,Data Density / Image Clutter,much/more data/info/info spread; overlapping shapes/colors/lines,much/little data/info; overlapping shapes/colors/lines
InfoVisJ.459.8.png,Bar,Visual Encoding Clarity; Immediacy / Cognitive Load,clear colors/shapes; unclear meaning/confusing,clear colors/shapes; unclear meaning/confusing
InfoVisJ.1149.6(1).png,Grid,Data Density / Image Clutter; Semantics / Text Legibility; Aesthetics Uncertainty; Immediacy / Cognitive Load,dense/cluttered data/info; different labels; hierarchical text; more texts/words; title/axis/label/descriptions; visually overwhelming; more reading/interpretation/understanding,amount of words/context/numbers; distracting/confusing/unclear; labels/axes/legends; overlapping shapes/colors/lines; take longer to interpret; word rotation/small font size
InfoVisJ.1149.8(2).png,Grid,"Data Density / Image Clutter; Color, Symbol, and Texture Details; Immediacy / Cognitive Load",dense/cluttered layout; more charts/points/lines/shapes/elements; more detailed/things; amount of / too many colors; hard to describe; hard to interpret/read/understand/differentiate,color variety/shading; easy/hard to interpret; more charts/points/lines/shapes/elements; much/little data/info; overlapping shapes/colors/lines
VisC.255.4.png,Line,"Data Density / Image Clutter; Visual Encoding Clarity; Color, Symbol, and Texture Details",overlapping shapes/colors/lines; line quantity representation; shape size variation; color variety/arrangement/distribution,color variety/shading; overlapping shapes/colors/lines; shapes and lines
VASTJ.1.5.png,Node-link,"Data Density / Image Clutter; Visual Encoding Clarity; Color, Symbol, and Texture Details",messy/mixed up/noisy/intermingled elements; shape point of interest; shapes and lines; unclear colormaps,color contrast/clarity; overlapping shapes/colors/lines; shape point of interest; shapes and lines
VASTJ.422.7.png,Point,"Data Density / Image Clutter; Semantics / Text Legibility; Color, Symbol, and Texture Details",large dataset; more detailed/things; too much legend; color variety/arrangement/distribution,color variety/shading; labels/axes/legends; much/little data/info
VisC.503.6.png,Bar,Schema; Immediacy / Cognitive Load,"a specific technique, e.g., bar, pie, circle; easy to interpret/read/understand","domain-specific concepts (e.g., chemical, biology, map); easy/hard to interpret"
