raw_name,synset,category,source,n_images,example_images,example_raw_comments,example_llm_input,example_sentiments,example_finalPhrases
area,mark.area,mark,original,0,,,,,
area_chart,mark.area,mark,original,0,,,,,
area_marks,mark.area,mark,original,0,,,,,
area_shape,mark.area,mark,original,0,,,,,
colored_surface,mark.area,mark,extended,1,v483_n7391_8_f5.png,"The graph is something I am unfamiliar with, it is harder to read and understand, and it is visually more striking.; as a coloured surface, which is harder to discern; contains more information; Too many similar colours, and axis; A lot of data; More colors; More numbers; The data in the chosen picture are more difficult to read. The graph itself seems conveying more data; The other image has an order; require a more specialized education to understand.; the left has more details and displayed via a bar chart - more simple. It is harder to read.; there are more colors, more information to look at, the lines are wavy and not straightforward; Much more data on the graph than just words.; The image in orange could be anything — an individual without specialized knowledge would be clueless as to what it is. Multiple data points in the image in orange. To the human eye it is more complex: whereas most graphs have two axes (as in the seismic graph), the orange image has four axes and is more difficult to understand based on the results presented.; I feel like the left seems pretty organized and easy to understand, also the colors on both side left are identical, which makes it less complex for me. It's structured.; four labelled axes; separate colour scale; Both have 3 variables; the right one representing one variable with a heat map makes it easier for me to understand at a glance. Curve lines limiting the heat map also helps.",Curve lines; one variable; heat map; understand at a glance; conveying more data; difficult to read; colored surface; harder to discern; more data points; more axes; require specialized education to understand.; four labeled axes; separate color scale; organized; structured; colors on both side left are identical; easy to understand; ordered; more details; bar chart; harder to read; A lot of data; More colors; More numbers; more information; lines not straightforward; more colors; Multiple data points; four axes; seismic graph; clueless; more difficult to understand; Too many similar colors; axis; visually more striking; unfamiliar with; harder to read and understand; Much more data; words,(-); (-); (-); (-); (+); (+); (+); (+); (+); (+); (+); (+); (+); (+); (+); (+); (-); (-); (+); (+); (+); (+); (+); (+); (+); (+); (+); (+); (+); (-); (+); (+); (+); (-); (+); (+); (+); (+); (-),"2D/3D; amount of words/context/numbers; color contrast/clarity; color variety/shading; distracting/confusing/unclear; domain-specific concepts (e.g., chemical, biology, map); easy/hard to interpret; labels/axes/legends; more charts/points/lines/shapes/elements; much/little data/info; ordered; shapes and lines; take longer to interpret"
stacked_area_chart,mark.area,mark,original,0,,,,,
bar,mark.bar,mark,original,0,,,,,
bar_chart,mark.bar,mark,original,0,,,,,
bar_segment,mark.bar,mark,original,0,,,,,
bars,mark.bar,mark,original,6,VisC.167.11.png | economist_daily_chart_75.png | VASTJ.1720.4.png,"just a bar graph, with colours representing groups, one can get the message of the visualisation in 1-2 seconds.; ana renklerin *ok kullan*lmamas* || There are more bars on the graph There are more factors It is harder to read with the bars extending horizontally || The one on the right is a simple bar graph. I could gather a little bit what it meant.",bar graph; colors representing groups; get the message of the visualization in 1-2 seconds || more bars; bars extending horizontally; It is harder to read || simple bar graph; could gather what it meant,(-); (-); (-) || (+); (+); (+) || (-); (-),"color variety/shading; domain-specific concepts (e.g., chemical, biology, map); easy/hard to interpret || easy/hard to interpret; more charts/points/lines/shapes/elements; shapes and lines || domain-specific concepts (e.g., chemical, biology, map); easy/hard to interpret"
columns,mark.bar,mark,extended,1,InfoVisJ.621.3.png,"I have chosen the image on the left to be more complex because of the amount of words in some columns, and the size of those words. Therefore, even if the one on the left is not extremely complex, it is more so than the one on the right.",amount of words in columns; the size of those words,(+); (+),amount of words/context/numbers; word rotation/small font size
stacked_bar,mark.bar,mark,original,0,,,,,
sticks,mark.bar,mark,extended,1,InfoVisJ.339.10.png,"There were visually more details in the pictures I chose; Excessive Data Points: When a chart contains too many data points, it can overwhelm the viewer and make it difficult to discern meaningful patterns or trends. Cluttered Labels and Annotations: If labels, titles, and annotations are excessively crowded or overlapping, it can make it challenging to identify specific elements within the chart. Poor Color Choices: Using too many colors or poorly contrasting colors can make it difficult to differentiate between different data series or categories. Data Overload: Including too much data in a single chart or diagram can make it difficult to focus on the most important information and can obscure key insights.; there are more information shown - you need more time to understand what this chart shows - you need time to understand what this chart even stands for; there are numbers, sticks and boxes and we don't know what is the distribution of numbers and what is the ratio between them; çizilen çizgilerin keskin renge sahip olmaması","numbers, sticks and boxes; the distribution of numbers; the ratio between them; more information shown; more time to understand; visually more details",(+); (+); (+); (+); (+); (+),2D/3D; amount of words/context/numbers; much/little data/info; symbols; take longer to interpret
color_bands,mark.color_segment,mark,original,1,CiteRivers5(1).png,"The left chart color separation helped to despite have more information, keep the visual simple.",color separation,(-),color contrast/clarity
color_regions,mark.color_segment,mark,original,0,,,,,
color_segment,mark.color_segment,mark,original,0,,,,,
color_segments,mark.color_segment,mark,original,1,InfoVisC.211.8.png,variety of very bright colors; segmentation of colors; text at the bottom; A map is more familiar - Explanatory legend,explanatory legend; map is familiar; segmentation of colors; variety of bright colors; text at the bottom,(-); (-); (+); (+); (+),"bright colors; clear text arrangement/density; color variety/shading; domain-specific concepts (e.g., chemical, biology, map); labels/axes/legends"
colored_segments,mark.color_segment,mark,extended,1,wsj340.png,"The right image is a chart with a title, description, labels and coloured segments, therefore it doesn't need to do as much visually.; 1. Variety and Density of Elements, 2.Level of Detail 3. Depth and Dimensionality and 4.Interconnectedness of Elements.",description; labels; title; colored segments; chart; doesn't need to do as much visually,(-); (-); (-); (-); (-); (-),"color contrast/clarity; domain-specific concepts (e.g., chemical, biology, map); easy/hard to interpret; labels/axes/legends; word rotation/small font size"
3d_elements,mark.element,mark,extended,1,v487_n7406_13_f2.png,"To be honest they are both complex, The chosen image has more detail and more information to consume; 3 Dimensional elements; Lack of legend; Graph mixing numbers, colors, animal shapes, abstract shapes, dots, lines, numbers",more detail; more information; 3 Dimensional elements; abstract shapes; dots; lines; Lack of legend; colors; animal shapes,(+); (+); (+); (+); (-); (+); (+); (+); (+),"2D/3D; abstract shapes or colors; color contrast/clarity; domain-specific concepts (e.g., chemical, biology, map); labels/axes/legends; much/little data/info; shapes and lines"
black_element,mark.element,mark,extended,1,VASTJ.31.2.png,The picture has text. and the black color grabbed my attention suddenly. Black is discordant here.,has text.; black color grabbed attention; Black is discordant here.,(+); (+); (+),amount of words/context/numbers; color variety/shading; unclear colors/contrast
black_elements,mark.element,mark,extended,1,VisC.73.8(2).png,"There appears to be a lot of data points. Uncertainty as to what the image is stating. Uncertainty on whether there was a gradient or not (what does black mean, what does green mean, what does yellow mean).",a lot of data points; a gradient; black; green; yellow; uncertainty,(+); (+); (+); (+); (+); (+),color contrast/clarity; color variety/shading; distracting/confusing/unclear; inadequate/few coloring; more charts/points/lines/shapes/elements
components,mark.element,mark,extended,1,vis393.png,"There are multiple components to this graphic. At first glance, there looks like there is a lot more to understand than the one on the right.",a lot more to understand; multiple components,(+); (+),more charts/points/lines/shapes/elements; take longer to interpret
design_elements,mark.element,mark,extended,1,SciVisJ.635.6.png,"image is completely in colour (no white),; 1. Different shades of colors 2. More visually stimulating 3.More complex designs 4. More information presented",completely in color (no white); Different shades of colors; More visually stimulating; More information; More complex designs,(+); (+); (+); (+); (+),color variety/shading; distinguishable/full/highly contrast color uses; much/little data/info; overlapping shapes/colors/lines; symbols
element,mark.element,mark,original,0,,,,,
graphic_element,mark.element,mark,extended,1,VisJ.1595.9(2).png,more graphic; no or few data; 3D; more white space,more graphic; no or few data; white space; 3D,(+); (+); (+); (+),2D/3D; more charts/points/lines/shapes/elements; much/little data/info; white/black background / other background
graphic_elements,mark.element,mark,extended,1,whoQ44_4.png,"1. More numbers presented 2. Lots of different variables 3. Large numbers 4. Different colors; more information; more colours, more forms; There are more variations of shade; more information is portrayed; the shapes are more complex.; The number of different graphic elements; clear and clean; has numbers and legend; data in different formats; It is much easier to read the second graph.; Readability: the colours in the orange highlight are difficult to tell apart, which makes reading the data more difficult at a glance.; but in the second graphic I could undersant easly what is about it; Small numbers",data in  different format; number of different graphic elements; Readability; colors are difficult to tell apart; reading data more difficult; easier to read; undersant easly what is about; Small numbers; more information; shapes more complex; variations of shade; Lots of variables; Large numbers; Different colors; more forms; more colors; quicker/easier to process; legend; numbers; clear and clean,(+); (+); (+); (+); (+); (-); (-); (-); (+); (+); (+); (+); (+); (+); (+); (+); (-); (+); (+); (-),"2D/3D; amount of words/context/numbers; color contrast/clarity; color variety/shading; domain-specific concepts (e.g., chemical, biology, map); easy/hard to interpret; labels/axes/legends; more charts/points/lines/shapes/elements; more parameters/variables; much/little data/info; shapes and lines; word rotation/small font size"
graphical_marks,mark.element,mark,extended,1,VASTC.107.10.png,"Amount of details, draw style, colors",Amount of details; colors; draw style,(+); (+); (+),"color contrast/clarity; domain-specific concepts (e.g., chemical, biology, map); much/little data/info"
green_elements,mark.element,mark,extended,1,VisC.73.8(2).png,"There appears to be a lot of data points. Uncertainty as to what the image is stating. Uncertainty on whether there was a gradient or not (what does black mean, what does green mean, what does yellow mean).",a lot of data points; a gradient; black; green; yellow; uncertainty,(+); (+); (+); (+); (+); (+),color contrast/clarity; color variety/shading; distracting/confusing/unclear; inadequate/few coloring; more charts/points/lines/shapes/elements
ink_marks,mark.element,mark,extended,1,InfoVisJ.2082.3.png,"No colors, more factors to consider; This image just appears to have more variables. It appears to have a lot of fine detail with corresponding data that is rather complex.; Both of these images are a bit complex. The chosen one shows way more information at first look — the information is divided and there seem to be many elements to consider.; I believe that the image on the right is more complex because it includes more ink on the page, more writing, less color, and it is more organized.; the right side is a simple histogram like figure with labels and it is understandable by readin it; more informative, easy to understand",easy to understand; labels; histogram like figure; more organized; more ink on the page; more writing; less color; many elements; way more information; a lot of fine detail; more variables; No colors; more factors to consider,(-); (-); (-); (+); (+); (+); (+); (+); (+); (+); (+); (+); (+),"2D/3D; amount of words/context/numbers; color variety/shading; domain-specific concepts (e.g., chemical, biology, map); easy/hard to interpret; inadequate/few coloring; labels/axes/legends; more charts/points/lines/shapes/elements; more parameters/variables; much/little data/info; read/analyze many figures/items"
marks,mark.element,mark,extended,1,vis3.png,Multiple colour schemes and shade variation. Differing font size. It's more challenging and takes longer to 'understand' what it is I'm looking at.,shape varation; Multiple color schemes; Differing font size; takes longer to understand,(+); (+); (+); (+),color variety/shading; shapes and lines; take longer to interpret; word rotation/small font size
object,mark.element,mark,original,0,,,,,
pixel,mark.element,mark,extended,1,SciVisJ.625.5.png,"I imagine that every pixel and colour represents a collection of data, and the first image is offering more such information so I saw it as more complex.; I had to choose this because I saw it here without analysis.",without analysis; every pixel and color represents a collection of data,(+); (+),color contrast/clarity; easy/hard to interpret
pixel_elements,mark.element,mark,extended,1,VisC.263.7.png,"Pixeled picture, hard to understand meaning, bad choice of colors.",Pixeled picture; bad choice of colors; hard to understand,(+); (+); (+),distracting/confusing/unclear; easy/hard to interpret; unclear colors/contrast
visual_element,mark.element,mark,extended,1,InfoVisJ.678.17.png,The image on the right is layered and appears as only one thing to visually process.,layered; only one thing to visually process,(-); (-),2D/3D; easy/hard to interpret
visual_elements,mark.element,mark,extended,5,wsj21.png | VisC.27.5.png | InfoVisJ.1073.1.png,"The other image has visuals to make it easier for you to understand what the data is about. The other image also has different visual elements that allow you to analyze the data in the image. || theres a lot going on on the left and i do not know what. there is no title etc || I chose the first one because it has stuff all over the place which makes it very complex. Also, there's a lot of graphs jumbled up.",different visual elements; allow to analyze the data; easier to understand || a lot going on; no title; do not know what || graphs jumbled up; stuff all over the place,(-); (-); (-) || (+); (+); (+) || (+); (+),easy/hard to interpret; several elements || labels/axes/legends; much/little data/info; unclear meaning/confusing || more charts/points/lines/shapes/elements; overlapping shapes/colors/lines
visual_items,mark.element,mark,extended,1,InfoVisJ.2181.9.png,The picture on the left includes four separate visual items to look at and discern. There are extra arrows and information included below the squares that also allude to meaning that needs to be understood.,extra arrows and information; four separate visual items; needs to be understood,(+); (+); (+),easy/hard to interpret; more charts/points/lines/shapes/elements
visual_marks,mark.element,mark,extended,2,VASTC.59.11(1).png | v485_n7396_14_f4.png,"More data More elements Higher contrast It was more confusing; Needs more efffort to make sense of the data || -The image on the left is more involved in terms of what would be required to interpret it. -There's a lot more happening, visually, in terms of the level of fine detail, in the image on the left. -The preciseness of the various aspects of the image on the left is more intricate than the one on the right.",More data; More elements; Higher contrast; It was more confusing; needs more efffort || fine detail; preciseness of various aspects; a lot more involved; more intricate,(+); (+); (+); (+); (+) || (+); (+); (+); (+),distinguishable/full/highly contrast color uses; distracting/confusing/unclear; more charts/points/lines/shapes/elements; much/little data/info; take longer to interpret || easy/hard to interpret; much/little data/info; shape point of interest; take longer to interpret
yellow_elements,mark.element,mark,extended,1,VisC.73.8(2).png,"There appears to be a lot of data points. Uncertainty as to what the image is stating. Uncertainty on whether there was a gradient or not (what does black mean, what does green mean, what does yellow mean).",a lot of data points; a gradient; black; green; yellow; uncertainty,(+); (+); (+); (+); (+); (+),color contrast/clarity; color variety/shading; distracting/confusing/unclear; inadequate/few coloring; more charts/points/lines/shapes/elements
glyph,mark.glyph,mark,original,0,,,,,
glyphs,mark.glyph,mark,original,0,,,,,
connecting_line,mark.line,mark,original,0,,,,,
connecting_lines,mark.line,mark,original,0,,,,,
curved_lines,mark.line,mark,original,1,VisC.163.2.png,there are no details to it; it is just some curved lines but no legend to describe what's going on which makes me confused,curved lines; no detail; no legend; makes me confused,(+); (+); (+); (+),labels/axes/legends; much/little data/info; shapes and lines; unclear meaning/confusing
dashed_line,mark.line,mark,original,1,VisJ.1595.6(2).png,"I believe that the image on the left is more complex because it includes more writing on the actual page, more color, more shapes, and overall, it fills the paper more, making it a more complex image.; how objects spread over the whole picture; its an equation giving coordinates and its hard to solve the dotted lines and the picture itself; The one to the right does not sound familiar to me at all. I guess it has something to do with familiarity.; the other graphic is something i am not familiar with and that is why i had chosen it; Confusing, text on left is hard to read.; multiple colors, shape, dashed box and line, unfamiliar with terms make the right one more complicated.; Both images are complex to me in their simplicity.",text hard to read; Confusing; not familiar with; hard to solve; more shapes; more writing; more color; objects spread over; does not sound familiar; dashed box; dashed line; shape; unfamiliar with terms; multiple colors,(+); (+); (+); (+); (+); (+); (+); (+); (+); (+); (+); (+); (+); (+),"amount of words/context/numbers; color variety/shading; distracting/confusing/unclear; domain-specific concepts (e.g., chemical, biology, map); easy/hard to interpret; more charts/points/lines/shapes/elements; much/little data/info; shapes and lines; take longer to interpret; unclear meaning/confusing; word rotation/small font size"
grid_lines,mark.line,mark,original,0,,,,,
line,mark.line,mark,original,4,VisC.599.6.png | v490_n7420_13_f1.png | v490_n7420_13_f4.png,"The graph is wavy; there is no way to tell the exact points for the numbers, making it more complex to understand. There is no data provided other than two letters and numbers, which to me feels more complex than looking at a map. || The line and shape of the image is more complex || Can see the line movement easier, descriptions are eye catching because of color formats.",no way to tell exact points for the numbers; wavy; two letters and numbers; more complex to understand || line and shape || Can see line movement; descriptions are eye catching; color formats,(+); (+); (+); (+) || (+) || (+); (+); (+),easy/hard to interpret; labels/axes/legends; shapes and lines; unclear meaning/confusing || shapes and lines || color contrast/clarity; labels/axes/legends; shapes and lines
line_curve,mark.line,mark,original,0,,,,,
lines,mark.line,mark,original,41,wsj603.png | VisJ.1515.12.png | InfoVisJ.2699.12.png,"had many small details like the small ups and downs. There are much more information; The one on the right seems like it's fairly easy to read; There were more colours in the image on the left. The shapes and lines were more complex; Comprehensibility Readability || it was harder for my eyes to focus on the colours in this picture making it harder to adjust and see the colours.; the contrast of the colors is really weird and it doesnt make sense; Colour coded for separating facts; more lines, making it more difficult to identify differences in the information presented; i have no idea what is going on. i cannot make sense of it; I didn't understand what the left image was demonstrating; i have more dificulty to read this image for me.i don't know what to say; really don't understand this one; Processing information is not possible on the selected image; no context; too dark; Hard measure; Hard to find exact feature; I was looking for images that made sense to me, in terms of how I would retrieve data, the orange highlighted one gave me no further information; the image is not as understandable in terms of shapes and what it resembles || less white space; red colours amongst lots of black overlapping lines; straight lines, dots, colour and shapes used",shapes and lines; more colors; fairly easy to read; many small details; much more information || don't understand; didn't understand; in terms of shapes; what it resembles; not as understandable; Processing information is not possible; more lines; Color coded for separating facts; difficult to identify differences in information; no context; too dark; cannot make sense of it; contrast of the colors; color contrast really weird; colors; harder for my eyes to focus; gave no further information; don't know what to say; exact feature; measure; Hard measure; Hard to find exact feature || less white space; lots of overlapping lines; dots; shapes; straight lines; red colors,(+); (+); (-); (+); (+) || (+); (+); (+); (+); (+); (+); (+); (+); (+); (+) (-); (+); (+); (+); (+); (+); (+); (+); (+); (+); (+); (+); (+) || (+); (+); (-); (+); (-); (+),"color variety/shading; easy/hard to interpret; much/little data/info; shapes and lines || color contrast/clarity; domain-specific concepts (e.g., chemical, biology, map); easy/hard to interpret; labels/axes/legends; more charts/points/lines/shapes/elements; more difficult to focus/follow; much/little data/info; shapes and lines; unclear colors/contrast; understand/read shapes || color contrast/clarity; overlapping shapes/colors/lines; shapes and lines"
seismic_waveform,mark.line,mark,extended,1,v482_n7386_10_f2.png,"The graph would probably represent measuring an earthquake or similar seismic activity. Simple seismic measurements across time. Most graphs have two axes, which can be seen in the seismic graph.",two axes; measuring an earthquake; seismic graph,(-); (-); (-),"domain-specific concepts (e.g., chemical, biology, map); labels/axes/legends"
vertical_line,mark.line,mark,original,0,,,,,
node,mark.node,mark,original,0,,,,,
node_cluster,mark.node,mark,original,0,,,,,
nodes,mark.node,mark,original,2,InfoVisJ.401.12.png | VisC.375.9(3).png,More elements; the chosen image seems like there is a cluster of information that needs to be seen slowly one by one. It feels like the chosen visualization comes from a more scientific method than just showing information in text. Some kind of extra information would be needed to understand what these networks mean. || The image on the right has nodes that are clearly connected with lines.,More elements; a cluster of information; showing information in text; network; scientific method || clear connection; lines; nodes,(+); (+); (+); (+); (+) || (-); (+); (-),"clear text/scale/information; domain-specific concepts (e.g., chemical, biology, map); more charts/points/lines/shapes/elements; much/little data/info || distracting/confusing/unclear; shapes and lines; symbols"
bubble,mark.point,mark,original,0,,,,,
circle,mark.point,mark,original,2,InfoVisC.8.7.png | InfoVisJ.629.8.png,"There were a lot of intersections in the Circle  suggesting that there is a high amount of data to be extracted || i thought on the right, there are 4 or 5 axes: x, y, color, circle , white circle around the shape.",high amount of data; intersections in the Circle || circle; shape; 4 or 5 axes; x; y; color,(+); (+) || (+); (+); (+); (-); (+); (+),much/little data/info; overlapping shapes/colors/lines || color contrast/clarity; labels/axes/legends; shapes and lines
circles,mark.point,mark,original,10,InfoVisJ.1558.9.png | visMost573.png | SciVisJ.867.6.png,"Because the colours drew me in and the pellet looking things look like money.; Numbers or data. Some descriptions to make the image make sense; numbers and images; The difference in sizes of the same shape (circle). The clustering of the circles. The similarity of the colours.; The clustering of the circles the blue squares lined with dotted lines; Data in the second image is overlapping, which makes it harder to evaluate each individual element. Their elements seem to present some sort of relation between them.; To be honest they are both complex; 1. Unlabeled legend/data. 2. Legend too close to visualization 3. The way the zooming in doesn't stand out enough from the rest of the chart; The one with orange shapes do not. The one with the orange shapes might make sense later on but only if you give yourself more time to understand what you're looking at.; Comprehension - what the values or words define the graphic (right one is more complex); A straightforward image with little to no shade variation.; The first image presents more layers of information, both visually and through it's very limited legend.; 1) Understanding what the visualization is about 2) Reading the values 3) Understanding different value rankings 4) Comparing different values || The circles on the right side might also be a lot, but I can clearly link it to the image legend.; To many colours. Text is to small. Its not straight to the point; To many colours Text is to small Its not straight to the point; The initial understanding of what's shown to me made me think the orange image was more complex, as it was harder to decipher. The colour superposition also means more complexity. Finally, the amount of information as well as its disposition.; I assessed the images on how complicated they looked at first glance and whether I could glean any information from them instantly. If one image hurt my eyes or looked confusing I judged that to be more complex.cluttered as the one on the left.; density of information, number of colors, number of items on the legend, overlap of circle areas; It is more complex as I find it more difficult in terms of image layout; The orange image is much less clear, much more packed with information in a visually intricate way. The use of color is much more layered in the orange image than in the other one.; multiple features overlapping features several more colours large key; multiple features; overlapping features; several more colours; large key; Intense colors, multiple figures, smaller icons, hard to understand; number of items on the legend, overlap of different colors; Lots of colours, Different size of circles, Overlapping, The explanation text and the legend on the left side of the page; More overlapping colors; More colors; Background color; More text; Lots of colours; Different size of circles; Overlapping; The explanation text and the legend on the left side of the page; Too many circles in the orange highlighted one. Everything (circles and colours) are mixed together making it difficult to discern information. Use of ambiguous colours on the left.; Too many circles in the orange highlighted one Everything (circles and colours) are mixed together making it difficult to discern information Use of ambiguous colours; The image looks as if it might be easier to decipher.; complexity vague in general difficult to read; complex data sets , appealing colours , easier to visualize; I have the feeling I don't need to do this in the right image.; The visualization on the right looks more like an abstract painting.; However, the second image, even with info, it's quite difficult for me. By the way, another thing I realized was that, sometimes the image is apparently not complex, but it is to me. For example, with these images about black holes or similar to black holes.; At first, I thought that the image on the right was more difficult. But, after looking at it for a long time, I stared to understand what it meant.; 1. Visuals that tell the story 2. Labels are clear 3. Key is easy to understand 4. Description easy to read; The small text in the upper left kept distracting me every time I saw this image. The text is too small to read and because of that I felt this was less accessible and comprehensible. It became more familiar every time I saw it; however, I did feel that it was overly complex.; The image uses circles of various sizes and colors to represent sounds throughout Jerusalem. It conveys information in a complex way using these circles and text labels, though the visual elements themselves are relatively simple.; first reason is how quick i can understand the image, and because i saw the second multiple times, i guess it played a huge role on that; Sur l'image la plus simple il y a une légende et des couleurs aidant à la compréhension. || The data points  are closer together, making them harder to read and discern. It is the combination of circles and lines in the picture on the right that make it more complex.; There are many lines on the graph and I'm not familiar with them.",little to no shade variation; straightforward; orange shapes; more time to understand; colors drew me in; pellet looking things look like money; clustering of the circles; circles; dotted lines; squares; blue squares; clustering of circles; sizes of the shape (circle); similarity of the colors; Legend too close to visualization; Unlabeled legend/data; Data is overlapping; makes it harder to evaluate || circles; clearly link to legend; image legend; multiple figures; Intense colors; smaller icons; hard to understand; stared to understand; overlapping colors; More text; Background color; More overlapping colors; Overlapping circles; size of circles; explanation text; legend; Lots of colors; Description easy to read; Key is easy to understand; Labels are clear; overlap of different colors; number of items on the legend; different colors; many colors; Text is small; not straight to the point; Too many circles; circles and colors mixed together; Use of ambiguous colors; difficult to discern; multiple features; overlapping features; large key; several more colors; To many colors; Text is to small; easier to visualize; cluttered; looked confusing; complicated at first glance; glean information instantly; more colors; ambiguous colors; image layout; more difficult; saw it multiple times; images about black holes; quite difficult for me; density of information; overlap of circle areas; number of colors; text is too small; less accessible and comprehensible; amount of information; disposition; color superposition; harder to decipher; difficult to read; abstract painting; circles of various sizes; visual elements relatively simple; text labels; colors to represent sounds; Jerusalem; more packed with information; color more layered; much less clear; Overlapping; Different size of circles; easier to decipher || many lines; unfamiliar; data points are closer; circles and lines; harder to read and discern,(-); (-); (+); (+); (+); (+); (+); (+); (+); (+); (+); (+); (+); (+); (+); (+); (+); (+) || (+); (-); (-); (+); (+); (+); (+); (-); (+); (+); (+); (+); (+); (+); (+); (+); (+); (+); (+); (+); (+); (-); (-); (+); (+); (+); (+); (+); (+); (+); (+); (+); (+); (+); (+); (+); (-); (+); (+); (+); (+); (+); (+); (+); (+); (-); (+); (+); (-); (+); (-); (+); (+); (+); (+); (+); (+); (+); (+); (+); (+); (+); (+); (+); (+); (+); (+); (+); (+); (-) || (+); (+); (+); (+); (+),"color contrast/clarity; color variety/shading; domain-specific concepts (e.g., chemical, biology, map); easy/hard to interpret; labels/axes/legends; overlapping shapes/colors/lines; shape size; shapes and lines; take longer to interpret || 2D/3D; abstract shapes or colors; amount of words/context/numbers; color contrast/clarity; color variety/shading; distinguishable color variety/arrangement/distribution; distracting/confusing/unclear; domain-specific concepts (e.g., chemical, biology, map); easy/hard to interpret; labels/axes/legends; more charts/points/lines/shapes/elements; much/little data/info; overlapping shapes/colors/lines; shape size; shapes and lines; simple visual elements; soft/layered/overlapping colors; symbols; white/black background / other background; word rotation/small font size || domain-specific concepts (e.g., chemical, biology, map); easy/hard to interpret; more charts/points/lines/shapes/elements; shapes and lines"
data_point,mark.point,mark,original,0,,,,,
data_points,mark.point,mark,original,40,VisJ.1499.8.png | v483_n7391_8_f5.png | InfoVisJ.2402.12(1).png,"more information to actually think about; number of points/shapes || The graph is something I am unfamiliar with, it is harder to read and understand, and it is visually more striking.; as a coloured surface, which is harder to discern; contains more information; Too many similar colours, and axis; A lot of data; More colors; More numbers; The data in the chosen picture are more difficult to read. The graph itself seems conveying more data; The other image has an order; require a more specialized education to understand.; the left has more details and displayed via a bar chart - more simple. It is harder to read.; there are more colors, more information to look at, the lines are wavy and not straightforward; Much more data on the graph than just words.; The image in orange could be anything — an individual without specialized knowledge would be clueless as to what it is. Multiple data points in the image in orange. To the human eye it is more complex: whereas most graphs have two axes (as in the seismic graph), the orange image has four axes and is more difficult to understand based on the results presented.; I feel like the left seems pretty organized and easy to understand, also the colors on both side left are identical, which makes it less complex for me. It's structured.; four labelled axes; separate colour scale; Both have 3 variables; the right one representing one variable with a heat map makes it easier for me to understand at a glance. Curve lines limiting the heat map also helps. || 1. i felt like this cotains a multitude of observations 2. differnent sizes/figures 3. different colors; the left side looks like a complex image generated by some sort of light detection or graphing software that i am not familiar with.; their actions and use their size growing small as they go down",more information to think about; number of points/shapes || Curve lines; one variable; heat map; understand at a glance; conveying more data; difficult to read; colored surface; harder to discern; more data points; more axes; require specialized education to understand.; four labeled axes; separate color scale; organized; structured; colors on both side left are identical; easy to understand; ordered; more details; bar chart; harder to read; A lot of data; More colors; More numbers; more information; lines not straightforward; more colors; Multiple data points; four axes; seismic graph; clueless; more difficult to understand; Too many similar colors; axis; visually more striking; unfamiliar with; harder to read and understand; Much more data; words || size growing small; colors distribution; not familiar with; a multitude of observations; differnent sizes/figures; different colors,(+); (-) || (-); (-); (-); (-); (+); (+); (+); (+); (+); (+); (+); (+); (+); (+); (+); (+); (-); (-); (+); (+); (+); (+); (+); (+); (+); (+); (+); (+); (+); (-); (+); (+); (+); (-); (+); (+); (+); (+); (-) || (-); (+); (+); (+); (+); (-),"2D/3D; much/little data/info || 2D/3D; amount of words/context/numbers; color contrast/clarity; color variety/shading; distracting/confusing/unclear; domain-specific concepts (e.g., chemical, biology, map); easy/hard to interpret; labels/axes/legends; more charts/points/lines/shapes/elements; much/little data/info; ordered; shapes and lines; take longer to interpret || color variety/shading; domain-specific concepts (e.g., chemical, biology, map); more charts/points/lines/shapes/elements; shapes and lines"
dot,mark.point,mark,original,0,,,,,
