imageName,imageURL,VisType,NormalizedVC,ConfusingSource,rawUserComments,UniqueTopics,CuratedUniqueTopics,CuratePhrasesMore/LessComplex,humanCuratedPhrases,originalSentiments,UniqueSubTopics,allStems,visual_objects,visual_attributes,visual_predicates,unmatched_stems,oar_B_synset_objects
VASTC.1.12.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/VASTC.1.12.png,Line,0.46,,1. Harder things to understand on the bottom axis 2. More complex/smaller things to try to make out 3. Harder concept to understand,Immediacy / Cognitive Load,,Harder to understand,more difficult to interpret/read/understand/differentiate,(+),Interpretive Difficulty,hard; understand,,hard (readability),understand (cognitive),,visualization (whole)
VASTC.1.10.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/VASTC.1.10.png,Line,0.46,,The number of entries in the horizontal bar is very high.,Data Density / Image Clutter,,number of entries very high.,many points/lines/shapes/elements,(+),Element Quantity,number; entry; high,number (quantity_reference),,,"entry (unclustered); high (in vocab, excluded)",visualization (whole); data (content)
VisC.61.10.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/VisC.61.10.png,Node-link,0.46,,"connections sometimes feel arbitrary, irregular and hard to understand",Immediacy / Cognitive Load,,"connections feel arbitrary, irregular; hard to understand",confusing connection; hard to interpret/read/understand,(+); (+),Semantic Clarity; Interpretive Difficulty,connection; feel; arbitrary; irregular; hard; understand,connection (quantity_reference),arbitrary (familiarity); hard (readability),feel (perceptual); understand (cognitive),"irregular (rare, 1 image)",link (structure); visualization (whole)
economist_daily_chart_372.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/economist_daily_chart_372.png,Point,0.46,,,"Color, Symbol, and Texture Details; Aesthetics Uncertainty",,how organised/disorganised was the picture; how many type of entities they were; numbers on entities; numbers of unique shapes/colors,amount of / too many colors; looks random/messy/lack structure,(+); (+); (+); (+),Color Palette & Contrast; Visual Disorganization,organise; disorganise; picture; type; entity; number; unique; shape; color,picture (chart_type); entity (data_element); entity (quantity_reference); number (quantity_reference); shape (mark); shape (perceptual_element); color (perceptual_element),unique (familiarity),shape (evaluative),"organise (rare, 1 image); disorganise (rare, 1 image); type (rare, 4 images)",visualization (whole); data (content); label (text); shape (mark); color (property)
VASTJ.828.7.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/VASTJ.828.7.png,Area,0.47,,more graphic; no or few data; not a lot of contrast,"Data Density / Image Clutter; Color, Symbol, and Texture Details",,no or few data; not a lot of contrast,little data/info; lack of color contrast / hard to distinguish colors,(+); (+),Information Volume; Color Palette & Contrast,datum; lot; contrast,a lot (quantity_reference); datum (data_element); lot (quantity_reference); contrast (perceptual_element),a lot (quantity_descriptor); lot (quantity_descriptor),contrast (structural),,visualization (whole); data (content); color (property)
VASTJ.320.11.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/VASTJ.320.11.png,Area,0.47,,#NAME?,Semantics / Text Legibility,,Almost no explanation; No axis; No graphic legend,almost no explanation; lack of/not enough axis labels/legend/annotations/context; no measurement/metric,(+); (+); (+),Annotations & Labels,explanation; axis; graphic; legend,explanation (annotation); axis (chart_component); graphic (chart_type); graphic (quantity_reference); legend (chart_component),graphic (aesthetics),legend (evaluative),,visualization (whole); axes (furniture); legend (furniture); annotation (text)
whoB03_1.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/whoB03_1.png,Bar,0.47,,the other figure which is easily interpretable,Immediacy / Cognitive Load,,easily interpretable,easier to interpret/read/understand,(-),Interpretive Difficulty,easily; interpretable,,easily (readability),,"interpretable (rare, 1 image)",visualization (whole)
SciVisJ.796.5(1).png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/SciVisJ.796.5(1).png,Cont.-ColorPatn,0.47,lack of information to derive meaning.,No measurements; Not sure what the pattern is and what color stands for,"Semantics / Text Legibility; Schema; Color, Symbol, and Texture Details",,No measurements; not sure what color stands for; unsure pattern,no measurement/metric/axis; unfamiliar concepts/patterns; unclear color meaning,(+); (+); (+),Annotations & Labels; Domain Familiarity; Color Palette & Contrast,measurement; sure; color; stand; unsure; pattern,measurement (data_element); color (perceptual_element); pattern (layout_component); pattern (quantity_reference),,,"sure (in vocab, excluded); stand (rare, 1 image); unsure (unclustered)",visualization (whole); color (property); pattern (structure); number (content)
InfoVisJ.1073.3.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/InfoVisJ.1073.3.png,Grid,0.47,,The picture on the right just made me confused looking at it. I assume it's something in biology but not sure what.,Schema; Immediacy / Cognitive Load,,something in biology; made me confused,"domain-specific concepts (e.g., chemical, biology, map); unclear meaning/confusing",(+); (+),Domain Familiarity; Semantic Clarity,biology; confuse,,,confuse (cognitive),biology (unclustered),visualization (whole); domain (content)
InfoVisJ.1247.10.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/InfoVisJ.1247.10.png,Line,0.47,,"1) It's difficult to understand this diagram compared to the right because Sw & SL are crossing each other; image that is more visually complex contains more elements of information in different formats including text, numbers, mathematical formulae as well as the coloured graphic chart; the plot is particularly non-complex as it is just a line graph, one of the simplest visualisation tools.","Data Density / Image Clutter; Semantics / Text Legibility; Color, Symbol, and Texture Details; Immediacy / Cognitive Load",,"crossing each other; difficult to understand diagram; more elements of information; text, numbers, mathematical formulae; colored graphic chart",more charts/points/lines/shapes/elements; overlapping shapes/colors/lines; lack of/not enough axis labels/legend/annotations/context; clear colored bars/charts; hard to interpret/read/understand,(+); (+); (+); (+); (+),Element Quantity; Visual Clutter & Overlap; Annotations & Labels; Color Palette & Contrast; Interpretive Difficulty,cross; difficult; understand; diagram; element; information; text; number; mathematical; formulae; color; graphic; chart,element (domain_object); information (cognitive_element); text (annotation); number (quantity_reference); color (perceptual_element); graphic (chart_type); graphic (quantity_reference); chart (chart_type),difficult (readability); graphic (aesthetics),cross (spatial); understand (cognitive),"diagram (unclustered); mathematical (rare, 1 image); formulae (rare, 1 image)",visualization (whole); line (mark); label (text); annotation (text); color (property)
InfoVisJ.953.10.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/InfoVisJ.953.10.png,Text,0.47,semantic meaning,"I chose the second picture because the names of the countries were familiar and easier to process; the first image with the The ""random"" names that don't make sense to me! the first picture I don't know what the colors red and green are supposed to indicate.; How clear the chart was","Schema; Color, Symbol, and Texture Details; Immediacy / Cognitive Load",,indications; names of the countriesr; two colors; easier to process,"indication; domain-specific concepts (e.g., chemical, biology, map); two colors; easier to process/visualize",(-); (-); (-); (-),Semantic Clarity; Domain Familiarity; Color Palette & Contrast; Interpretive Difficulty,indication; name; countriesr; color; easy; process,name (annotation); name (quantity_reference); color (perceptual_element); process (quantity_reference),easy (readability),name (semantic),"indication (unclustered); countriesr (rare, 1 image)",visualization (whole); label (text); color (property); symbol (mark)
InfoVisJ.691.6(3).png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/InfoVisJ.691.6(3).png,Text,0.47,,"The colour of the images, the right one is more simplistic. There are none (pictures) on the right.",Data Density / Image Clutter; Visual Encoding Clarity,,none; simplistic,little data/info; simple visual elements,(-); (-),Information Volume; Graphical Forms & Primitives,simplistic,,simplistic (complexity),,,visualization (whole)
VASTJ.1763.8(2).png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/VASTJ.1763.8(2).png,Text,0.47,,The left picture utilizes a more uniform design. The left picture features only two main colors. The left picture applies one font only.,"Semantics / Text Legibility; Schema; Color, Symbol, and Texture Details",,only two main colors; one font only; more uniform design,more uniform design; single font; two colors,(-); (-); (-),Dimensionality & Structure; Typography & Readability; Color Palette & Contrast,main; color; font; uniform; design,color (perceptual_element); font (annotation); design (quantity_reference),,,"main (rare, 1 image); uniform (unclustered)",visualization (whole); color (property); font_style (property)
wsj28.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/wsj28.png,Bar,0.48,,Lots of writing; Prominent colors,"Semantics / Text Legibility; Color, Symbol, and Texture Details",,Lots of writing; Prominent colors,amount of words/context/numbers; salient colors,(+); (+),Text Volume & Content; Color Palette & Contrast,lot; write; prominent; color,lot (quantity_reference); color (perceptual_element),lot (quantity_descriptor),write (evaluative),"prominent (rare, 1 image)",label (text); color (property)
VASTJ.870.4.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/VASTJ.870.4.png,Grid,0.48,,Ease of understanding,Immediacy / Cognitive Load,,Ease of understanding,easy to interpret/read/understand,(+) (-),Interpretive Difficulty,ease; understand,ease (quantity_reference),,understand (cognitive),,visualization (whole)
visMost107.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/visMost107.png,Grid,0.48,,contrast,"Color, Symbol, and Texture Details",,contrast,low color contrast/separation/segmentation,(-),Color Palette & Contrast,contrast,contrast (perceptual_element),,contrast (structural),,visualization (whole)
whoO03.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/whoO03.png,Line,0.48,,Smooth lines,Visual Encoding Clarity,,Smooth lines,smooth lines,(-),Graphical Forms & Primitives,smooth; line,line (mark),,,"smooth (rare, 1 image)",line (mark)
InfoVisC.133.5(3).png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/InfoVisC.133.5(3).png,Node-link,0.48,,Both of these images are a bit complex.; - element size - number of details - complexity of shapes and contrasts; The complexity of the information conveyed in the right image seems a lot more than the left image. There are several factors to understand in the right image. overlapping/intersecting lines; Volume of information; Spread of information on the image; Data interpretation; Time to evaluate context,"Data Density / Image Clutter; Visual Encoding Clarity; Color, Symbol, and Texture Details",,number of details; element size; shapes and contrasts,more detailed/things; element sizes; shapes and contrasts,(+) (-); (+) (-); (+) (-),Information Volume; Graphical Forms & Primitives; Color Palette & Contrast,number; detail; element; size; shape; contrast,number (quantity_reference); detail (cognitive_element); element (domain_object); size (perceptual_element); shape (mark); shape (perceptual_element); contrast (perceptual_element),,shape (evaluative); contrast (structural),,visualization (whole); data (content); shape (mark)
InfoVisJ.989.8.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/InfoVisJ.989.8.png,Point,0.48,,#NAME?,Semantics / Text Legibility; Immediacy / Cognitive Load,,more information labeled; more legible,more labels/context; more legible,(+); (+),Annotations & Labels; Interpretive Difficulty,information; label; legible,more information (quantity_reference); information (cognitive_element); label (chart_component),more information (information_quality),label (semantic),"legible (rare, 1 image)",label (text)
InfoVisJ.1161.5.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/InfoVisJ.1161.5.png,Point,0.48,,The opposite one is just a collection of 3 different dots,"Color, Symbol, and Texture Details",,collection of 3 dots,unclear colormaps,(-),Color Palette & Contrast,collection; dot,collection (domain_object); collection (quantity_reference); dot (mark),,,,point (mark)
InfoVisJ.1032.5.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/InfoVisJ.1032.5.png,Point,0.48,,The layout of the grid and point position. More colours present. y-axis variable hard to make sense of,"Visual Encoding Clarity; Schema; Color, Symbol, and Texture Details; Immediacy / Cognitive Load",,layout of the grid; point position; More colors; y-axis variable hard to make sense of,grid layout; shape position; y-axis meaning unclear; color variety/arrangement/distribution,(+); (+); (+); (+),"Dimensionality & Structure; Position, Scale & Organization; Semantic Clarity; Color Palette & Contrast",layout; grid; point; position; color; axis; variable; hard; sense,layout (layout_component); layout (quantity_reference); grid (chart_component); grid (layout_component); point (mark); position (layout_component); color (perceptual_element); axis (chart_component); variable (data_element); sense (cognitive_element),hard (readability); sense (cognitive),make sense (cognitive); position (spatial),,grid (structure); point (mark); color (property); axes (furniture)
MorphableWordClouds7.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/MorphableWordClouds7.png,Text,0.48,,,Immediacy / Cognitive Load,,More complex colour scheme.; Less linear.; Less symetrical.,more complicated; more intricate,(+); (+); (+),Interpretive Difficulty,complex; colour; scheme; linear; symetrical,colour (perceptual_element),complex (complexity); linear (structure),,"scheme (in vocab, excluded); symetrical (rare, 1 image)",visualization (whole); color (property); layout (structure)
economist_daily_chart_5.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/economist_daily_chart_5.png,Bar,0.49,,It has more data and need focus to understand,Data Density / Image Clutter; Immediacy / Cognitive Load,,more data; need focus to understand,much/more data/info/info spread; hard to interpret/read/understand,(+); (+),Information Volume; Interpretive Difficulty,datum; need; focus; understand,datum (data_element),,need (evaluative); focus (structural); focus (perceptual); understand (cognitive),,visualization (whole); data (content)
wsj360.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/wsj360.png,Bar,0.49,,More letters more charts,Semantics / Text Legibility,,More letters,more texts/words,(+),Text Volume & Content,letter,letter (annotation),,,,label (text)
whoB09_1.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/whoB09_1.png,Line,0.49,,"more numbers; seemingly more lines of data; it has more elements, different axes, colors dont carry any meaning","Data Density / Image Clutter; Semantics / Text Legibility; Color, Symbol, and Texture Details; Immediacy / Cognitive Load",,more elements; different axes; colors dont carry any meaning; Lots of variables; Large numbers; Different colors,more charts/points/lines/shapes/elements; more parameters/variables; amount of words/context/numbers; title/axis/label/descriptions; color variety/arrangement/distribution; unclear meaning/confusing,(+); (+); (+); (+); (+); (+),Element Quantity; Information Volume; Text Volume & Content; Annotations & Labels; Color Palette & Contrast; Semantic Clarity,element; different; axis; color; carry; meaning; lot; variable; large; number,element (domain_object); axis (chart_component); color (perceptual_element); meaning (cognitive_element); lot (quantity_reference); variable (data_element); number (quantity_reference),different (structure); meaning (cognitive); lot (quantity_descriptor); large (size_density),,"carry (rare, 1 image)",visualization (whole); axes (furniture); data (content); color (property); axis_label (text)
whoI19.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/whoI19.png,Line,0.49,,has a limited number of countries the data is collected from; it has fewer axes; visually it is easier to understand; anyone with a high school education may be able to understand it.,Data Density / Image Clutter; Schema; Immediacy / Cognitive Load,,limited number of data; fewer axes; countries; high school education; easier to understand,"little data/info; fewer axes; domain-specific concepts (e.g., chemical, biology, map); easier to interpret/read/understand",(-); (-); (+) (-); (-); (-),Information Volume; Dimensionality & Structure; Domain Familiarity; Interpretive Difficulty,limited; number; datum; few; axis; country; high; school; education; easy; understand,number (quantity_reference); datum (data_element); axis (chart_component); country (domain_object),easy (readability),understand (cognitive),"limited (unclustered); few (unclustered); high (in vocab, excluded); school (rare, 1 image); education (rare, 2 images)",visualization (whole); axes (furniture); point (mark); label (text); annotation (text)
InfoVisJ.2251.6.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/InfoVisJ.2251.6.png,Schematic,0.49,,"the shapes are not the sames, but they are quite similar and it makes it harder to read and to differentiate them.",Visual Encoding Clarity; Immediacy / Cognitive Load,,they are quite similar and it makes it harder to read and to differentiate them.,similar shapes; more difficult to interpret/read/understand/differentiate,(+),Graphical Forms & Primitives; Interpretive Difficulty,similar; make; hard; read; differentiate,,similar (structure); hard (readability),read (cognitive); differentiate (structural),"make (in vocab, excluded)",
InfoVisJ.2556.10.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/InfoVisJ.2556.10.png,Text,0.49,,"1. Text not easily readable. 2. No regularity in design. (empty spaces for example). 3. Totally arbitrary color application. 4. No clear visual ""cut off points"", the frames are fading out. This looks ""messy"" and confusing.","Schema; Color, Symbol, and Texture Details; Aesthetics Uncertainty; Immediacy / Cognitive Load",,Text not easily readable.; No regularity in design. (empty spaces for example).; Totally arbitrary color application.; No regularity in design; No clear visual cut off points; looks messy and confusing,no clear indication; hard to read; unfamiliar concepts/patterns; ambiguous/confusing colors; irregular; unclear meaning/confusing,(+); (+); (+); (+); (+); (+),Semantic Clarity; Interpretive Difficulty; Domain Familiarity; Color Palette & Contrast; Visual Disorganization,text; easily; readable; regularity; design; space; example; totally; arbitrary; color; application; clear; visual; cut; point; look; messy; confusing,text (annotation); design (quantity_reference); space (layout_component); color (perceptual_element); point (mark),easily (readability); readable (readability); arbitrary (familiarity); clear (readability); visual (aesthetics); confusing (readability),,"regularity (unclustered); example (unclustered); totally (rare, 1 image); application (rare, 1 image); cut (rare, 1 image); look (filtered, 16 images); messy (unclustered)",label (text); layout (structure); color (property); data (content); background (structure)
InfoVisJ.1149.17.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/InfoVisJ.1149.17.png,Text,0.49,,amount of text,Data Density / Image Clutter,,amount of text,much/more data/info/info spread,(+) (-),Information Volume,text,text (annotation),,,,label (text)
economist_daily_chart_124.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/economist_daily_chart_124.png,Area,0.5,,"More colours and text to interpret; The other purely incorporates the use of color; The left has more words for the regions, lots of regions, and a key with color coding.; a map and the legend in the bottom left gives away what the image is about.; i assumed the country shapes weren't that much more complex than dots.; The left image feels more cluttered and has a lot of words, different colours, and a legend explaining the purpose and all the different colours. The reason the map makes more sense is due to the legend; without it, the left image would have far more clutter and is less clear at a glance.; -variation in colours / shades -spatial organization -amount of words describing data; Lots of words and colors, many categories in the legend; a continent with countries im already familiar wiht; Image 2 is more detailed. Image 2 is easily understandable. Image 2 can easily be remembered.; a map of Africa — my gut reaction was that I recognized the map but had no idea what the colors represented.; color, pattern, nonlinearity, geo-map; range and contrast of colours; 1. It looks easier to understand 2. Few details 3. I am certain i can understand it more quickly","Data Density / Image Clutter; Visual Encoding Clarity; Semantics / Text Legibility; Schema; Color, Symbol, and Texture Details; Immediacy / Cognitive Load",,a map; legend; range and contrast of colors; lots of regions; more words; a key with color coding; nonlinearity; geo-map; more cluttered; a legend; a lot of words; different colors; less clear at a glance; a continent with countries; familiar with; more detailed; can easily be remembered; easily understandable; Few details; can understand more quickly; easier to understand; map of Africa; recognized the map; no idea what the colors represent; More colors; text; lotd of words; many categories in the legend; lots of colors; amount of words describing data; spatial organization; variation in colors / shades; country shapes; country; use of color,"dense/cluttered layout; little data/info; more regions/space; more forms; nonlinearity; shapes; spatial organization; amount of words/context/numbers; many legend categories; more texts/words; too much legend; word/text/sentence; domain-specific concepts (e.g., chemical, biology, map); familiar representation; unfamiliar concepts/patterns; color keys; color variety/arrangement/distribution; good color contrast/separation/segmentation; soft/layered/overlapping colors; unclear color meaning; easier to interpret/read/understand; easy to interpret/read/understand; easy to understand; less clear; more to read/analyze/understand; unclear meaning/confusing",(-); (+) (-); (-); (+); (+); (+); (+); (+); (+); (+); (+); (+) (-); (+); (-); (-); (-); (-); (-); (-); (-); (-); (-); (-); (-); (+); (+) (-); (+); (+); (+); (+); (+); (+); (+) (-); (+) (-); (+) (-),Visual Clutter & Overlap; Information Volume; Element Quantity; Domain Familiarity; Graphical Forms & Primitives; Dimensionality & Structure; Text Volume & Content; Annotations & Labels; Color Palette & Contrast; Interpretive Difficulty; Processing Time & Effort; Semantic Clarity,map; legend; range; contrast; color; lot; region; word; key; coding; nonlinearity; geo; cluttered; different; clear; glance; continent; country; familiar; detailed; easily; remember; understandable; detail; understand; quickly; easy; africa; recognize; idea; represent; text; lotd; category; describe; datum; spatial; organization; variation; shade; shape; use,the legend (quantity_reference); a glance (quantity_reference); no idea (quantity_reference); a lot (quantity_reference); map (chart_type); legend (chart_component); range (data_element); range (quantity_reference); contrast (perceptual_element); color (perceptual_element); lot (quantity_reference); region (domain_object); word (annotation); key (chart_component); key (quantity_reference); country (domain_object); detail (cognitive_element); idea (cognitive_element); text (annotation); datum (data_element); shade (perceptual_element); shape (mark); shape (perceptual_element); use (quantity_reference),no idea (information_quality); a lot (quantity_descriptor); lot (quantity_descriptor); key (information_quality); cluttered (complexity); cluttered (aesthetics); different (structure); clear (readability); familiar (familiarity); detailed (aesthetics); detailed (information_quality); easily (readability); understandable (readability); quickly (readability); quickly (temporal); easy (readability),legend (evaluative); contrast (structural); understand (cognitive); recognize (perceptual); represent (semantic); describe (semantic); shape (evaluative),"coding (rare, 2 images); nonlinearity (unclustered); geo (rare, 1 image); glance (in vocab, excluded); continent (unclustered); remember (unclustered); africa (unclustered); lotd (unclustered); category (rare, 1 image); spatial (rare, 1 image); organization (unclustered); variation (unclustered)",visualization (whole); region (structure); legend (furniture); color (property); label (text)
whoK16_3.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/whoK16_3.png,Area,0.5,,The one I did not choose is a simple pie chart.,Schema,,pie chart,a specific technique,(-),Domain Familiarity,pie; chart,chart (chart_type),,,pie (unclustered),visualization (whole)
VisC.167.11.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/VisC.167.11.png,Bar,0.5,,"just a bar graph, with colours representing groups, one can get the message of the visualisation in 1-2 seconds.; ana renklerin *ok kullan*lmamas*","Schema; Color, Symbol, and Texture Details; Immediacy / Cognitive Load",,bar graph; colors representing groups; get the message of the visualization in 1-2 seconds,"a specific technique, e.g., bar, pie, circle; color represents groups; easy to interpret/read/understand",(-); (-); (-),Domain Familiarity; Color Palette & Contrast; Interpretive Difficulty,bar; graph; color; represent; group; message; visualization; second,bar graph (chart_type); bar (mark); graph (chart_type); color (perceptual_element),,represent (semantic),"group (unclustered); message (rare, 1 image); visualization (unclustered); second (rare, 2 images)",visualization (whole); bar (mark); color (property)
SciVisJ.728.14.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/SciVisJ.728.14.png,Grid,0.5,,"On the right side, the colors of the image are too similar, and it makes it harder to understand the data.; The second image has a clear and concise key and is therefore less complex.; Visual clarity Amount of information; There is more text. The font and the arrangement of the text make it harder to read. There is less blank space (too cramped).; just lines of text; a chart that needed interpretation; The highlighted image needs a lot of reading before any sort of interpretation can be made.; The colours make it look cool; amount of text; amount of text, number of colours,; Use of color makes reading easier; How visible is the information — easy to read; there are lots of words on the one on the left; I have a legend and explanations.; intuitive understanding of graph","Data Density / Image Clutter; Semantics / Text Legibility; Color, Symbol, and Texture Details; Aesthetics Uncertainty; Immediacy / Cognitive Load",,explanations; legend; clear and concise key; colors; look cool; Amount of information; Visual clarity; colors are too similar; harder to understand; lots of words; needs a lot of reading; amount of text; number of colors; lines of text; less blank space; too cramped; The font; more text; the arrangement of the text; harder to read; needed interpretation; Use of color; easy to read; intuitive understanding of graph,dense/cluttered layout; more regions/space; much/more data/info/info spread; amount of words/context/numbers; clear text arrangement/density; explanation text; font; legend easy to understand; more texts/words; title/axis/label/descriptions; too much legend; distinguishable color variety/arrangement/distribution; lack of color contrast / hard to distinguish colors; unclear colormaps; visual clarity/appealing; easy to interpret/read/understand; more difficult to interpret/read/understand/differentiate; more reading/interpretation/understanding; read/analyze many figures/items,(-); (+) (-); (-); (+) (-); (-); (+); (+); (+); (+) (-); (+); (+); (+) (-); (+) (-); (-); (+); (+); (+); (+); (+); (+); (+); (-); (-); (-),Visual Clutter & Overlap; Information Volume; Text Volume & Content; Typography & Readability; Annotations & Labels; Color Palette & Contrast; Visual Disorganization; Interpretive Difficulty; Processing Time & Effort,explanation; legend; clear; concise; key; color; look; cool; information; visual; clarity; similar; hard; understand; lot; word; need; reading; text; number; line; blank; space; cramp; font; arrangement; read; interpretation; use; easy; intuitive; understanding; graph,more text (quantity_reference); a lot (quantity_reference); explanation (annotation); legend (chart_component); key (chart_component); key (quantity_reference); color (perceptual_element); information (cognitive_element); lot (quantity_reference); word (annotation); text (annotation); number (quantity_reference); line (mark); space (layout_component); font (annotation); arrangement (layout_component); arrangement (quantity_reference); interpretation (cognitive_element); use (quantity_reference); understanding (cognitive_element); graph (chart_type),a lot (quantity_descriptor); clear (readability); key (information_quality); visual (aesthetics); similar (structure); hard (readability); lot (quantity_descriptor); arrangement (structure); interpretation (cognitive); easy (readability); intuitive (familiarity); understanding (cognitive),legend (evaluative); understand (cognitive); need (evaluative); read (cognitive),"concise (unclustered); look (filtered, 16 images); cool (rare, 1 image); clarity (unclustered); reading (unclustered); blank (unclustered); cramp (rare, 1 image)",legend (furniture); label (text); color (property); layout (structure); data (content); font_style (property)
economist_daily_chart_118.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/economist_daily_chart_118.png,Line,0.5,,The tendencies are easy to follow.  more familiarized with this type of charts,Schema; Immediacy / Cognitive Load,,familiarized with this type of charts; easy to follow,familiar representation; easy to focus/follow,(-); (-),Domain Familiarity; Interpretive Difficulty,familiarize; type; chart; easy; follow,chart (chart_type),easy (readability),follow (perceptual),"familiarize (unclustered); type (rare, 4 images)",visualization (whole)
v483_n7390_1_f2.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/v483_n7390_1_f2.png,Line,0.5,,,"Color, Symbol, and Texture Details",,more variation,color variety/arrangement/distribution,(+),Color Palette & Contrast,variation,,,,variation (unclustered),visualization (whole)
MorphableWordClouds8.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/MorphableWordClouds8.png,Text,0.5,,Too much information.; The image has a lot of writing to it; it is not consistent; the shape is hard to read from,Data Density / Image Clutter; Visual Encoding Clarity; Semantics / Text Legibility; Aesthetics Uncertainty; Immediacy / Cognitive Load,,Too much information; shape hard to read; a lot of writing; not consistent; shape is hard to read,too much data/info; understand/read shapes; amount of words/context/numbers; inconsistent; hard to read shape,(+); (+); (+); (+); (+),Information Volume; Encoding Interpretability; Text Volume & Content; Visual Disorganization; Interpretive Difficulty,information; shape; hard; read; lot; writing; consistent,a lot (quantity_reference); information (cognitive_element); shape (mark); shape (perceptual_element); lot (quantity_reference); writing (annotation); writing (quantity_reference),too much (quantity_descriptor); a lot (quantity_descriptor); hard (readability); lot (quantity_descriptor),shape (evaluative); read (cognitive),"consistent (rare, 1 image)",visualization (whole); label (text); shape (mark)
InfoVisJ.2412.16(2).png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/InfoVisJ.2412.16(2).png,Text,0.5,,"The second image is simpler: It is monochrome, the main points are clearly visible at a glance and there does not seem to be much more meaning to it other than the frequency at which each word is used.","Semantics / Text Legibility; Color, Symbol, and Texture Details; Immediacy / Cognitive Load",,frequency each word is used; monochrome; clearly visible at a glance,word frequency; monochrome; easy to interpret/read/understand,(-); (-); (-),Text Volume & Content; Color Palette & Contrast; Interpretive Difficulty,frequency; word; monochrome; clearly; visible; glance,a glance (quantity_reference); frequency (data_element); frequency (quantity_reference); word (annotation),clearly (readability); visible (readability),,"monochrome (unclustered); glance (in vocab, excluded)",visualization (whole); data (content); color (property)
InfoVisJ.678.17.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/InfoVisJ.678.17.png,Area,0.51,,The image on the right is layered and appears as only one thing to visually process.,Schema; Immediacy / Cognitive Load,,layered; only one thing to visually process,spatial organization; easy to interpret/read/understand,(-); (-),Dimensionality & Structure; Interpretive Difficulty,layer; thing; visually; process,process (quantity_reference),,,"layer (unclustered); thing (unclustered); visually (in vocab, excluded)",visualization (whole); element (mark)
