image,sceneGraph,imageName,imageURL,VisType,mentioningColor,context,NormalizedVC,ConfusingSource,rawUserComments,UniqueTopics,CuratedUniqueTopics,CuratePhrasesMore/LessComplex,humanCuratedPhrases,originalSentiments,allStems,visual_objects,visual_attributes,visual_predicates,unmatched_stems,originalStems,objectWords,actionWords,originalStemPOS,oar_B_synset_objects,UniqueSubTopics,UniqueSubTopicsCount,UniqueTopicsCount,oar_B_synset_attributes,oar_B_synset_relationships
,,economist_daily_chart_317.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/economist_daily_chart_317.png,Area,,,0.45,,"- World maps are well known for everybody - A map is easier to read than a chart; more factors included (countries), much more detailed, less structure; It gives more informations so we need to take more time to understand it. There are multiple legends.; map so im able to gauge some info graphically - little to no numbers; There is infinitely more information to be gleaned from the image of the world map. There is deeper, 'less obvious' information other than the key on the bottom left.; The world map is well known, you don*t need much attention to recognize it. The graph has a lot of similar instances. The colors in the map are easier to process than the numbers in the axis.; map is simple to understand","Data Density / Image Clutter; Semantics / Text Legibility; Schema; Color, Symbol, and Texture Details; Aesthetics Uncertainty; Immediacy / Cognitive Load",,much more detailed; countries; less structure; World maps are well known for everybody; A map is easier to read than a chart; take more time to understand; a lot of similar instances; numbers in the axis; world map; colors in the map; don't need much attention to recognize it; easier to process; gauge some info graphically; little to no numbers; map; simple to understand,"more charts/points/lines/shapes/elements; much/more data/info/info spread; graphical information; axis numbers; easier to read; little/less text/numbers/context; domain-specific concepts (e.g., chemical, biology, map); color keys; intense/too many colors; unclear coloring; looks random/messy/lack structure; easier to process/visualize; easy to interpret/read/understand; simple to interpret/read/understand; take longer to interpret",(+); (+) (-); (+); (-); (-); (+); (-); (-); (+) (-); (-); (-); (-); (+); (+); (+) (-); (-),detailed; country; structure; world; map; know; easy; read; chart; time; understand; lot; similar; instance; number; axis; color; need; attention; recognize; process; gauge; info; graphically; little; simple,world map (chart_type); more time (quantity_reference); a lot (quantity_reference); country (domain_object); structure (layout_component); world (domain_object); map (chart_type); chart (chart_type); lot (quantity_reference); number (quantity_reference); axis (chart_component); color (perceptual_element); process (quantity_reference); info (cognitive_element); info (quantity_reference),more time (temporal); a lot (quantity_descriptor); detailed (aesthetics); detailed (information_quality); easy (readability); time (temporal); lot (quantity_descriptor); similar (structure); little (size_density); simple (complexity),structure (structural); know (cognitive); read (cognitive); understand (cognitive); need (evaluative); recognize (perceptual),"instance (rare, 1 image); attention (unclustered); gauge (rare, 1 image); graphically (rare, 1 image)",detail; country; structure; world; map; know; everybody; easy; read; chart; time; understand; lot; similar; instance; number; axis; color; need; attention; recognize; process; gauge; info; graphic; little; simple,country; structure; world; map; chart; time; lot; instance; number; axis; color; attention; info,know; read; understand; need; recognize; process; gauge,ADJ; NOUN; NOUN; NOUN; NOUN; VERB; PRON; ADJ; VERB; NOUN; NOUN; VERB; NOUN; ADJ; NOUN; NOUN; NOUN; NOUN; VERB; NOUN; VERB; VERB; VERB; NOUN; ADV; ADJ; ADJ,visualization (whole); region (structure); color (property); axes (furniture); legend (furniture),Element Quantity; Information Volume; Domain Familiarity; Annotations & Labels; Typography & Readability; Text Volume & Content; Color Palette & Contrast; Visual Disorganization; Interpretive Difficulty; Processing Time & Effort,,,universally_familiar_format (visualization); easier_to_read_than_chart (visualization); simple_to_understand (visualization); less_structural_organization (visualization); requires_graphical_inference (visualization); much_more_detailed (visualization); takes_more_time_to_understand (visualization); many_similar_instances (region); colors_aid_recognition (color); little_to_no_numbers (color); axis_numbers_present (axes); minimal_attention_needed (visualization); easier_to_process (visualization),region --displayed_on--> visualization; color --encodes_data_across--> region; visualization --lacks_structured_axes_like--> axes; color --requires_graphical_gauging_from--> legend
,,VASTJ.1332.5.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/VASTJ.1332.5.png,Bar,,,0.45,,two axes; fewer data points,Data Density / Image Clutter; Semantics / Text Legibility,,fewer data points; two axes,little data/info; title/axis/label/descriptions,(-); (-),few; datum; point; axis,datum (data_element); point (mark); axis (chart_component),,,few (unclustered),few; datum; point; axis,datum; point; axis,,ADJ; NOUN; NOUN; NOUN,point (mark); axes (furniture),Information Volume; Annotations & Labels,,,fewer_data_points (point); two_axes_only (axes),point --plotted_along--> axes
,,wsj536.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/wsj536.png,Bar,,,0.45,,"More elements - the graph, the picture, the shading, use of colour.","Data Density / Image Clutter; Color, Symbol, and Texture Details",,More elements; the shading; use of color,more charts/points/lines/shapes/elements; color shading; soft/layered/overlapping colors,(+); (+); (+) (-),element; shading; use; color,element (domain_object); use (quantity_reference); color (perceptual_element),,,shading (unclustered),element; shade; use; color,element; shading; use; color,,NOUN; NOUN; NOUN; NOUN,visualization (whole); color (property),Element Quantity; Color Palette & Contrast,,,multiple_visual_elements (visualization); shading_increases_complexity (color); varied_color_usage (color),color --contributes_to_clutter_in--> visualization; color --adds_encoding_complexity_to--> visualization
,,whoO06_2.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/whoO06_2.png,Bar,,,0.45,,has a title and legend,Semantics / Text Legibility,,legend; title,title/axis/label/descriptions; too much legend,(+) (-); (-),legend; title,legend (chart_component); title (chart_component),,legend (evaluative),,legend; title,legend; title,,NOUN; NOUN,legend (furniture); title (text),Annotations & Labels,,,increases_perceived_complexity (legend); aids_quick_interpretation (title),legend --adds_complexity_relative_to--> title
,,VisJ.1949.11.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/VisJ.1949.11.png,Glyph,,,0.45,,1) I'm not sure how to interpret the highlighted image because I don't know what I'm looking at 2) No clear pattern 3) No measurements 4) Not sure what the colors differentiate,"Semantics / Text Legibility; Color, Symbol, and Texture Details; Aesthetics Uncertainty; Immediacy / Cognitive Load",,No measurements; what the colors differentiate; No clear pattern; don't know what looking at,no measurement/metric/axis; color differentiation; distracting/confusing/unclear; unclear meaning/confusing,(+); (+); (+); (+),measurement; color; differentiate; clear; pattern; know; look,measurement (data_element); color (perceptual_element); pattern (layout_component); pattern (quantity_reference),clear (readability),differentiate (structural); know (cognitive),"look (filtered, 16 images)",measure; color; differentiate; clear; pattern; know; look,measurement; color; pattern,differentiate; know; look,NOUN; NOUN; VERB; ADJ; NOUN; VERB; VERB,visualization (whole); color (property); number (content); pattern (structure),Annotations & Labels; Color Palette & Contrast; Visual Disorganization; Semantic Clarity,,,no_measurements_present (number); unclear_color_differentiation (color); no_clear_pattern (pattern); unclear_what_displayed (visualization),number --absence_raises_cognitive_load_of--> visualization; pattern --contributes_to_disorder_of--> visualization
,,InfoVisJ.935.6.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/InfoVisJ.935.6.png,Grid,,,0.45,,More colours,"Color, Symbol, and Texture Details",,More colors,color variety/arrangement/distribution,(+),color,color (perceptual_element),,,,color,color,,NOUN,visualization (whole); color (property),Color Palette & Contrast,,,multiple_colors_used (color),
,,wsj270.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/wsj270.png,Line,,,0.45,,The left side image shows more information about data and easy to evaluate; The country flags  make it very easy to read the chart at a glance and understand the general data.,Visual Encoding Clarity; Schema; Immediacy / Cognitive Load,,country related; easy to read at a glance; more information about data; easy to evaluate,"design-data relationship; domain-specific concepts (e.g., chemical, biology, map); easy to interpret/read/understand",(-); (-); (-); (-),country; relate; easy; read; glance; information; datum; evaluate,more information (quantity_reference); a glance (quantity_reference); country (domain_object); information (cognitive_element); datum (data_element),more information (information_quality); easy (readability),read (cognitive),"relate (unclustered); glance (in vocab, excluded); evaluate (unclustered)",country; relate; easy; read; glance; information; datum; evaluate,country; glance; information; datum,relate; read; evaluate,NOUN; VERB; ADJ; VERB; NOUN; NOUN; NOUN; VERB,visualization (whole); label (text); data (content),Encoding Interpretability; Domain Familiarity; Interpretive Difficulty,,,easy_to_read_glance (visualization); easy_to_evaluate (visualization); country_related_context (label); provides_more_data_information (data),data --supports_evaluation_of--> visualization
,,VisC.29.16.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/VisC.29.16.png,Line,,,0.45,,nothing is clear.; A simple line graph,Schema; Aesthetics Uncertainty,,nothing is clear; line graph,a specific technique; distracting/confusing/unclear,(+); (+) (-),clear; line; graph,line (mark); graph (chart_type),clear (readability),,,clear; line; graph,line; graph,,ADJ; NOUN; NOUN,visualization (whole); line (mark),Domain Familiarity; Visual Disorganization,,,lacks_visual_clarity (visualization); line_graph_format (visualization); unclear_encoding (line),line --contributes_to_confusion_in--> visualization
,,InfoVisC.65.4(2).png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/InfoVisC.65.4(2).png,Node-link,,,0.45,,"Because al the dots were related to one, like a water fall but I didn't know why",Visual Encoding Clarity; Schema,,all dots were related; like a water fall,understand/read shapes; waterfall-like,(+); (+),dot; relate; water; fall,dot (mark),,,"relate (unclustered); water (rare, 1 image); fall (rare, 1 image)",dot; relate; like; water; fall,dot; water; fall,relate,NOUN; VERB; ADP; NOUN; NOUN,point (mark); pattern (structure),Encoding Interpretability; Domain Familiarity,,,all_dots_interconnected (point); cascading_visual_flow (pattern),
,,VisC.251.7.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/VisC.251.7.png,Point,,,0.45,,There is more information to process in the first image,Data Density / Image Clutter,,more information to process,much/more data/info/info spread,(+),information; process,more information (quantity_reference); information (cognitive_element); process (quantity_reference),more information (information_quality),,,information; process,information,process,NOUN; VERB,visualization (whole),Information Volume,,,high_information_volume (visualization),
,,whoQ14_2.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/whoQ14_2.png,Bar,,,0.46,,More elements. More different labels. More items being compared. The bars being individual lines.,Data Density / Image Clutter; Visual Encoding Clarity; Semantics / Text Legibility,,More elements.; More items; bars being individual lines.; More different labels.,more charts/points/lines/shapes/elements; bars as individual lines; more labels/context,(+); (+); (+); (+),element; item; bar; individual; line; different; label,element (domain_object); item (domain_object); item (quantity_reference); bar (mark); line (mark); label (chart_component),individual (structure); different (structure),label (semantic),,element; item; bar; individual; line; differ; label,element; item; bar; line; label,,NOUN; NOUN; NOUN; ADJ; NOUN; ADJ; NOUN,visualization (whole); bar (mark); label (text); data (content),Element Quantity; Graphical Forms & Primitives; Annotations & Labels,,,rendered_as_individual_lines (bar); many_different_labels (label); high_item_count (data); many_elements_present (visualization),bar --contributes_to_clutter_in--> visualization
,,VASTJ.1720.12.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/VASTJ.1720.12.png,Bar,,,0.46,,Because there is little information,Data Density / Image Clutter,,little information,little data/info,(+),little; information,information (cognitive_element),little (size_density),,,little; information,information,,ADJ; NOUN,,Information Volume,,,,
,,InfoVisJ.935.9.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/InfoVisJ.935.9.png,Grid,,,0.46,,neither is very complex; the other is blank,Data Density / Image Clutter,,is blank,little data/info,(-),blank,,,,blank (unclustered),blank,,,ADJ,visualization (whole),Information Volume,,,blank_content (visualization),
,,InfoVisC.103.9.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/InfoVisC.103.9.png,Line,,,0.46,,The spikes on the chart are difficult to follow. The lack of information doesn't provide context to follow,Immediacy / Cognitive Load,,difficult to follow,hard to focus/follow,(+),difficult; follow,,difficult (readability),follow (perceptual),,difficult; follow,,follow,ADJ; VERB,visualization (whole),Interpretive Difficulty,,,difficult_to_follow (visualization),
,,VisC.171.4.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/VisC.171.4.png,Line,,,0.46,,"On the left, I don't have any idea of what is the subjetc. There are numbers that I've never seen before like ""9e+06"" ??; No graph metrics given The numbers do not make sense",Semantics / Text Legibility; Schema; Immediacy / Cognitive Load,,numbers never seen before; no idea the subjetc; No graph metrics given; numbers do not make sense,lack of/not enough axis labels/legend/annotations/context; no measurement/metric/axis; unfamiliar concepts/patterns; unclear meaning/confusing,(+); (+); (+) (-); (+) (-),number; see; idea; subjetc; graph; metric; give; sense,no idea (quantity_reference); number (quantity_reference); idea (cognitive_element); graph (chart_type); sense (cognitive_element),no idea (information_quality); sense (cognitive),make sense (cognitive); see (perceptual),"subjetc (rare, 1 image); metric (unclustered); give (unclustered)",number; see; idea; subjetc; graph; metric; give; sense,number; idea; subjetc; graph; metric; sense,see; give,NOUN; VERB; NOUN; NOUN; NOUN; NOUN; VERB; NOUN,number (content); visualization (whole); label (text),Annotations & Labels; Domain Familiarity; Semantic Clarity,,,unfamiliar_numbers_displayed (number); numbers_lack_meaning (number); no_graph_metrics_present (visualization); subject_domain_unclear (label),number --confounds_interpretation_due_to--> label; visualization --absent_reducing_clutter_from--> number
,,VASTC.1.12.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/VASTC.1.12.png,Line,,,0.46,,1. Harder things to understand on the bottom axis 2. More complex/smaller things to try to make out 3. Harder concept to understand,Immediacy / Cognitive Load,,Harder to understand,more difficult to interpret/read/understand/differentiate,(+),hard; understand,,hard (readability),understand (cognitive),,hard; understand,,understand,ADJ; VERB,visualization (whole),Interpretive Difficulty,,,hard_to_understand (visualization),
,,VASTC.1.10.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/VASTC.1.10.png,Line,,,0.46,,The number of entries in the horizontal bar is very high.,Data Density / Image Clutter,,number of entries very high.,many points/lines/shapes/elements,(+),number; entry; high,number (quantity_reference),,,"entry (unclustered); high (in vocab, excluded)",number; entry; high,number; entry,,NOUN; NOUN; ADJ,visualization (whole); data (content),Element Quantity,,,very_high_entry_count (data),data --overwhelms--> visualization
,,VisC.61.10.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/VisC.61.10.png,Node-link,,,0.46,,"connections sometimes feel arbitrary, irregular and hard to understand",Immediacy / Cognitive Load,,"connections feel arbitrary, irregular; hard to understand",confusing connection; hard to interpret/read/understand,(+); (+),connection; feel; arbitrary; irregular; hard; understand,connection (quantity_reference),arbitrary (familiarity); hard (readability),feel (perceptual); understand (cognitive),"irregular (rare, 1 image)",connect; feel; arbitrary; irregular; hard; understand,connection,feel; understand,NOUN; VERB; ADJ; ADJ; ADV; VERB,link (structure); visualization (whole),Semantic Clarity; Interpretive Difficulty,,,arbitrary_irregular_links (link); hard_to_understand (visualization),
,,economist_daily_chart_372.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/economist_daily_chart_372.png,Point,,,0.46,,,"Color, Symbol, and Texture Details; Aesthetics Uncertainty",,how organized/disorganized was the picture; how many type of entities they were; numbers on entities; numbers of unique shapes/colors,amount of / too many colors; looks random/messy/lack structure,(+); (+); (+); (+),organize; disorganize; picture; type; entity; number; unique; shape; color,picture (chart_type); entity (data_element); entity (quantity_reference); number (quantity_reference); shape (mark); shape (perceptual_element); color (perceptual_element),unique (familiarity),shape (evaluative),"organize (rare, 1 image); disorganize (rare, 1 image); type (rare, 4 images)",picture; type; number; unique; shape; color,picture; type; entity; number; shape; color,organize; disorganize,NOUN; NOUN; NOUN; ADJ; NOUN; NOUN,visualization (whole); data (content); label (text); shape (mark); color (property),Color Palette & Contrast; Visual Disorganization,,,disorganised_layout (visualization); multiple_entity_types (data); numbers_on_entities (label); multiple_unique_shapes (shape); multiple_unique_colors (color),data --encoded_with--> shape; data --encoded_with--> color; data --contributes_to_clutter_in--> visualization
,,VASTJ.828.7.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/VASTJ.828.7.png,Area,,,0.47,,more graphic; no or few data; not a lot of contrast,"Data Density / Image Clutter; Color, Symbol, and Texture Details",,no or few data; not a lot of contrast,little data/info; lack of color contrast / hard to distinguish colors,(+); (+),datum; lot; contrast,a lot (quantity_reference); datum (data_element); lot (quantity_reference); contrast (perceptual_element),a lot (quantity_descriptor); lot (quantity_descriptor),contrast (structural),,datum; lot; contrast,datum; lot; contrast,,NOUN; NOUN; NOUN,visualization (whole); data (content); color (property),Information Volume; Color Palette & Contrast,,,few_or_no_data_points (data); low_color_contrast (color),data --contributes_to_ambiguity_in--> visualization; color --reduces_distinguishability_in--> visualization
,,VASTJ.320.11.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/VASTJ.320.11.png,Area,,,0.47,,#NAME?,Semantics / Text Legibility,,Almost no explanation; No axis; No graphic legend,almost no explanation; lack of/not enough axis labels/legend/annotations/context; no measurement/metric,(+); (+); (+),explanation; axis; graphic; legend,explanation (annotation); axis (chart_component); graphic (chart_type); graphic (quantity_reference); legend (chart_component),graphic (aesthetics),legend (evaluative),,explanation; axis; graphic; legend,explanation; axis; legend,,NOUN; NOUN; ADJ; NOUN,visualization (whole); axes (furniture); legend (furniture); annotation (text),Annotations & Labels,,,axis_absent (axes); graphic_legend_missing (legend); almost_no_explanation (annotation),axes --absent_from--> visualization; legend --absent_from--> visualization; annotation --insufficient_context_for--> visualization
,,whoB03_1.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/whoB03_1.png,Bar,,,0.47,,the other figure which is easily interpretable,Immediacy / Cognitive Load,,easily interpretable,easier to interpret/read/understand,(-),easily; interpretable,,easily (readability),,"interpretable (rare, 1 image)",easily; interpret,,,ADV; ADJ,visualization (whole),Interpretive Difficulty,,,easily_interpretable (visualization),
,,SciVisJ.796.5(1).png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/SciVisJ.796.5(1).png,Cont.-ColorPatn,,,0.47,lack of information to derive meaning.,No measurements; Not sure what the pattern is and what color stands for,"Semantics / Text Legibility; Schema; Color, Symbol, and Texture Details",,No measurements; not sure what color stands for; unsure pattern,no measurement/metric/axis; unfamiliar concepts/patterns; unclear color meaning,(+); (+); (+),measurement; sure; color; stand; unsure; pattern,measurement (data_element); color (perceptual_element); pattern (layout_component); pattern (quantity_reference),,,"sure (in vocab, excluded); stand (rare, 1 image); unsure (unclustered)",measure; sure; color; stand; unsure; pattern,measurement; color; unsure; pattern,stand,NOUN; ADJ; NOUN; VERB; NOUN; NOUN,visualization (whole); color (property); pattern (structure); number (content),Annotations & Labels; Domain Familiarity; Color Palette & Contrast,,,no_measurements_present (number); color_meaning_unclear (color); pattern_interpretation_uncertain (pattern),color --lacks_legend_for--> visualization; number --absent_from--> visualization
,,InfoVisJ.1073.3.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/InfoVisJ.1073.3.png,Grid,,,0.47,,The picture on the right just made me confused looking at it. I assume it's something in biology but not sure what.,Schema; Immediacy / Cognitive Load,,something in biology; made me confused,"domain-specific concepts (e.g., chemical, biology, map); unclear meaning/confusing",(+); (+),biology; confuse,,,confuse (cognitive),biology (unclustered),biology; confuse,biology,confuse,NOUN; VERB,visualization (whole); domain (content),Domain Familiarity; Semantic Clarity,,,domain_specific_biology (domain); causes_viewer_confusion (visualization),
,,InfoVisJ.1247.10.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/InfoVisJ.1247.10.png,Line,,,0.47,,"1) It's difficult to understand this diagram compared to the right because Sw & SL are crossing each other; image that is more visually complex contains more elements of information in different formats including text, numbers, mathematical formulae as well as the coloured graphic chart; the plot is particularly non-complex as it is just a line graph, one of the simplest visualisation tools.","Data Density / Image Clutter; Semantics / Text Legibility; Color, Symbol, and Texture Details; Immediacy / Cognitive Load",,"crossing each other; difficult to understand diagram; more elements of information; text, numbers, mathematical formulae; colored graphic chart",more charts/points/lines/shapes/elements; overlapping shapes/colors/lines; lack of/not enough axis labels/legend/annotations/context; clear colored bars/charts; hard to interpret/read/understand,(+); (+); (+); (+); (+),cross; difficult; understand; diagram; element; information; text; number; mathematical; formulae; color; graphic; chart,element (domain_object); information (cognitive_element); text (annotation); number (quantity_reference); color (perceptual_element); graphic (chart_type); graphic (quantity_reference); chart (chart_type),difficult (readability); graphic (aesthetics),cross (spatial); understand (cognitive),"diagram (unclustered); mathematical (rare, 1 image); formulae (rare, 1 image)",cross; difficult; understand; diagram; element; information; text; number; mathematical; formula; color; graphic; chart,diagram; element; information; text; number; formulae; chart,cross; understand; color,VERB; ADJ; VERB; NOUN; NOUN; NOUN; NOUN; NOUN; ADJ; NOUN; VERB; ADJ; NOUN,visualization (whole); line (mark); label (text); annotation (text); color (property),Element Quantity; Visual Clutter & Overlap; Annotations & Labels; Color Palette & Contrast; Interpretive Difficulty,,,difficult_to_understand (visualization); high_information_density (visualization); lines_crossing_each_other (line); text_and_numbers_present (label); mathematical_formulae_present (annotation); colored_graphic_chart (color),line --increases_clutter_in--> visualization; label --adds_information_elements_to--> visualization; color --encodes_data_within--> visualization
,,InfoVisJ.953.10.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/InfoVisJ.953.10.png,Text,,,0.47,semantic meaning,"I chose the second picture because the names of the countries were familiar and easier to process; the first image with the The ""random"" names that don't make sense to me! the first picture I don't know what the colors red and green are supposed to indicate.; How clear the chart was","Schema; Color, Symbol, and Texture Details; Immediacy / Cognitive Load",,indications; names of the countriesr; two colors; easier to process,"indication; domain-specific concepts (e.g., chemical, biology, map); two colors; easier to process/visualize",(-); (-); (-); (-),indication; name; countriesr; color; easy; process,name (annotation); name (quantity_reference); color (perceptual_element); process (quantity_reference),easy (readability),name (semantic),"indication (unclustered); countriesr (rare, 1 image)",indicate; name; countriesr; color; easy; process,indication; name; countriesr; color,process,NOUN; NOUN; NOUN; NOUN; ADJ; VERB,visualization (whole); label (text); color (property); symbol (mark),Semantic Clarity; Domain Familiarity; Color Palette & Contrast; Interpretive Difficulty,,,country_names_labeled (label); only_two_colors_used (color); clear_indications_present (symbol); easier_to_process (visualization),
,,InfoVisJ.691.6(3).png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/InfoVisJ.691.6(3).png,Text,,,0.47,,"The colour of the images, the right one is more simplistic. There are none (pictures) on the right.",Data Density / Image Clutter; Visual Encoding Clarity,,none; simplistic,little data/info; simple visual elements,(-); (-),simplistic,,simplistic (complexity),,,simplistic,,,ADJ,visualization (whole),Information Volume; Graphical Forms & Primitives,,,no_complex_elements (visualization); simplistic_design (visualization),visualization --requires_minimal--> visualization
,,VASTJ.1763.8(2).png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/VASTJ.1763.8(2).png,Text,,,0.47,,The left picture utilizes a more uniform design. The left picture features only two main colors. The left picture applies one font only.,"Semantics / Text Legibility; Schema; Color, Symbol, and Texture Details",,only two main colors; one font only; more uniform design,more uniform design; single font; two colors,(-); (-); (-),main; color; font; uniform; design,color (perceptual_element); font (annotation); design (quantity_reference),,,"main (rare, 1 image); uniform (unclustered)",main; color; font; uniform; design,color; font; design,,ADJ; NOUN; NOUN; ADJ; NOUN,visualization (whole); color (property); font_style (property),Dimensionality & Structure; Typography & Readability; Color Palette & Contrast,,,only_two_main_colors (color); single_font_used (font_style); uniform_visual_design (visualization),color --contributes_to--> visualization; font_style --reinforces--> visualization
,,wsj28.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/wsj28.png,Bar,,,0.48,,Lots of writing; Prominent colors,"Semantics / Text Legibility; Color, Symbol, and Texture Details",,Lots of writing; Prominent colors,amount of words/context/numbers; salient colors,(+); (+),lot; write; prominent; color,lot (quantity_reference); color (perceptual_element),lot (quantity_descriptor),write (evaluative),"prominent (rare, 1 image)",lot; write; prominent; color,lot; color,write,NOUN; VERB; ADJ; NOUN,label (text); color (property),Text Volume & Content; Color Palette & Contrast,,,high_volume_of_writing (label); prominent_colors_present (color),label --combined_with--> color
,,VASTJ.870.4.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/VASTJ.870.4.png,Grid,,,0.48,,Ease of understanding,Immediacy / Cognitive Load,,Ease of understanding,easy to interpret/read/understand,(+) (-),ease; understand,ease (quantity_reference),,understand (cognitive),,ease; understand,ease,understand,NOUN; VERB,visualization (whole),Interpretive Difficulty,,,difficult_to_understand (visualization),
,,visMost107.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/visMost107.png,Grid,,,0.48,,contrast,"Color, Symbol, and Texture Details",,contrast,low color contrast/separation/segmentation,(-),contrast,contrast (perceptual_element),,contrast (structural),,contrast,contrast,,NOUN,visualization (whole),Color Palette & Contrast,,,high_visual_contrast (visualization),
,,whoO03.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/whoO03.png,Line,,,0.48,,Smooth lines,Visual Encoding Clarity,,Smooth lines,smooth lines,(-),smooth; line,line (mark),,,"smooth (rare, 1 image)",smooth; line,line,,ADJ; NOUN,line (mark),Graphical Forms & Primitives,,,smooth_continuous_curves (line),
,,InfoVisC.133.5(3).png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/InfoVisC.133.5(3).png,Node-link,,,0.48,,Both of these images are a bit complex.; - element size - number of details - complexity of shapes and contrasts; The complexity of the information conveyed in the right image seems a lot more than the left image. There are several factors to understand in the right image. overlapping/intersecting lines; Volume of information; Spread of information on the image; Data interpretation; Time to evaluate context,"Data Density / Image Clutter; Visual Encoding Clarity; Color, Symbol, and Texture Details",,number of details; element size; shapes and contrasts,more detailed/things; element sizes; shapes and contrasts,(+) (-); (+) (-); (+) (-),number; detail; element; size; shape; contrast,number (quantity_reference); detail (cognitive_element); element (domain_object); size (perceptual_element); shape (mark); shape (perceptual_element); contrast (perceptual_element),,shape (evaluative); contrast (structural),,number; detail; element; size; shape; contrast,number; detail; element; size; shape; contrast,,NOUN; NOUN; NOUN; NOUN; NOUN; NOUN,visualization (whole); data (content); shape (mark),Information Volume; Graphical Forms & Primitives; Color Palette & Contrast,,,low_detail_count (visualization); large_element_size (data); varied_shapes_present (shape); high_contrast_marks (shape),data --reduces_clutter_in--> visualization
,,InfoVisJ.989.8.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/InfoVisJ.989.8.png,Point,,,0.48,,#NAME?,Semantics / Text Legibility; Immediacy / Cognitive Load,,more information labeled; more legible,more labels/context; more legible,(+); (+),information; label; legible,more information (quantity_reference); information (cognitive_element); label (chart_component),more information (information_quality),label (semantic),"legible (rare, 1 image)",information; label; legible,information,label,NOUN; VERB; ADJ,label (text),Annotations & Labels; Interpretive Difficulty,,,more_information_labeled (label); more_legible (label),label --increases_data_density--> label
,,InfoVisJ.1161.5.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/InfoVisJ.1161.5.png,Point,,,0.48,,The opposite one is just a collection of 3 different dots,"Color, Symbol, and Texture Details",,collection of 3 dots,unclear colormaps,(-),collection; dot,collection (domain_object); collection (quantity_reference); dot (mark),,,,collection; dot,collection; dot,,NOUN; NOUN,point (mark),Color Palette & Contrast,,,small_collection_three_dots (point),
