Immediacy / Cognitive Load_sentiment,Immediacy / Cognitive Load_count,Immediacy / Cognitive Load,Immediacy / Cognitive Load (AIcurated),Immediacy / Cognitive Load (HumanCuration),Data Density / Image Clutter_sentiment,Data Density / Image Clutter_count,Data Density / Image Clutter,Data Density / Image Clutter (AIcurated),Data Density / Image Clutter (HumanCuration),Visual Encoding Clarity_sentiment,Visual Encoding Clarity_count,Visual Encoding Clarity,Visual Encoding Clarity (AIcurated),Visual Encoding Clarity (HumanCuration),Semantics / Text Legibility_sentiment,Semantics / Text Legibility_count,Semantics / Text Legibility,Semantics / Text Legibility (AIcurated),Semantics / Text Legibility (HumanCuration),Schema_sentiment,Schema_count,Schema,Schema (AIcurated),Schema (HumanCuration),"Color, Symbol, and Texture Details_sentiment","Color, Symbol, and Texture Details_count","Color, Symbol, and Texture Details","Color, Symbol, and Texture Details (AIcurated)","Color, Symbol, and Texture Details (HumanCuration)",Aesthetics Uncertainty_sentiment,Aesthetics Uncertainty_count,Aesthetics Uncertainty,Aesthetics Uncertainty (AIcurated),Aesthetics Uncertainty (HumanCuration)
(-),1,data are easier to see,easier to see,easier to see/tell/visualize,(+),1,a lot of details,more details,more detailed/things,(+),1,preciseness of various aspects,precision of aspects,precision of aspect,(+),1,"labels, titles, and annotations",labels,title/axis/label/descriptions,(-),1,about earthquake,earthquake-related,"domain-specific concepts (e.g., chemical, biology, map)",(+),1,hard to distinguish the colors,hard to distinguish colors,lack of color contrast / hard to distinguish colors,,,,,
(+),1,requires concentration,requires concentration,attention/squinting to understand,(+),1,a lot of different bits of data interacting,multiple interacting elements,multiple interacting elements,(+),1,Various lines representing different quantities,lines represent different quantities,line quantity representation,(+),1,legend adds complexity,legend adds complexity,too much legend,(-),1,traditional ways of reporting statistics,familiar representation,familiar representation,(+),1,lack of color diversity,lack of color diversity,color variety/arrangement/distribution,,,,,
(-),1,much easier,much easier,easier to interpret/read/understand,(+),1,a lot of different species,more elements,more charts/points/lines/shapes/elements,(+),1,circles of varying size,various circle sizes,shape size variation,(+),1,y-axis is non-linear,nonlinear y-axis,nonlinear measurement/metric/axis,(+),1,a process,process,a specific technique,(+),1,light and dark,color contrast / contrast level,low color contrast/separation/segmentation,,,,,
(-),1,not difficult to see at all,easier to see,easier to see/tell/visualize,(-),1,clear image,organized,organized/structured,(+),1,4 different center points,points of interest,shape point of interest,(+),1,Unclear of relations between words,unclear relations between words,unclear relation between words,(+),1,abstract,abstract,abstract shapes or colors,(+),1,lots of colors close together,colors close together,color variety/arrangement/distribution,,,,,
(+),1,a bit harder to understand,more difficult to understand,more difficult to interpret/read/understand/differentiate,(+),1,a lot of fine detail,fine details,fine/layered details,(+),1,information depicted more granularly,information nuance expressed,information nuance expressed,(+),1,Words are not oriented the same,words misoriented,word misoriented,(+),1,all new to me,unfamiliar design/domain uses,unfamiliar concepts/patterns,(-),1,only has black,black,black color,,,,,
(-),1,at a glance,understand at a glance,easy to interpret/read/understand,(+),1,a lot of info,more information,much/more data/info/info spread,(+),1,position,point position,shape position,(+),1,all the text,all the text,amount of words/context/numbers,(+),1,not common sense,unfamiliar design/domain uses,unfamiliar concepts/patterns,(+),1,many colors,many colors,color variety/arrangement/distribution,,,,,
(-),1,easy to decipher,easy to decipher,easy to interpret/read/understand,(-),1,a few lines,few lines,few points/lines/shapes/elements,(-),1,alphabetical ordered,ordered,ordered,(+),1,different labels,different labels,different labels,(+),1,bar graphs,bar graph,"a specific technique, e.g., bar, pie, circle",(+),1,mix of color,mixed colors,color variety/arrangement/distribution,,,,,
(+),1,Not understandable at all,not understandable,not interpretable/readable/understandable,(+),1,more groups,more groups,more detailed/things,,1,set of geometry,shapes,shapes,(+),1,hierarchical text,hierarchical text,hierarchical text,(+),1,data in  different format,different data format,unfamiliar concepts/patterns,(+),1,multicolored,multiple colors,color variety/arrangement/distribution,,,,,
(+),1,nothing is clear,unclear differences,hard to interpret/read/understand,(+),1,multipe areas of interests,multiple areas,multiple features/elements/graphs,(+),1,different shapes of data points,different shapes and sizes,shape size variation,(+),1,large amount of textual data,more text,more texts/words,(+),1,did not know the countries highlighted,unknown highlighted countries,unfamiliar concepts/patterns,(+),1,no color guide,unclear color meaning,unclear color meaning,,,,,
(-),1,look easier to understand,easier to understand,easier to interpret/read/understand,(+),1,A lot of lines,more lines,more charts/points/lines/shapes/elements,(-),1,ordered,ordered,ordered,(+),1,many small writings,many small writings,title/axis/label/descriptions,(+),1,not familiar with the world map,unfamiliar design/domain uses,unfamiliar concepts/patterns,(+),1,No colors,no colors,no color,,,,,
(+),1,took a long time to understand,take longer to understand,take longer to interpret,(+),1,a lot of little boxes,more shapes,more charts/points/lines/shapes/elements,(+),1,less organization of elements,less organization,less organized elements,(+),1,less writing,less text,little/less text/numbers/context,(+),1,does not sound familiar,unfamiliar design/domain uses,unfamiliar concepts/patterns,(+),1,no easy distinction between colors,hard to distinguish colors,hard to distinguish colors,,,,,
(-),1,logical to read,straightforward,intuitive,(+),1,a lot of pictures and words,more elements,more charts/points/lines/shapes/elements,(+),1,size,size,size,(+),1,Bigger key,legend,too much legend,(-),1,familiarity,familiar representation,familiar representation,(+),1,not a lot of color,not much color,inadequate/few coloring,,,,,
(+),1,I don't know what is being represented,don't know meaning,unclear meaning/confusing,(+),1,A lot of shapes,more shapes,more charts/points/lines/shapes/elements,(+),1,vary in length,length variation,length variation,(+),1,The font,font,font,(-),1,ranking things,ranking,a specific technique,(+),1,not enough color.,inadequate coloring,inadequate/few coloring,,,,,
(+),1,wasn't intuitive,not intuitive,not intuitive/simple data,(+),1,a lot of shapes,more shapes,more charts/points/lines/shapes/elements,(+),1,Image size,image size,image size,(+),1,the arrangement of the text,text arrangement,clear text arrangement/density,(+),1,full map,map,"domain-specific concepts (e.g., chemical, biology, map)",(+),1,Pixeled picture,pixeled picture,pixeled picture,,,,,
(+),1,more to understand,take longer to understand,take longer to interpret,(-),1,few data,very little data,little data/info,(+),1,bars extending horizontally,horizontal bars,horizontal bars,(+),1,lots of text,lots of text,amount of words/context/numbers,(-),1,grid of squares,grid,a specific technique,(+),1,segmentation of colors,color segmentation,color variety/arrangement/distribution,,,,,
(+),1,Graphs take some time to understand,take longer to understand,hard to interpret/read/understand/differentiate,(-),1,just a few lines,few lines,few points/lines/shapes/elements,(-),1,straightforward at showing where things are.,clear path,clear indication,(+),1,inscription with details,detailed inscription,detailed inscription,(+),1,I don't register what is supposed to be,don't register what it is,unfamiliar concepts/patterns,(+),1,variety of bright colors,bright color variety,bright colors,,,,,
(-),1,less complex to me,less complex,easy to derive meaning,(+),1,a lot of terms,more information,much/more data/info/info spread,(-),1,clear connection,clear connection,clear connection,(+),1,a lot of word,a lot of words,amount of words/context/numbers,(+),1,images about black holes,black hole images,"domain-specific concepts (e.g., chemical, biology, map)",(+),1,separating value by colors,values encoded by color,separate values by color to show differences,,,,,
(-),1,simplicity,simple to understand,simple to interpret/read/understand,(+),1,many more different visual components,multiple components,multiple features/elements/graphs,(-),1,nodes,nodes,nodes,(+),1,ambiguous numbers,ambiguous numbers,ambiguous numbers,(+),1,kid drawing,kid drawing,a specific domain,(+),1,similar looking colors,similar colors,lack of color contrast / hard to distinguish colors,,,,,
(+),1,low readability,low readability,low readability,(+),1,a mess,messy,messy/mixed up/noisy/intermingled elements,(+),1,variety of shapes,variety of shapes,shape variety,(+),1,names,names,more title/axis/label,(+),1,Less visually familiar,unfamiliar design/domain uses,unfamiliar concepts/patterns,(+),1,symbol and shading,symbols and shading,symbols and shading,,,,,
(+),1,harder to decipher,more difficult to decipher,more difficult to interpret/read/understand/differentiate,(+),1,more types of info,more information types,much/more data/info/info spread,(-),1,more information about data,design-data relationship,design-data relationship,(+),1,no text,no text,lack of/not enough axis labels/legend/annotations/context,(+),1,more like a picture,picture,a specific technique,(+),1,To many colors,too many colors,too many colors,,,,,
(+),1,how hard it was to quickly understand,more difficult to understand,more difficult to interpret/read/understand/differentiate,(+),1,a multitude of observations,more data points,more charts/points/lines/shapes/elements,(+),1,isolated squares,squares scattered,"scattered shapes (e.g., dots, squares, pictures)",(+),1,x and y axes,multiple axes,more title/axis/label,(+),1,nature of this info,information nature,a specific domain,(+),1,Too many similar colors,too many similar colors,lack of color contrast / hard to distinguish colors,,,,,
(+),1,complicated at first glance,complicated,complicated to process,(+),1,A plethora of datapoints,more data points,more charts/points/lines/shapes/elements,(+),1,More nuances,more nuance information,more nuance information,(+),1,more numbers,more numbers,more numbers,(+),1,no context,no context,no context or reference,(+),1,varied colors,unique/varied colors,color variety/arrangement/distribution,,,,,
(+),1,glean information instantly,understand at a glance,easy to interpret/read/understand,(+),1,Abundance of individual objects,more objects,more charts/points/lines/shapes/elements,(+),1,ranking system beyond understanding,uninterpretable ranking,uninterpretable ranking,(+),1,a legend,legend,too much legend,(+),1,no idea what Image is,no idea what image is,no context or reference,(+),1,variety and boldness of colors,bold color variety,color variety/arrangement/distribution,,,,,
(-),1,easier to take in information,easier to process,easier to process/visualize,(+),1,amount of elements higher,more elements,more charts/points/lines/shapes/elements,(-),1,Dots in more or less a line,points of increase/decrease,shape increase/decrease point,(+),1,a lot of words,a lot of words,amount of words/context/numbers,(+),1,no idea what it represents,no idea what it represents,no context or reference,(+),1,various colors and graphics,various colors,color variety/arrangement/distribution,,,,,
(+),1,challenging to distinguish,hard to distinguish,hard to compare/discern/distinguish,(+),1,amount of information,more information,much/more data/info/info spread,(+),1,bars being individual lines.,bars as individual lines,bars as individual lines,(+),1,big text and smaller text,mixed text sizes,mixed size,(+),1,non familiar layout,non-familiar layout,unfamiliar concepts/patterns,(-),1,collection of 3 dots,dots,unclear colormaps,,,,,
(+),1,difficult to focus on the image for long,hard to focus,hard to focus/follow,(+),1,disposition,disposition,disposition,(+),1,elements less ordered,less organization,less organized elements,(+),1,titles and descriptions,titles and descriptions,title/axis/label/descriptions,(+),1,not familiar with this graphic design,unfamiliar design/domain uses,unfamiliar concepts/patterns,(+),1,visual cues,visual cues,visual cues,,,,,
(+),1,require careful examination and interpretation,require careful examination,more reading/interpretation/understanding,(+),1,amount of informations,more information,much/more data/info/info spread,(+),1,"preciseness of the lines (thickness, intensity)",precision of lines,precision of lines,(+),1,Labeled axis,labeled axis,labeled axis,(-),1,histogram like figure,histogram,a specific technique,(+),1,visually more details,texture details,texture details,,,,,
(+),1,difficult to understand diagram,difficult to understand,hard to interpret/read/understand,(+),1,amount of items,more items,more charts/points/lines/shapes/elements,(+),1,each box is significantly different,different shapes and sizes,shape size variation,(+),1,more axes,more axes,more axes,(-),1,picture of pacific ocean,map,"domain-specific concepts (e.g., chemical, biology, map)",(+),1,less colors,less color,inadequate/few coloring,,,,,
(+),1,makes it harder to evaluate,more difficult to interpret,more difficult to interpret/read/understand/differentiate,(+),1,how busy the charts were,busier layout,dense/cluttered layout,(+),1,More variety in shapes,more shape variation,shape variation,(-),1,fewer axes,fewer axes,fewer axes,(+),1,not familiarized with,unfamiliar design/domain uses,unfamiliar concepts/patterns,(+),1,Color to take into account,color consideration,clear color uses,,,,,
(+),1,harder to read and discern,more difficult to read and discern,more difficult to interpret/read/understand/differentiate,(+),1,the amount of information,more information,much/more data/info/info spread,(+),1,lines not straightforward,indistinguishable/unintuitive lines,indistinguishable/unintuitive lines,(+),1,axis data,axis data,title/axis/label/descriptions,(+),1,not something similar.,unfamiliar design/domain uses,unfamiliar concepts/patterns,(+),1,a gradient,color gradient,black-to-white/color gradient,,,,,
(-),1,easier to read and discern,easier to read and discern,easier to interpret/read/understand,(+),1,amount of shapes,more shapes,more charts/points/lines/shapes/elements,(+),1,more forms,more forms,more forms,(-),1,code/text,code/text,code/text,(+),1,not sure,not sure,unfamiliar concepts/patterns,(+),1,black,black,unclear coloring,,,,,
(+),1,more complex to interpret,more difficult to interpret,more difficult to interpret/read/understand/differentiate,(+),1,assortment of bigger red boxes,more boxes,more charts/points/lines/shapes/elements,(+),1,shapes more complex,complex curve/shape,curves and shapes,(-),1,just text,text,word/text/sentence,(+),1,physical dimension,physical dimension,2D/3D,(+),1,green,green,inadequate/few coloring,,,,,
(+),1,it took longer to understand,take longer to understand,take longer to interpret,(+),1,Busier layout,busier layout,dense/cluttered layout,(+),1,line and scale,lines and scales,lines and scales,(+),1,"text, numbers, mathematical formulae",numbers and annoations,lack of/not enough axis labels/legend/annotations/context,(+),1,novel pattern,novel pattern,unfamiliar concepts/patterns,(+),1,yellow,yellow,unclear color meaning,,,,,
(+),1,needs to be understood,needs understanding,not easily understood,(+),1,More unrelated data elements,more elements,more charts/points/lines/shapes/elements,(+),1,less clear information,unclear meaning,unclear meaning,(+),1,More different labels.,more different labels,more labels/context,(-),1,familiar to me,familiar representation,familiar representation,(+),1,only one color,monochrome,monochrome,,,,,
(-),1,only one thing to visually process,reduces the effort to comprehend,easy to interpret/read/understand,(+),1,clustering of circles,clustered circles,dense/cluttered shape,(+),1,different shapes,different shapes and sizes,shape size variation,(+),1,different axes,different axes,title/axis/label/descriptions,(+),1,numbers never seen before,unseen numbers,unfamiliar concepts/patterns,(-),1,Few colors,few colors,inadequate/few coloring,,,,,
(+),1,longer to process,take longer to process,take longer to interpret,(+),1,clustering of the circles,clustered circles,dense/cluttered shape,(+),1,dots are scattered,dots scattered,"scattered shapes (e.g., dots, squares, pictures)",(+),1,showing information in text,text and information,clear text/scale/information,(+),1,programming,programming,a specific technique,(+),1,more confusing colors,ambiguous colors,ambiguous/confusing colors,,,,,
(+),1,a lot more involved,more involved,more to read/analyze/understand,(+),1,cluter on screen,cluttered,dense/cluttered data/info,(+),1,different sizes,different sizes,element sizes,(-),1,changing fonts,different font sizes,different font/word sizes/structure,(+),1,something in biology,biology-related,"domain-specific concepts (e.g., chemical, biology, map)",(+),1,Multiple colors and lines,multiple colors,color variety/arrangement/distribution,,,,,
(+),1,more intricate,more intricate,more intricate,(+),1,Cluttered Labels and Annotations,cluttered,dense/cluttered data/info,(+),1,different volume,different sizes,element sizes,(+),1,more ink on the page,more writing,more texts/words,(+),1,stages of a process,process,a specific technique,(+),1,Contrasting patterns,contrasting patterns,low color contrast/separation/segmentation,,,,,
(+),1,mentally taxing,require hard thinking,more reading/interpretation/understanding,(+),1,Excessive Data Points,densely packed,dense points/lines/shapes/elements,(+),1,shapes were varied,shapes varied,shapes varied,(+),1,axis of parameters,axis of parameters,title/axis/label/descriptions,(+),1,unique,unique,unique,(+),1,Variation in Colors,color variation,color variety/arrangement/distribution,,,,,
(+),1,I can't describe what I can't see,hard to describe,hard to describe,(+),1,excessively crowded or overlapping,densely packed,dense points/lines/shapes/elements,(+),1,significant difference in scale,scale difference,scale difference,(+),1,more links,more writing,more texts/words,(+),1,Wavelet Coefficients,unfamiliar design/domain uses,"domain-specific concepts (e.g., chemical, biology, map)",(+),1,color superposition,color superposition,color superposition/layer,,,,,
(+),1,Virtually impossible to decipher to layman,not easily decipherable,hard to interpret/read/understand/differentiate,(+),1,cluttered,cluttered,dense/cluttered data/info,(+),1,size of circles,circle size,shape size,(+),1,written information,written information,context/text/description,(+),1,grid,grid,a specific technique,(+),1,same color,same color,same colors,,,,,
(+),1,vast interpretations,multiple interpretations,multiple interpretation,(-),1,not as cluttered,organized,organized/structured,(+),1,unique data point,unique data point,unique data point,(+),1,four axes,four axes,title/axis/label/descriptions,(-),1,chart showing frequency of words,chart,"a specific technique, e.g., bar, pie, circle",(+),1,similarity of the colors,color similarity,good color contrast/separation/segmentation,,,,,
(+),1,difficult to model,hard to model,hard to measure/model,(+),1,Cluttered,cluttered,dense/cluttered data/info,(+),1,Different size of circles,various circle sizes,shape size variation,(+),1,large key,large key,-,(-),1,computer screen,unfamiliar design/domain uses,familiar representation,(+),1,blue squares,blue square,blue color,,,,,
(+),1,hard to discern,hard to discern,hard to compare/discern/distinguish,(+),1,contains more information,more information,much/more data/info/info spread,(+),1,where every line goes,indistinguishable/unintuitive lines,indistinguishable/unintuitive lines,(+),1,words/sentences,words and sentences,word/text/sentence,(-),1,Forbes companies,companies,"domain-specific concepts (e.g., chemical, biology, map)",(+),1,Poor Color Choices,poor color choice,color variety/arrangement/distribution,,,,,
(-),1,holisitic understanding or comprehension more available,easy to understand,easy to interpret/read/understand,(+),1,conveying more data,more information,much/more data/info/info spread,(+),1,no apparent directional flow for the arrows,unclear movement,unclear movement,(-),1,sizes of words,word sizes,word rotation/small font size,(-),1,sports team,sports-related,"domain-specific concepts (e.g., chemical, biology, map)",(+),1,poorly contrasting colors,poor color choice,color variety/arrangement/distribution,,,,,
(+),1,too much to remember,too much to remember,unable to remember,(+),1,crossing and overlapping of the lines,overlapping,overlapping shapes/colors/lines,(+),1,unclear filled bars,unclear filled bars,unclear filled bars,(+),1,confusing to read,confusing to read,text hard to read,(-),1,a continent with countries,map,"domain-specific concepts (e.g., chemical, biology, map)",(+),1,varied and vibrant color,color variation,color variety/arrangement/distribution,,,,,
(+),1,take longer to decode,take longer to decode,take longer to interpret,(+),1,multitude of paths or routes between different points,many intersections,overlapping shapes/colors/lines,(+),1,curve seems complex,complex curve/shape,curves and shapes,(-),1,frame with values,frame with values,frame with values,(+),1,unsure pattern,unsure pattern,unfamiliar concepts/patterns,(+),1,contrast of colors,color contrast / contrast level,low color contrast/separation/segmentation,,,,,
(-),1,you can easily understand it,easy to understand,easy to interpret/read/understand,(+),1,crossing each other,overlapping,overlapping shapes/colors/lines,(+),1,stimulus less visible/discernible,stimulus less visible,stimulus less visible,(-),1,scale,scale,clear text/scale/information,(-),1,chart with labels,chart,"a specific technique, e.g., bar, pie, circle",(+),1,many different colors,many/more colors,color variety/arrangement/distribution,,,,,
(-),1,illogical,not intuitive,not intuitive/simple data,(+),1,Data is overlapping,overlapping,overlapping shapes/colors/lines,(-),1,clear shape,clear shape,clear colors/shapes,(+),1,explanation text,explanation text,explanation text,(-),1,names of the countriesr,countries,"domain-specific concepts (e.g., chemical, biology, map)",(-),1,only has two colors,two colors,two colors,,,,,
(+),1,tough job to identify,hard to identify,hard to identify/extract/find features,(+),1,data points are closer,denser points,dense points/lines/shapes/elements,(-),1,more in order,ordered,ordered,(+),1,"labels, titles, and annotations are excessively crowded or overlapping",unclear writing,unclear relation between words,(-),1,country related,countries,"domain-specific concepts (e.g., chemical, biology, map)",(+),1,single-color scheme,color scheme,color scale/scheme,,,,,
(-),1,easier to read and comprehend,easier to understand,easier to interpret/read/understand,(+),1,dense clutter of elements,cluttered,dense/cluttered data/info,(+),1,spatial organization,spatial organization,spatial organization,(+),1,different sizes of font,different font sizes,different font/word sizes/structure,(+),1,Image of Earth with lines,image of Earth,a specific domain,(+),1,Vast use of colorization,overly colorful,amount of / too many colors,,,,,
(+),1,It is harder to read,more difficult to read,more difficult to interpret/read/understand/differentiate,(+),1,dense data set,dense dataset,dense/cluttered data/info,(+),1,information presenting,infomration representation,infomration representation,(+),1,lot of words and letters,more words,more texts/words,(+),1,heat graph,heat map,a specific technique,(+),1,red colors,red colors,unclear colormaps,,,,,
(+),1,less clear at a glance,less clear,less clear,(+),1,many points,many points,more charts/points/lines/shapes/elements,(-),1,only has dots,dots,shapes and lines,(+),1,small text,small text,word rotation/small font size,(+),1,map graph,map,"domain-specific concepts (e.g., chemical, biology, map)",(+),1,all very different,very different colors,very different colors,,,,,
(+),1,longer to understand and go through,take longer to understand,take longer to interpret,(+),1,Densely packed information,densely packed,dense points/lines/shapes/elements,(-),1,Smooth lines,smooth lines,smooth lines,(+),1,wording on chart,text,text,(-),1,weather map,weather map,"domain-specific concepts (e.g., chemical, biology, map)",(+),1,a key with color coding,color key,color keys,,,,,
(+),1,require specialized education to understand.,require specialized knowledge,require specialized knowledge,(+),1,densely packed shapes,densely packed shapes,dense points/lines/shapes/elements,(+),1,No clear visual cut off points,no clear indication,no clear indication,(+),1,Random letters,random meaningless names,lack of/not enough axis labels/legend/annotations/context,(+),1,No regularity in design. (empty spaces for example).,no pattern,unfamiliar concepts/patterns,(-),1,different shades,color shade variation,color shading,,,,,
(+),1,need focus to understand,difficult to understand,hard to interpret/read/understand,(+),1,overlap of circle areas,overlapping circle areas,overlapping shapes/colors/lines,(-),1,random places,random-like movement,random-like movement,(+),1,"confusing numbers, letters",confusing numbers/letters,text hard to read,(+),1,chemicals,chemicals,"domain-specific concepts (e.g., chemical, biology, map)",(+),1,black changes into white,black-to-white gradient,black-to-white/color gradient,,,,,
(-),1,easy to evaluate,easy to interpret,easy to interpret/read/understand,(+),1,details are finer and more intricate,fine details,fine/layered details,(+),1,2 lines to describe differences,lines,shapes and lines,(+),1,too many letters,too many letters,title/axis/label/descriptions,(-),1,state graph,graph,a specific technique,(+),1,more variety of colors,color variety,color variety/arrangement/distribution,,,,,
(+),1,couldnt`see the content,cannot see content,not interpretable/readable/understandable,(+),1,dots are everywhere,many dots,more charts/points/lines/shapes/elements,(+),1,more variability,more shape variation,shape variation,(+),1,lack of describing information,no explanation of data,lack of legend,(-),1,worked with before,familiar representation,familiar representation,(-),1,softer,soft colors,soft/layered/overlapping colors,,,,,
(+),1,less straightforward,less straightforward,less intuitive,(+),1,seems cluttered,cluttered,dense/cluttered data/info,(+),1,3 aspects,multiple aspects,multiple aspects,(+),1,small fonts,small font,word rotation/small font size,(+),1,animal shapes,animal shapes,"domain-specific concepts (e.g., chemical, biology, map)",(+),1,weird color palette,unclear color meaning,unclear color meaning,,,,,
(+),1,take a lot more time to understand,take longer to understand,take longer to interpret,(+),1,spread around,spread around,much/more data/info/info spread,(+),1,3 Dimensional elements,3D,2D/3D,(+),1,small font in the description,small font,word rotation/small font size,(+),1,like a water fall,looks like waterfall,waterfall-like,(-),1,no more than three colors,limited color range,inadequate/few coloring,,,,,
(+),1,not easily decipherable,not easily decipherable,hard to interpret/read/understand/differentiate,(+),1,"everyone line is ""stacked"" on another",stacked lines,overlapping shapes/colors/lines,(+),1,abstract shapes,unclear shape meaning,abstract shapes or colors,(+),1,lots of numbers,lots of numbers,amount of words/context/numbers,(+),1,Jerusalem,city,"domain-specific concepts (e.g., chemical, biology, map)",(+),1,colors strongly contrasting,strong color contrast,distinguishable/full/highly contrast color uses,,,,,
(+),1,images difficult to make sense of,hard to interpret,hard to interpret/read/understand/differentiate,(+),1,extra arrows and information,densely packed,dense points/lines/shapes/elements,(-),1,2D,2D,2D/3D,(+),1,4 axes,multiple axes,more title/axis/label,(-),1,Graphs,graphs,a specific technique,(+),1,more unique colors,unique/varied colors,color variety/arrangement/distribution,,,,,
(-),1,its easier,easier to understand,easier to interpret/read/understand,(+),1,four separate visual items,multiple components,multiple features/elements/graphs,(+),1,all dots were related,dots are related,understand/read shapes,(+),1,titles,titles,title/axis/label/descriptions,(+),1,unfamiliar with terms,unfamiliar design/domain uses,unfamiliar concepts/patterns,(+),1,colored graphic chart,colored chart,clear colored bars/charts,,,,,
(-),1,cohesive whole,straightforward,intuitive,(+),1,far more noise,noisy,messy/mixed up/noisy/intermingled elements,(+),1,arrangement of shapes,shape arrangement,shape arrangement,(-),1,lines of text,lines of text,title/axis/label/descriptions,(-),1,some kind of pattern,pattern,familiar representation,(-),1,a limited color range,limited color range,inadequate/few coloring,,,,,
(-),1,easier to process/compare/interpret,easier to process,easier to process/visualize,(+),1,fine detail,fine detail,fine/layered details,(+),1,arrows pointing in different directions,arrow directions,different movement,(-),1,picture of numbers,numbers,amount of words/context/numbers,(+),1,no discernible patterns,unknown patterns,unfamiliar concepts/patterns,(+),1,color intensity.,color intensity,color intensity,,,,,
(+),1,harder to discern information,more difficult to discern,more difficult to compare/discern/distinguish,(+),1,graphs jumbled up,jumbled graphs,messy/mixed up/noisy/intermingled elements,(+),1,Can see line movement,see line movement,line movement,(-),1,nice and readable,readable text,readability,(-),1,follows a discernible pattern,pattern,familiar representation,(+),1,level of contrast.,color contrast / contrast level,low color contrast/separation/segmentation,,,,,
(+),1,harder to see,more difficult to see,more difficult to interpret/read/understand/differentiate,(+),1,stuff all over the place,stuff everywhere,too many details/divisions,(+),1,circle,circle,shapes and lines,(-),1,labels are clear and easy to read,clear labels,clear title/axis/label,(+),1,what it resembles,what it resembles,unfamiliar concepts/patterns,(+),1,the shading,the shading,color shading,,,,,
(+),1,hard to make out what it means,hard to interpret,hard to interpret/read/understand/differentiate,(+),1,hard to discern individual items.,more elements,more charts/points/lines/shapes/elements,(+),1,circles of various sizes,various circle sizes,shape size variation,(-),1,title and purpose of the visualization is clearer,clearer title,clear title/axis/label,(+),1,do not know the context,no context,no context or reference,(+),1,colors dont carry any meaning,colors lack meaning,unclear meaning/confusing,,,,,
(-),1,easier to figure out,easier to interpret,easier to interpret/read/understand,(+),1,tough to see where one point ends and another begins.,overlapping lines,overlapping shapes/colors/lines,(+),1,visual elements relatively simple,simple visual elements,simple visual elements,(-),1,title and purpose is clearer,clearer title,clear title/axis/label,(+),1,graph,graph,a specific technique,(+),1,white space,white background,white/black background / other background,,,,,
(+),1,Harder to understand hierarchy,more difficult to understand,more difficult to interpret/read/understand/differentiate,(+),1,have more data,more data,much/more data/info/info spread,(+),1,complex shapes,complex curve/shape,curves and shapes,(-),1,context,context,context,(-),1,maps,map,"domain-specific concepts (e.g., chemical, biology, map)",(+),1,variations of shade,color variation,color variety/arrangement/distribution,,,,,
(+),1,little more time to understand,take longer to understand,take longer to interpret,(+),1,high amount of data,more data,much/more data/info/info spread,(+),1,field information,field information,field information,(-),1,words that I recognize,recognizable words,recognizable objects,(+),1,longitudinal graph,graph,a specific technique,(+),1,more pixels,more pixels,more pixels,,,,,
(-),1,fairly easy to read,easy to read,easy to interpret/read/understand,(+),1,intersections in the Circle,circle intersections,overlapping shapes/colors/lines,(-),1,number of points/shapes,number of levels,number of levels,(-),1,words and number,words and numbers,words and numbers,(-),1,heat map,heat map,a specific technique,(+),1,Color coded for separating facts,color coding,unclear colormaps,,,,,
(+),1,need more time to understand,take longer to understand,take longer to interpret,(+),1,high information density,information density,dense/cluttered data/info,(+),1,connection to surroundingsfeels confusing,confusing connection,confusing connection,(-),1,captions,captions,captions,(-),1,map of Africa,map,"domain-specific concepts (e.g., chemical, biology, map)",(+),1,more unique contrasts,more contrast,more contrast,,,,,
(+),1,"longer time to read, process and understand",take longer to understand,take longer to interpret,(+),1,large amount of textual data,more information,much/more data/info/info spread,(+),1,"connections feel arbitrary, irregular",confusing connection,confusing connection,(-),1,necessary context,context,context,(-),1,recognized the map,recognizable objects/map,"domain-specific concepts (e.g., chemical, biology, map)",(+),1,less color,less color,inadequate/few coloring,,,,,
(+),1,difficult to identify differences in information,hard to identify differences,hard to compare/discern/distinguish,(+),1,image is too tiny,too cramped,dense/cluttered layout,(+),1,cross at the bottom,shapes,shapes,(+),1,a lot of stuff writting,a lot of writing,amount of words/context/numbers,(+),1,geo-map,geo map,"domain-specific concepts (e.g., chemical, biology, map)",(+),1,color more layered,layered color,color superposition/layer,,,,,
(+),1,more data to comprehend,more data to comprehend,hard to interpret/read/understand,(+),1,image layout,busier layout,dense/cluttered layout,(+),1,undefinable criteria,unclear meaning,unclear meaning,(+),1,a lot of text,a lot of text,amount of words/context/numbers,(-),1,common knowledge,familiar representation,familiar representation,(+),1,range of colors,range of colors,good color contrast/separation/segmentation,,,,,
(+),1,hard to make sense,hard to interpret,hard to interpret/read/understand/differentiate,(+),1,Immense amount of detail,more details,more detailed/things,(+),1,curved lines,curved lines,curved lines,(+),1,Almost no explanation,almost no explanation,almost no explanation,(+),1,charted map,map,"domain-specific concepts (e.g., chemical, biology, map)",(+),1,red is a harsh color,harsh color,color variety/arrangement/distribution,,,,,
