topic,phrase,sentiment,num_images,Area,Bar,Cont.-ColorPatn,Glyph,Grid,Line,Node-link,Point,Text
Visual Encoding Clarity,less organic shapes,(+),1,0,0,0,0,1,0,0,0,0
Visual Encoding Clarity,less organized elements,(+),3,0,0,0,1,0,0,1,0,1
Visual Encoding Clarity,less uniform shapes,(+),1,0,0,1,0,0,0,0,0,0
Visual Encoding Clarity,line movement,(+),1,0,0,0,0,0,1,0,0,0
Visual Encoding Clarity,line quantity representation,(+),1,0,0,0,0,0,1,0,0,0
Visual Encoding Clarity,line thickness variation,(+),1,0,0,0,0,1,0,0,0,0
Visual Encoding Clarity,lines,(+),12,0,0,0,0,0,3,5,2,2
Visual Encoding Clarity,lines and scales,(+),1,0,0,0,0,0,0,1,0,0
Visual Encoding Clarity,metric representation,(+),1,0,0,0,0,0,1,0,0,0
Visual Encoding Clarity,misaligned,(+),1,0,0,0,0,0,0,0,0,0
Visual Encoding Clarity,mismatched number-circle proportion,(+),1,1,0,0,0,0,0,0,0,0
Visual Encoding Clarity,mixed timeline,(+),1,0,1,0,0,0,0,0,0,0
Visual Encoding Clarity,more forms,(+) (-),3,3,0,0,0,0,0,0,0,0
Visual Encoding Clarity,more nuance information,(+),2,0,0,0,0,1,0,1,0,0
Visual Encoding Clarity,more squares than shapes,(+),1,0,0,0,0,1,0,0,0,0
Visual Encoding Clarity,more uniform design,(-),2,0,0,0,1,0,0,0,0,1
Visual Encoding Clarity,multi-year information,(+),1,1,0,0,0,0,0,0,0,0
Visual Encoding Clarity,multiple aspects,(+),2,0,0,0,0,1,0,0,1,0
Visual Encoding Clarity,multiple shapes,(+),1,0,0,0,1,0,0,0,0,0
Visual Encoding Clarity,multivariate,(+),1,1,0,0,0,0,0,0,0,0
Visual Encoding Clarity,network representation,(+),1,0,0,0,0,0,0,1,0,0
Visual Encoding Clarity,no clear indication,(+),5,0,0,3,0,0,0,0,0,1
Visual Encoding Clarity,no data,(+),1,0,0,0,0,1,0,0,0,0
Visual Encoding Clarity,no detail,(+),2,0,0,0,0,1,1,0,0,0
Visual Encoding Clarity,no interaction,(-),1,0,0,0,1,0,0,0,0,0
Visual Encoding Clarity,no more information,(+),1,0,0,1,0,0,0,0,0,0
Visual Encoding Clarity,no square information,(+),1,0,0,0,1,0,0,0,0,0
Visual Encoding Clarity,nodes,(-),1,0,0,0,0,0,0,1,0,0
Visual Encoding Clarity,nonlinearity,(+),2,2,0,0,0,0,0,0,0,0
Visual Encoding Clarity,nothing clear,(+),2,0,0,1,0,0,0,1,0,0
Visual Encoding Clarity,nothing visible,(+),1,0,0,0,0,1,0,0,0,0
Visual Encoding Clarity,number of levels,(+) (-),2,0,0,0,1,0,1,0,0,0
Visual Encoding Clarity,number of vertical lines,(+),1,0,0,0,0,0,0,1,0,0
Visual Encoding Clarity,numbers and shapes,(+),1,0,0,0,0,0,0,1,0,0
Visual Encoding Clarity,ordered,(-),3,0,0,1,1,0,0,0,1,0
Visual Encoding Clarity,overall shape,(+),1,0,0,0,1,0,0,0,0,0
Visual Encoding Clarity,plots,(+),1,0,0,0,0,0,1,0,0,0
Visual Encoding Clarity,precision of aspect,(+),1,0,0,0,0,0,0,0,1,0
Visual Encoding Clarity,precision of lines,(+),1,0,0,0,1,0,0,0,0,0
Visual Encoding Clarity,random-like movement,(+) (-),2,0,0,0,1,0,0,1,0,0
Visual Encoding Clarity,random-like shapes,(+) (-),3,0,0,0,0,0,0,2,0,0
Visual Encoding Clarity,regions,(+),1,1,0,0,0,0,0,0,0,0
Visual Encoding Clarity,representation,(+),2,0,0,1,0,1,0,0,0,0
Visual Encoding Clarity,scale difference,(+) (-),4,1,1,0,0,0,1,0,0,1
Visual Encoding Clarity,"scattered shapes (e.g., dots, squares, pictures)",(+),2,0,0,0,0,1,0,0,1,0
Visual Encoding Clarity,several elements,(+) (-),5,1,0,1,0,2,0,0,1,0
Visual Encoding Clarity,shape,(-),1,0,0,0,0,1,0,0,0,0
Visual Encoding Clarity,shape arrangement,(+),2,0,1,0,1,0,0,0,0,0
Visual Encoding Clarity,shape increase/decrease point,(+) (-),3,0,0,0,0,0,2,0,1,0
Visual Encoding Clarity,shape indicators,(+),1,0,0,1,0,0,0,0,0,0
Visual Encoding Clarity,shape point of interest,(+),3,1,0,0,0,0,0,2,0,0
Visual Encoding Clarity,shape position,(+) (-),3,0,0,0,0,0,0,1,1,1
Visual Encoding Clarity,shape size,(+),3,1,0,0,2,0,0,0,0,0
Visual Encoding Clarity,shape size variation,(+),8,2,0,0,0,2,1,1,2,0
Visual Encoding Clarity,shape subset representation,(+),1,0,0,0,0,0,0,0,1,0
Visual Encoding Clarity,shape variation,(+),4,1,0,0,0,0,1,0,1,0
Visual Encoding Clarity,shape variety,(+) (-),7,1,0,2,2,0,0,1,0,1
Visual Encoding Clarity,shapes,(+) (-),17,1,1,0,6,2,0,2,4,1
Visual Encoding Clarity,shapes and contrasts,(+),2,0,0,0,0,0,0,2,0,0
Visual Encoding Clarity,shapes and lines,(+) (-),24,2,2,1,4,0,3,7,3,1
Visual Encoding Clarity,shapes varied,(+),1,1,0,0,0,0,0,0,0,0
Visual Encoding Clarity,similar box sizes,(+),1,0,0,0,0,1,0,0,0,0
Visual Encoding Clarity,similar shapes,(+),1,0,0,0,0,0,0,0,0,0
Visual Encoding Clarity,simple visual elements,(+) (-),6,1,0,0,0,1,2,0,0,1
Visual Encoding Clarity,single variable,(-),1,0,0,1,0,0,0,0,0,0
Visual Encoding Clarity,size,(+),1,0,1,0,0,0,0,0,0,0
Visual Encoding Clarity,size decreasing,(-),2,2,0,0,0,0,0,0,0,0
Visual Encoding Clarity,size variation,(+) (-),2,0,0,0,1,0,1,0,0,0
Visual Encoding Clarity,small,(+),1,0,0,0,0,0,0,0,1,0
Visual Encoding Clarity,smooth lines,(-),1,0,0,0,0,0,1,0,0,0
Visual Encoding Clarity,spatial organization,(+) (-),3,2,0,0,0,0,0,0,1,0
Visual Encoding Clarity,squares,(+),1,0,0,0,1,0,0,0,0,0
Visual Encoding Clarity,stimulus less visible,(+),1,0,0,1,0,0,0,0,0,0
Visual Encoding Clarity,straight lines,(-),4,0,1,0,0,0,1,1,1,0
Visual Encoding Clarity,technical encoding,(+),2,0,0,0,0,1,0,0,1,0
Visual Encoding Clarity,unable to sort,(+),1,0,0,0,1,0,0,0,0,0
Visual Encoding Clarity,unclear filled bars,(+),1,0,0,0,0,1,0,0,0,0
Visual Encoding Clarity,unclear meaning,(+) (-),8,1,0,0,2,2,0,2,1,0
Visual Encoding Clarity,unclear movement,(+),2,0,0,0,2,0,0,0,0,0
Visual Encoding Clarity,unclear shape,(+),1,0,0,0,1,0,0,0,0,0
Visual Encoding Clarity,unclear shape meaning,(+),4,0,1,0,2,0,0,0,1,0
Visual Encoding Clarity,unclear structure,(+),2,0,0,1,0,0,0,0,1,0
Visual Encoding Clarity,unclear what data conveys,(+) (-),6,1,1,1,0,0,0,1,2,0
Visual Encoding Clarity,understand/read shapes,(+),5,1,0,1,0,0,1,1,0,1
Visual Encoding Clarity,uneven shape,(+),1,0,0,0,0,1,0,0,0,0
Visual Encoding Clarity,uninterpretable ranking,(+),1,0,0,0,1,0,0,0,0,0
Visual Encoding Clarity,unique data point,(+),1,0,0,0,0,0,0,0,1,0
Visual Encoding Clarity,unknown hidden content,(+),1,0,0,0,1,0,0,0,0,0
Visual Encoding Clarity,value and graphic alignment,(+) (-),2,1,0,0,0,1,0,0,0,0
Visual Encoding Clarity,value representation,(+),1,1,0,0,0,0,0,0,0,0
Visual Encoding Clarity,values in the middle,(+),1,0,0,0,0,1,0,0,0,0
