VisType,topic,original_phrase,image_count,humanCurated_phrase,final_subtopic_phrase
Cont.-ColorPatn,Schema,unfamiliar concepts/patterns,5,"domain-specific concepts (e.g., chemical, biology, map)","domain-specific concepts (e.g., chemical, biology, map)"
Cont.-ColorPatn,Schema,abstract shapes or colors,1,abstract shapes or colors,abstract shapes or colors
Cont.-ColorPatn,Schema,2D/3D,1,2D/3D,2D/3D
Cont.-ColorPatn,Semantics / Text Legibility,lack of/not enough axis labels/legend/annotations/context,4,labels/axes/legends,labels/axes/legends
Cont.-ColorPatn,Semantics / Text Legibility,no measurement/metric/axis,1,labels/axes/legends,labels/axes/legends
Cont.-ColorPatn,Semantics / Text Legibility,title/axis/label/descriptions,3,labels/axes/legends,labels/axes/legends
Cont.-ColorPatn,Semantics / Text Legibility,too much legend,1,labels/axes/legends,labels/axes/legends
Cont.-ColorPatn,Semantics / Text Legibility,x-axis unlabeled,1,labels/axes/legends,labels/axes/legends
Cont.-ColorPatn,Semantics / Text Legibility,context,1,"domain-specific concepts (e.g., chemical, biology, map)","domain-specific concepts (e.g., chemical, biology, map)"
Cont.-ColorPatn,Semantics / Text Legibility,more numbers,1,amount of words/context/numbers,amount of words/context/numbers
Cont.-ColorPatn,Semantics / Text Legibility,word/text/sentence,1,amount of words/context/numbers,amount of words/context/numbers
Cont.-ColorPatn,Semantics / Text Legibility,more axes,1,2D/3D,2D/3D
Cont.-ColorPatn,Visual Encoding Clarity,understand/read shapes,1,understand/read shapes,understand/read shapes
Cont.-ColorPatn,Visual Encoding Clarity,no clear indication,3,unclear meaning/confusing,unclear meaning/confusing
Cont.-ColorPatn,Visual Encoding Clarity,unclear structure,1,unclear meaning/confusing,unclear meaning/confusing
Cont.-ColorPatn,Visual Encoding Clarity,unclear what data conveys,1,unclear meaning/confusing,unclear meaning/confusing
Cont.-ColorPatn,Visual Encoding Clarity,curved lines,2,shapes and lines,shapes and lines
Cont.-ColorPatn,Visual Encoding Clarity,curves and shapes,1,shapes and lines,shapes and lines
Cont.-ColorPatn,Visual Encoding Clarity,image size,1,shapes and lines,shapes and lines
Cont.-ColorPatn,Visual Encoding Clarity,indistinguishable/unintuitive lines,1,shapes and lines,shapes and lines
Cont.-ColorPatn,Visual Encoding Clarity,less uniform shapes,1,shapes and lines,shapes and lines
Cont.-ColorPatn,Visual Encoding Clarity,shape indicators,1,shapes and lines,shapes and lines
Cont.-ColorPatn,Visual Encoding Clarity,shape variety,2,shapes and lines,shapes and lines
Cont.-ColorPatn,Visual Encoding Clarity,shapes and lines,1,shapes and lines,shapes and lines
Cont.-ColorPatn,Visual Encoding Clarity,complex design,1,overlapping shapes/colors/lines,overlapping shapes/colors/lines
Cont.-ColorPatn,Visual Encoding Clarity,no more information,1,much/little data/info,much/little data/info
Cont.-ColorPatn,Visual Encoding Clarity,single variable,1,much/little data/info,much/little data/info
Cont.-ColorPatn,Visual Encoding Clarity,nothing clear,1,easy/hard to interpret,easy/hard to interpret
Cont.-ColorPatn,Visual Encoding Clarity,field information,1,"domain-specific concepts (e.g., chemical, biology, map)","domain-specific concepts (e.g., chemical, biology, map)"
Cont.-ColorPatn,Visual Encoding Clarity,representation,1,"domain-specific concepts (e.g., chemical, biology, map)","domain-specific concepts (e.g., chemical, biology, map)"
Cont.-ColorPatn,Visual Encoding Clarity,stimulus less visible,1,distracting/confusing/unclear,distracting/confusing/unclear
Cont.-ColorPatn,Visual Encoding Clarity,exact feature,1,color variety/shading,color variety/shading
Cont.-ColorPatn,Visual Encoding Clarity,2D/3D,1,2D/3D,2D/3D
Cont.-ColorPatn,Visual Encoding Clarity,data trend,1,2D/3D,2D/3D
Cont.-ColorPatn,Visual Encoding Clarity,image portrayal,1,2D/3D,2D/3D
Cont.-ColorPatn,Visual Encoding Clarity,ordered,1,ordered,
Cont.-ColorPatn,Visual Encoding Clarity,several elements,1,several elements,
Glyph,Aesthetics Uncertainty,distracting/confusing/unclear,4,distracting/confusing/unclear,distracting/confusing/unclear
Glyph,Aesthetics Uncertainty,irregular,1,distracting/confusing/unclear,distracting/confusing/unclear
Glyph,Aesthetics Uncertainty,looks random/messy/lack structure,2,distracting/confusing/unclear,distracting/confusing/unclear
Glyph,Aesthetics Uncertainty,visual clarity/appealing,1,distracting/confusing/unclear,distracting/confusing/unclear
Glyph,"Color, Symbol, and Texture Details",visual cues,1,unclear meaning/confusing,unclear meaning/confusing
Glyph,"Color, Symbol, and Texture Details",symbols,1,symbols,symbols
Glyph,"Color, Symbol, and Texture Details",visually stimulating  texture/colors,1,symbols,symbols
Glyph,"Color, Symbol, and Texture Details",colored shape,1,shapes and lines,shapes and lines
Glyph,"Color, Symbol, and Texture Details",appealing colors,1,color variety/shading,color variety/shading
Glyph,"Color, Symbol, and Texture Details",black-to-white/color gradient,2,color variety/shading,color variety/shading
Glyph,"Color, Symbol, and Texture Details",blue color,1,color variety/shading,color variety/shading
Glyph,"Color, Symbol, and Texture Details",color intensity,1,color variety/shading,color variety/shading
Glyph,"Color, Symbol, and Texture Details",color represents groups,1,color variety/shading,color variety/shading
Glyph,"Color, Symbol, and Texture Details",color shading,1,color variety/shading,color variety/shading
Glyph,"Color, Symbol, and Texture Details",color variety/arrangement/distribution,7,color variety/shading,color variety/shading
Glyph,"Color, Symbol, and Texture Details",same colors,1,color variety/shading,color variety/shading
Glyph,"Color, Symbol, and Texture Details",ambiguous/confusing colors,1,color contrast/clarity,color contrast/clarity
Glyph,"Color, Symbol, and Texture Details",color differentiation,1,color contrast/clarity,color contrast/clarity
Glyph,"Color, Symbol, and Texture Details",good color contrast/separation/segmentation,1,color contrast/clarity,color contrast/clarity
Glyph,"Color, Symbol, and Texture Details",lack of color contrast / hard to distinguish colors,1,color contrast/clarity,color contrast/clarity
Glyph,"Color, Symbol, and Texture Details",low color contrast/separation/segmentation,1,color contrast/clarity,color contrast/clarity
Glyph,"Color, Symbol, and Texture Details",unclear color meaning,2,color contrast/clarity,color contrast/clarity
Glyph,"Color, Symbol, and Texture Details",unclear coloring,3,color contrast/clarity,color contrast/clarity
Glyph,"Color, Symbol, and Texture Details",unclear colormaps,4,color contrast/clarity,color contrast/clarity
Glyph,"Color, Symbol, and Texture Details",inadequate/few coloring,3,inadequate/few coloring,
Glyph,"Color, Symbol, and Texture Details",white/black background / other background,2,white/black background / other background,
Glyph,Data Density / Image Clutter,dense/cluttered shape,1,overlapping shapes/colors/lines,overlapping shapes/colors/lines
Glyph,Data Density / Image Clutter,messy/mixed up/noisy/intermingled elements,2,overlapping shapes/colors/lines,overlapping shapes/colors/lines
Glyph,Data Density / Image Clutter,overlapping shapes/colors/lines,1,overlapping shapes/colors/lines,overlapping shapes/colors/lines
Glyph,Data Density / Image Clutter,fine/layered details,1,much/little data/info,much/little data/info
Glyph,Data Density / Image Clutter,little data/info,2,much/little data/info,much/little data/info
Glyph,Data Density / Image Clutter,more detailed/things,5,much/little data/info,much/little data/info
Glyph,Data Density / Image Clutter,much/more data/info/info spread,2,much/little data/info,much/little data/info
Glyph,Data Density / Image Clutter,dense points/lines/shapes/elements,1,more charts/points/lines/shapes/elements,more charts/points/lines/shapes/elements
Glyph,Data Density / Image Clutter,few points/lines/shapes/elements,1,more charts/points/lines/shapes/elements,more charts/points/lines/shapes/elements
Glyph,Data Density / Image Clutter,more charts/points/lines/shapes/elements,9,more charts/points/lines/shapes/elements,more charts/points/lines/shapes/elements
Glyph,Data Density / Image Clutter,multiple features/elements/graphs,1,more charts/points/lines/shapes/elements,more charts/points/lines/shapes/elements
Glyph,Data Density / Image Clutter,too more points/lines/shapes/elements,1,more charts/points/lines/shapes/elements,more charts/points/lines/shapes/elements
Glyph,Data Density / Image Clutter,data intersection,1,2D/3D,2D/3D
Glyph,Immediacy / Cognitive Load,unclear meaning/confusing,4,unclear meaning/confusing,unclear meaning/confusing
Glyph,Immediacy / Cognitive Load,more reading/interpretation/understanding,1,take longer to interpret,take longer to interpret
Glyph,Immediacy / Cognitive Load,require specialized knowledge,1,take longer to interpret,take longer to interpret
Glyph,Immediacy / Cognitive Load,take longer to interpret,2,take longer to interpret,take longer to interpret
Glyph,Immediacy / Cognitive Load,complicated to process,2,easy/hard to interpret,easy/hard to interpret
Glyph,Immediacy / Cognitive Load,easier to interpret/read/understand,1,easy/hard to interpret,easy/hard to interpret
Glyph,Immediacy / Cognitive Load,easier to see/tell/visualize,1,easy/hard to interpret,easy/hard to interpret
Glyph,Immediacy / Cognitive Load,easy to derive meaning,1,easy/hard to interpret,easy/hard to interpret
Glyph,Immediacy / Cognitive Load,easy to identify/extract/find features,1,easy/hard to interpret,easy/hard to interpret
Glyph,Immediacy / Cognitive Load,easy to interpret/read/understand,3,easy/hard to interpret,easy/hard to interpret
Glyph,Immediacy / Cognitive Load,hard to compare/discern/distinguish,1,easy/hard to interpret,easy/hard to interpret
Glyph,Immediacy / Cognitive Load,hard to interpret/read/understand,2,easy/hard to interpret,easy/hard to interpret
Glyph,Immediacy / Cognitive Load,hard to interpret/read/understand/differentiate,1,easy/hard to interpret,easy/hard to interpret
Glyph,Immediacy / Cognitive Load,hard to see/tell/visualize,2,easy/hard to interpret,easy/hard to interpret
Glyph,Immediacy / Cognitive Load,intuitive,1,easy/hard to interpret,easy/hard to interpret
Glyph,Immediacy / Cognitive Load,more difficult to interpret/read/understand/differentiate,5,easy/hard to interpret,easy/hard to interpret
Glyph,Immediacy / Cognitive Load,not interpretable/readable/understandable,7,easy/hard to interpret,easy/hard to interpret
Glyph,Schema,not enough knowledge to tell,1,take longer to interpret,take longer to interpret
Glyph,Schema,a specific domain,1,"domain-specific concepts (e.g., chemical, biology, map)","domain-specific concepts (e.g., chemical, biology, map)"
Glyph,Schema,a specific technique,4,"domain-specific concepts (e.g., chemical, biology, map)","domain-specific concepts (e.g., chemical, biology, map)"
Glyph,Schema,"domain-specific concepts (e.g., chemical, biology, map)",1,"domain-specific concepts (e.g., chemical, biology, map)","domain-specific concepts (e.g., chemical, biology, map)"
Glyph,Schema,familiar representation,6,"domain-specific concepts (e.g., chemical, biology, map)","domain-specific concepts (e.g., chemical, biology, map)"
Glyph,Schema,no context or reference,1,"domain-specific concepts (e.g., chemical, biology, map)","domain-specific concepts (e.g., chemical, biology, map)"
Glyph,Schema,unfamiliar concepts/patterns,6,"domain-specific concepts (e.g., chemical, biology, map)","domain-specific concepts (e.g., chemical, biology, map)"
Glyph,Schema,abstract shapes or colors,1,abstract shapes or colors,abstract shapes or colors
Glyph,Schema,2D/3D,1,2D/3D,2D/3D
Glyph,Semantics / Text Legibility,readability,1,word rotation/small font size,word rotation/small font size
Glyph,Semantics / Text Legibility,lack of meaning,1,unclear meaning/confusing,unclear meaning/confusing
Glyph,Semantics / Text Legibility,visualization meaning,1,unclear meaning/confusing,unclear meaning/confusing
Glyph,Semantics / Text Legibility,clear title/axis/label,1,labels/axes/legends,labels/axes/legends
Glyph,Semantics / Text Legibility,lack of legend,1,labels/axes/legends,labels/axes/legends
Glyph,Semantics / Text Legibility,lack of/not enough axis labels/legend/annotations/context,7,labels/axes/legends,labels/axes/legends
Glyph,Semantics / Text Legibility,more title/axis/label,1,labels/axes/legends,labels/axes/legends
Glyph,Semantics / Text Legibility,no measurement/metric/axis,1,labels/axes/legends,labels/axes/legends
Glyph,Semantics / Text Legibility,title/axis/label/descriptions,1,labels/axes/legends,labels/axes/legends
Glyph,Semantics / Text Legibility,too much legend,1,labels/axes/legends,labels/axes/legends
Glyph,Semantics / Text Legibility,amount of words/context/numbers,1,amount of words/context/numbers,amount of words/context/numbers
Glyph,Semantics / Text Legibility,code/text,1,amount of words/context/numbers,amount of words/context/numbers
Glyph,Semantics / Text Legibility,more texts/words,1,amount of words/context/numbers,amount of words/context/numbers
Glyph,Visual Encoding Clarity,unclear meaning,2,unclear meaning/confusing,unclear meaning/confusing
Glyph,Visual Encoding Clarity,unclear movement,2,unclear meaning/confusing,unclear meaning/confusing
Glyph,Visual Encoding Clarity,unclear shape meaning,2,unclear meaning/confusing,unclear meaning/confusing
Glyph,Visual Encoding Clarity,categorized shapes,1,shapes and lines,shapes and lines
Glyph,Visual Encoding Clarity,element sizes,1,shapes and lines,shapes and lines
Glyph,Visual Encoding Clarity,overall shape,1,shapes and lines,shapes and lines
Glyph,Visual Encoding Clarity,precision of lines,1,shapes and lines,shapes and lines
Glyph,Visual Encoding Clarity,shape arrangement,1,shapes and lines,shapes and lines
Glyph,Visual Encoding Clarity,shape variety,2,shapes and lines,shapes and lines
Glyph,Visual Encoding Clarity,shapes,6,shapes and lines,shapes and lines
Glyph,Visual Encoding Clarity,shapes and lines,4,shapes and lines,shapes and lines
Glyph,Visual Encoding Clarity,size variation,1,shapes and lines,shapes and lines
Glyph,Visual Encoding Clarity,squares,1,shapes and lines,shapes and lines
Glyph,Visual Encoding Clarity,unclear shape,1,shapes and lines,shapes and lines
Glyph,Visual Encoding Clarity,multiple shapes,1,more charts/points/lines/shapes/elements,more charts/points/lines/shapes/elements
Glyph,Visual Encoding Clarity,no interaction,1,labels/axes/legends,labels/axes/legends
Glyph,Visual Encoding Clarity,no square information,1,"domain-specific concepts (e.g., chemical, biology, map)","domain-specific concepts (e.g., chemical, biology, map)"
Glyph,Visual Encoding Clarity,unknown hidden content,1,"domain-specific concepts (e.g., chemical, biology, map)","domain-specific concepts (e.g., chemical, biology, map)"
Glyph,Visual Encoding Clarity,clear delineation,1,distracting/confusing/unclear,distracting/confusing/unclear
Glyph,Visual Encoding Clarity,different movement,1,distracting/confusing/unclear,distracting/confusing/unclear
Glyph,Visual Encoding Clarity,random-like movement,1,distracting/confusing/unclear,distracting/confusing/unclear
Glyph,Visual Encoding Clarity,unable to sort,1,distracting/confusing/unclear,distracting/confusing/unclear
Glyph,Visual Encoding Clarity,uninterpretable ranking,1,color variety/shading,color variety/shading
Glyph,Visual Encoding Clarity,2D/3D,1,2D/3D,2D/3D
Glyph,Visual Encoding Clarity,image location,1,2D/3D,2D/3D
Glyph,Visual Encoding Clarity,more uniform design,1,2D/3D,2D/3D
Glyph,Visual Encoding Clarity,number of levels,1,2D/3D,2D/3D
Glyph,Visual Encoding Clarity,less organized elements,1,less organized elements,
Glyph,Visual Encoding Clarity,ordered,1,ordered,
Glyph,Visual Encoding Clarity,shape size,2,shape size,
Grid,Aesthetics Uncertainty,unclear colors/contrast,1,unclear colors/contrast,unclear colors/contrast
Grid,Aesthetics Uncertainty,convoluted composition,1,overlapping shapes/colors/lines,overlapping shapes/colors/lines
Grid,Aesthetics Uncertainty,distracting/confusing/unclear,2,distracting/confusing/unclear,distracting/confusing/unclear
Grid,Aesthetics Uncertainty,less attractive,1,distracting/confusing/unclear,distracting/confusing/unclear
Grid,Aesthetics Uncertainty,looks random/messy/lack structure,1,distracting/confusing/unclear,distracting/confusing/unclear
Grid,Aesthetics Uncertainty,visual clarity/appealing,2,distracting/confusing/unclear,distracting/confusing/unclear
Grid,Aesthetics Uncertainty,visually overwhelming,1,distracting/confusing/unclear,distracting/confusing/unclear
Grid,"Color, Symbol, and Texture Details",no color,1,unclear meaning/confusing,unclear meaning/confusing
Grid,"Color, Symbol, and Texture Details",unclear meaning/confusing,1,unclear meaning/confusing,unclear meaning/confusing
Grid,"Color, Symbol, and Texture Details",symbols and shading,1,symbols,symbols
Grid,"Color, Symbol, and Texture Details",negative space,1,overlapping shapes/colors/lines,overlapping shapes/colors/lines
Grid,"Color, Symbol, and Texture Details",amount of / too many colors,1,color variety/shading,color variety/shading
Grid,"Color, Symbol, and Texture Details",appealing colors,1,color variety/shading,color variety/shading
Grid,"Color, Symbol, and Texture Details",black color,1,color variety/shading,color variety/shading
Grid,"Color, Symbol, and Texture Details",black-to-white/color gradient,1,color variety/shading,color variety/shading
Grid,"Color, Symbol, and Texture Details",blue color,1,color variety/shading,color variety/shading
Grid,"Color, Symbol, and Texture Details",color details,1,color variety/shading,color variety/shading
Grid,"Color, Symbol, and Texture Details",color dimension,1,color variety/shading,color variety/shading
Grid,"Color, Symbol, and Texture Details",color saturation,1,color variety/shading,color variety/shading
Grid,"Color, Symbol, and Texture Details",color scale/scheme,1,color variety/shading,color variety/shading
Grid,"Color, Symbol, and Texture Details",color shading,2,color variety/shading,color variety/shading
Grid,"Color, Symbol, and Texture Details",color variety/arrangement/distribution,11,color variety/shading,color variety/shading
Grid,"Color, Symbol, and Texture Details",white color on black background,1,color variety/shading,color variety/shading
Grid,"Color, Symbol, and Texture Details",lack of color contrast / hard to distinguish colors,2,color contrast/clarity,color contrast/clarity
Grid,"Color, Symbol, and Texture Details",low color contrast/separation/segmentation,3,color contrast/clarity,color contrast/clarity
Grid,"Color, Symbol, and Texture Details",more contrast,2,color contrast/clarity,color contrast/clarity
Grid,"Color, Symbol, and Texture Details",unclear color meaning,2,color contrast/clarity,color contrast/clarity
Grid,"Color, Symbol, and Texture Details",unclear coloring,1,color contrast/clarity,color contrast/clarity
Grid,"Color, Symbol, and Texture Details",unclear colormaps,4,color contrast/clarity,color contrast/clarity
Grid,"Color, Symbol, and Texture Details",blurry colors/images,1,blurry colors/images,
Grid,"Color, Symbol, and Texture Details",distinguishable color variety/arrangement/distribution,2,distinguishable color variety/arrangement/distribution,
Grid,"Color, Symbol, and Texture Details",clear color uses,1,distinguishable/full/highly contrast color uses,
Grid,"Color, Symbol, and Texture Details",distinguishable/full/highly contrast color uses,3,distinguishable/full/highly contrast color uses,
Grid,"Color, Symbol, and Texture Details",inadequate/few coloring,3,inadequate/few coloring,
Grid,"Color, Symbol, and Texture Details",soft/layered/overlapping colors,1,soft/layered/overlapping colors,
Grid,"Color, Symbol, and Texture Details",white/black background / other background,1,white/black background / other background,
Grid,Data Density / Image Clutter,more to read/analyze/understand,1,take longer to interpret,take longer to interpret
Grid,Data Density / Image Clutter,dense/cluttered data/info,3,overlapping shapes/colors/lines,overlapping shapes/colors/lines
Grid,Data Density / Image Clutter,dense/cluttered layout,3,overlapping shapes/colors/lines,overlapping shapes/colors/lines
Grid,Data Density / Image Clutter,messy/mixed up/noisy/intermingled elements,3,overlapping shapes/colors/lines,overlapping shapes/colors/lines
Grid,Data Density / Image Clutter,fine/layered details,2,much/little data/info,much/little data/info
Grid,Data Density / Image Clutter,little data/info,2,much/little data/info,much/little data/info
Grid,Data Density / Image Clutter,more detailed/things,5,much/little data/info,much/little data/info
Grid,Data Density / Image Clutter,much/more data/info/info spread,12,much/little data/info,much/little data/info
Grid,Data Density / Image Clutter,too much data/info,1,much/little data/info,much/little data/info
Grid,Data Density / Image Clutter,dense points/lines/shapes/elements,1,more charts/points/lines/shapes/elements,more charts/points/lines/shapes/elements
Grid,Data Density / Image Clutter,many points/lines/shapes/elements,2,more charts/points/lines/shapes/elements,more charts/points/lines/shapes/elements
Grid,Data Density / Image Clutter,many/more data/info,2,more charts/points/lines/shapes/elements,more charts/points/lines/shapes/elements
Grid,Data Density / Image Clutter,more charts/points/lines/shapes/elements,10,more charts/points/lines/shapes/elements,more charts/points/lines/shapes/elements
Grid,Data Density / Image Clutter,multiple features/elements/graphs,5,more charts/points/lines/shapes/elements,more charts/points/lines/shapes/elements
Grid,Data Density / Image Clutter,multiple points/lines/shapes/elements,1,more charts/points/lines/shapes/elements,more charts/points/lines/shapes/elements
Grid,Data Density / Image Clutter,too many details/divisions,2,more charts/points/lines/shapes/elements,more charts/points/lines/shapes/elements
Grid,Data Density / Image Clutter,many numbers,1,amount of words/context/numbers,amount of words/context/numbers
Grid,Data Density / Image Clutter,too many numbers,1,amount of words/context/numbers,amount of words/context/numbers
Grid,Data Density / Image Clutter,organized/structured,1,2D/3D,2D/3D
Grid,Data Density / Image Clutter,more parameters/variables,3,more parameters/variables,
Grid,Data Density / Image Clutter,more regions/space,1,more regions/space,
Grid,Immediacy / Cognitive Load,unclear meaning/confusing,2,unclear meaning/confusing,unclear meaning/confusing
Grid,Immediacy / Cognitive Load,attention/squinting to understand,2,take longer to interpret,take longer to interpret
Grid,Immediacy / Cognitive Load,more effort/reading/detailed analysis,2,take longer to interpret,take longer to interpret
Grid,Immediacy / Cognitive Load,more reading/interpretation/understanding,2,take longer to interpret,take longer to interpret
Grid,Immediacy / Cognitive Load,take longer to interpret,5,take longer to interpret,take longer to interpret
Grid,Immediacy / Cognitive Load,information overload,2,overlapping shapes/colors/lines,overlapping shapes/colors/lines
Grid,Immediacy / Cognitive Load,complicated to process,1,easy/hard to interpret,easy/hard to interpret
Grid,Immediacy / Cognitive Load,easier to interpret/read/understand,1,easy/hard to interpret,easy/hard to interpret
Grid,Immediacy / Cognitive Load,easier to process/visualize,1,easy/hard to interpret,easy/hard to interpret
Grid,Immediacy / Cognitive Load,easy to interpret/read/understand,6,easy/hard to interpret,easy/hard to interpret
Grid,Immediacy / Cognitive Load,hard to describe,1,easy/hard to interpret,easy/hard to interpret
Grid,Immediacy / Cognitive Load,hard to interpret/read/understand,2,easy/hard to interpret,easy/hard to interpret
Grid,Immediacy / Cognitive Load,hard to interpret/read/understand/differentiate,2,easy/hard to interpret,easy/hard to interpret
Grid,Immediacy / Cognitive Load,hard to see/tell/visualize,1,easy/hard to interpret,easy/hard to interpret
Grid,Immediacy / Cognitive Load,harder to view data point,1,easy/hard to interpret,easy/hard to interpret
Grid,Immediacy / Cognitive Load,more difficult to compare/discern/distinguish,1,easy/hard to interpret,easy/hard to interpret
Grid,Immediacy / Cognitive Load,more difficult to interpret/read/understand/differentiate,2,easy/hard to interpret,easy/hard to interpret
Grid,Immediacy / Cognitive Load,not easily understood,1,easy/hard to interpret,easy/hard to interpret
Grid,Immediacy / Cognitive Load,not interpretable/readable/understandable,4,easy/hard to interpret,easy/hard to interpret
Grid,Immediacy / Cognitive Load,simple to interpret/read/understand,1,easy/hard to interpret,easy/hard to interpret
Grid,Immediacy / Cognitive Load,not intuitive/simple data,1,distracting/confusing/unclear,distracting/confusing/unclear
Grid,Immediacy / Cognitive Load,read/analyze many figures/items,4,read/analyze many figures/items,
Grid,Schema,a specific technique,3,"domain-specific concepts (e.g., chemical, biology, map)","domain-specific concepts (e.g., chemical, biology, map)"
Grid,Schema,"a specific technique, e.g., bar, pie, circle",1,"domain-specific concepts (e.g., chemical, biology, map)","domain-specific concepts (e.g., chemical, biology, map)"
Grid,Schema,"domain-specific concepts (e.g., chemical, biology, map)",4,"domain-specific concepts (e.g., chemical, biology, map)","domain-specific concepts (e.g., chemical, biology, map)"
Grid,Schema,no context or reference,2,"domain-specific concepts (e.g., chemical, biology, map)","domain-specific concepts (e.g., chemical, biology, map)"
Grid,Schema,unfamiliar concepts/patterns,3,"domain-specific concepts (e.g., chemical, biology, map)","domain-specific concepts (e.g., chemical, biology, map)"
Grid,Semantics / Text Legibility,explanation text,1,word rotation/small font size,word rotation/small font size
Grid,Semantics / Text Legibility,font,1,word rotation/small font size,word rotation/small font size
Grid,Semantics / Text Legibility,hierarchical text,1,word rotation/small font size,word rotation/small font size
Grid,Semantics / Text Legibility,readability,1,word rotation/small font size,word rotation/small font size
Grid,Semantics / Text Legibility,text hard to read,1,word rotation/small font size,word rotation/small font size
Grid,Semantics / Text Legibility,word rotation/small font size,2,word rotation/small font size,word rotation/small font size
Grid,Semantics / Text Legibility,unclear relation between words,1,unclear meaning/confusing,unclear meaning/confusing
Grid,Semantics / Text Legibility,too many subjects,1,more charts/points/lines/shapes/elements,more charts/points/lines/shapes/elements
Grid,Semantics / Text Legibility,clear title/axis/label,1,labels/axes/legends,labels/axes/legends
Grid,Semantics / Text Legibility,different labels,1,labels/axes/legends,labels/axes/legends
Grid,Semantics / Text Legibility,legend easy to understand,1,labels/axes/legends,labels/axes/legends
Grid,Semantics / Text Legibility,more title/axis/label,1,labels/axes/legends,labels/axes/legends
Grid,Semantics / Text Legibility,number of legend items,1,labels/axes/legends,labels/axes/legends
Grid,Semantics / Text Legibility,title/axis/label/descriptions,11,labels/axes/legends,labels/axes/legends
Grid,Semantics / Text Legibility,too much legend,3,labels/axes/legends,labels/axes/legends
Grid,Semantics / Text Legibility,unreadable,1,easy/hard to interpret,easy/hard to interpret
Grid,Semantics / Text Legibility,amount of words/context/numbers,4,amount of words/context/numbers,amount of words/context/numbers
Grid,Semantics / Text Legibility,more numbers,1,amount of words/context/numbers,amount of words/context/numbers
Grid,Semantics / Text Legibility,more texts/words,5,amount of words/context/numbers,amount of words/context/numbers
Grid,Semantics / Text Legibility,text and imagery,1,amount of words/context/numbers,amount of words/context/numbers
Grid,Semantics / Text Legibility,word/text/sentence,4,amount of words/context/numbers,amount of words/context/numbers
Grid,Semantics / Text Legibility,clear text arrangement/density,1,clear text arrangement/density,
Grid,Visual Encoding Clarity,unclear filled bars,1,unclear meaning/confusing,unclear meaning/confusing
Grid,Visual Encoding Clarity,unclear meaning,2,unclear meaning/confusing,unclear meaning/confusing
Grid,Visual Encoding Clarity,less organic shapes,1,shapes and lines,shapes and lines
Grid,Visual Encoding Clarity,line thickness variation,1,shapes and lines,shapes and lines
Grid,Visual Encoding Clarity,more squares than shapes,1,shapes and lines,shapes and lines
Grid,Visual Encoding Clarity,shape,1,shapes and lines,shapes and lines
Grid,Visual Encoding Clarity,shape size variation,2,shapes and lines,shapes and lines
Grid,Visual Encoding Clarity,shapes,2,shapes and lines,shapes and lines
Grid,Visual Encoding Clarity,similar box sizes,1,shapes and lines,shapes and lines
Grid,Visual Encoding Clarity,uneven shape,1,shapes and lines,shapes and lines
Grid,Visual Encoding Clarity,more nuance information,1,much/little data/info,much/little data/info
Grid,Visual Encoding Clarity,no data,1,much/little data/info,much/little data/info
Grid,Visual Encoding Clarity,no detail,1,much/little data/info,much/little data/info
Grid,Visual Encoding Clarity,multiple aspects,1,more charts/points/lines/shapes/elements,more charts/points/lines/shapes/elements
Grid,Visual Encoding Clarity,information nuance expressed,1,"domain-specific concepts (e.g., chemical, biology, map)","domain-specific concepts (e.g., chemical, biology, map)"
Grid,Visual Encoding Clarity,representation,1,"domain-specific concepts (e.g., chemical, biology, map)","domain-specific concepts (e.g., chemical, biology, map)"
Grid,Visual Encoding Clarity,technical encoding,1,"domain-specific concepts (e.g., chemical, biology, map)","domain-specific concepts (e.g., chemical, biology, map)"
Grid,Visual Encoding Clarity,nothing visible,1,distracting/confusing/unclear,distracting/confusing/unclear
Grid,Visual Encoding Clarity,value and graphic alignment,1,2D/3D,2D/3D
Grid,Visual Encoding Clarity,values in the middle,1,2D/3D,2D/3D
Grid,Visual Encoding Clarity,"scattered shapes (e.g., dots, squares, pictures)",1,"scattered shapes (e.g., dots, squares, pictures)",
Grid,Visual Encoding Clarity,several elements,2,several elements,
Grid,Visual Encoding Clarity,simple visual elements,1,simple visual elements,
Line,Aesthetics Uncertainty,unclear colors/contrast,1,unclear colors/contrast,unclear colors/contrast
Line,Aesthetics Uncertainty,struggled to read,1,easy/hard to interpret,easy/hard to interpret
Line,Aesthetics Uncertainty,distracting/confusing/unclear,4,distracting/confusing/unclear,distracting/confusing/unclear
Line,Aesthetics Uncertainty,looks random/messy/lack structure,1,distracting/confusing/unclear,distracting/confusing/unclear
Line,"Color, Symbol, and Texture Details",clear colored bars/charts,1,unclear meaning/confusing,unclear meaning/confusing
Line,"Color, Symbol, and Texture Details",unclear meaning/confusing,1,unclear meaning/confusing,unclear meaning/confusing
Line,"Color, Symbol, and Texture Details",icons,1,symbols,symbols
Line,"Color, Symbol, and Texture Details",striped texture,1,symbols,symbols
Line,"Color, Symbol, and Texture Details",pixeled picture,1,distracting/confusing/unclear,distracting/confusing/unclear
Line,"Color, Symbol, and Texture Details",color scale/scheme,1,color variety/shading,color variety/shading
Line,"Color, Symbol, and Texture Details",color variety/arrangement/distribution,11,color variety/shading,color variety/shading
Line,"Color, Symbol, and Texture Details",unclear colormaps,2,color contrast/clarity,color contrast/clarity
